Date,Open,High,Low,Close,Volume,Adj Close
2010-11-05,48.14,48.61,48.07,48.58,1985000,48.58
2010-11-04,48.50,48.63,48.11,48.51,2611200,48.51
2010-11-03,48.07,48.23,47.48,47.88,1568200,47.88
2010-11-02,47.78,48.19,47.77,48.09,1153800,48.09
2010-11-01,47.98,48.14,47.20,47.52,1219100,47.52
2010-10-29,47.63,47.92,47.28,47.82,2042300,47.82
2010-10-28,47.68,47.91,47.37,47.73,1698000,47.73
2010-10-27,47.27,47.49,46.93,47.45,1755100,47.45
2010-10-26,47.46,47.65,47.19,47.58,1398100,47.58
2010-10-25,47.89,48.11,47.56,47.67,1445000,47.67
2010-10-22,47.48,47.69,47.36,47.66,1662500,47.66
2010-10-21,47.65,47.90,47.13,47.35,1939600,47.35
2010-10-20,47.08,47.93,47.05,47.50,2112700,47.50
2010-10-19,46.97,47.36,46.78,46.91,2373100,46.91
2010-10-18,47.15,47.52,46.95,47.21,2231200,47.21
2010-10-15,46.94,47.08,46.51,46.90,4665300,46.90
2010-10-14,46.63,46.95,46.55,46.69,2054200,46.69
2010-10-13,46.47,46.76,46.37,46.46,1901700,46.46
2010-10-12,46.61,46.66,46.11,46.56,1932800,46.56
2010-10-11,46.74,47.01,46.49,46.59,1353800,46.59
2010-10-08,46.64,46.90,46.44,46.78,1971900,46.78
2010-10-07,46.50,46.69,46.28,46.49,1718400,46.49
2010-10-06,46.72,46.82,46.10,46.34,2034200,46.34
2010-10-05,46.15,46.76,46.15,46.70,4077200,46.70
2010-10-04,45.78,46.15,45.42,45.73,2036200,45.73
2010-10-01,45.58,45.94,45.38,45.72,2908200,45.72
2010-09-30,45.41,45.70,45.19,45.42,4374300,45.42
2010-09-29,45.35,45.40,44.89,45.19,2573800,45.19
2010-09-28,45.61,45.61,45.11,45.55,2565600,45.55
2010-09-27,45.94,46.16,45.59,45.91,2085000,45.45
2010-09-24,45.40,45.95,45.34,45.82,3013800,45.37
2010-09-23,45.06,45.43,44.93,45.22,6451400,44.77
2010-09-22,45.03,45.27,44.90,45.17,5545400,44.72
2010-09-21,45.25,45.30,44.90,45.00,8965900,44.55
2010-09-20,45.23,45.43,45.10,45.37,2788400,44.92
2010-09-17,45.50,45.62,45.00,45.26,5980500,44.81
2010-09-16,45.45,45.68,45.16,45.35,4542800,44.90
2010-09-15,44.65,45.56,44.62,45.48,5444600,45.03
2010-09-14,43.84,45.23,43.81,44.86,9283500,44.42
2010-09-13,44.08,44.60,43.18,44.26,15166600,43.82
2010-09-10,46.21,47.13,43.94,44.21,30810700,43.77
2010-09-09,48.16,48.32,47.93,48.24,2581800,47.76
2010-09-08,47.96,48.10,47.57,47.70,2676600,47.23
2010-09-07,47.75,48.34,47.65,47.95,2327700,47.47
2010-09-03,47.76,48.00,47.37,47.68,2322400,47.21
2010-09-02,47.93,47.93,47.35,47.70,2653900,47.23
2010-09-01,47.02,47.96,46.70,47.78,3609000,47.31
2010-08-31,46.71,46.95,46.19,46.76,3300700,46.30
2010-08-30,47.61,47.63,46.74,46.77,3119000,46.31
2010-08-27,47.04,47.73,46.60,47.63,2637800,47.16
2010-08-26,47.21,47.29,46.69,46.85,3546500,46.39
2010-08-25,46.49,47.28,46.37,47.06,7247000,46.59
2010-08-24,45.87,46.93,45.87,46.73,5608900,46.27
2010-08-23,45.87,46.50,45.84,46.20,3319000,45.74
