Date,Open,High,Low,Close,Volume,Adj Close
2010-11-05,33.36,33.43,32.79,33.02,2333100,33.02
2010-11-04,33.21,33.44,33.14,33.26,2359800,33.26
2010-11-03,32.97,33.12,32.65,32.93,2808200,32.93
2010-11-02,32.39,32.90,32.33,32.87,2164600,32.87
2010-11-01,32.47,32.68,31.95,32.18,3089400,32.18
2010-10-29,32.45,32.60,32.28,32.34,2755600,32.34
2010-10-28,32.77,32.94,32.24,32.45,4623100,32.45
2010-10-27,33.12,33.12,32.20,32.63,5428800,32.63
2010-10-26,33.24,33.40,33.06,33.39,2958200,33.39
2010-10-25,33.49,33.64,33.20,33.33,2618000,33.33
2010-10-22,33.80,33.81,33.12,33.25,3579300,33.25
2010-10-21,33.70,33.97,33.53,33.80,3533400,33.80
2010-10-20,33.43,33.82,33.40,33.56,1518500,33.56
2010-10-19,33.35,33.72,33.18,33.32,2108200,33.32
2010-10-18,33.31,33.80,33.21,33.73,1606600,33.73
2010-10-15,33.29,33.40,32.97,33.25,6137600,33.25
2010-10-14,33.35,33.53,33.00,33.11,1818300,33.11
2010-10-13,33.27,33.50,33.10,33.39,2115200,33.39
2010-10-12,33.43,33.50,32.90,33.17,2025900,33.17
2010-10-11,33.58,33.72,33.27,33.42,1816000,33.42
2010-10-08,33.52,33.65,33.31,33.51,1777700,33.51
2010-10-07,33.19,33.42,33.14,33.40,1799900,33.40
2010-10-06,33.51,33.59,32.98,33.03,2152300,33.03
2010-10-05,33.41,33.65,33.25,33.57,1777900,33.57
2010-10-04,33.03,33.43,32.92,33.08,1935600,33.08
2010-10-01,33.37,33.38,32.94,33.08,2032100,33.08
2010-09-30,33.28,33.28,33.03,33.08,3332600,33.08
2010-09-29,32.96,33.07,32.65,32.96,1784800,32.96
2010-09-28,33.14,33.27,32.83,33.14,2292800,33.14
2010-09-27,32.96,33.23,32.82,33.06,2883700,33.06
2010-09-24,32.41,32.87,32.27,32.87,2745900,32.87
2010-09-23,32.16,32.59,32.02,32.06,2426400,32.06
2010-09-22,32.46,32.91,32.37,32.40,2650700,32.40
2010-09-21,32.36,32.70,32.04,32.44,4052200,32.44
2010-09-20,31.95,32.28,31.78,32.26,2804100,32.26
2010-09-17,31.77,31.87,31.61,31.86,3856900,31.86
2010-09-16,31.43,31.64,31.27,31.59,2698700,31.59
2010-09-15,31.90,31.90,31.26,31.45,3627100,31.45
2010-09-14,32.04,32.20,31.76,31.93,3248700,31.93
2010-09-13,32.07,32.17,31.82,32.00,2997700,32.00
2010-09-10,32.30,32.36,31.79,31.92,3606600,31.92
2010-09-09,32.49,32.59,32.36,32.36,1821900,32.36
2010-09-08,32.57,32.69,32.03,32.12,1916500,32.12
2010-09-07,32.39,32.74,32.37,32.48,2628700,32.48
2010-09-03,32.70,32.96,32.56,32.93,2371800,32.59
2010-09-02,32.84,32.95,32.46,32.62,2465600,32.28
2010-09-01,32.25,32.84,32.13,32.83,2665800,32.49
2010-08-31,31.63,32.03,31.36,31.96,3960300,31.63
2010-08-30,32.03,32.16,31.66,31.66,2079400,31.33
2010-08-27,31.54,32.15,31.26,32.07,2723000,31.74
2010-08-26,31.91,32.00,31.28,31.39,3413900,31.06
2010-08-25,31.69,31.92,31.28,31.75,8832900,31.42
2010-08-24,31.91,32.46,31.91,32.13,3381100,31.80
2010-08-23,31.80,32.36,31.80,32.20,3047700,31.86
2010-08-20,31.43,31.81,31.38,31.73,2326600,31.40
2010-08-19,31.80,32.24,31.50,31.66,2281500,31.33
2010-08-18,32.01,32.32,31.82,32.18,2833100,31.84
2010-08-17,31.78,32.39,31.64,32.09,2635000,31.76
2010-08-16,31.57,31.82,31.30,31.54,2201700,31.21
2010-08-13,31.50,32.07,31.38,31.71,2645600,31.38
2010-08-12,31.48,32.06,31.18,31.56,4236300,31.23
2010-08-11,32.14,32.20,31.72,31.74,2726900,31.41
2010-08-10,32.47,32.78,32.21,32.52,2870400,32.18
2010-08-09,32.75,32.97,32.60,32.67,2599600,32.33
2010-08-06,32.28,32.84,32.20,32.74,3779800,32.40
2010-08-05,32.68,32.75,32.15,32.40,3294400,32.06
2010-08-04,33.09,33.12,32.30,32.90,3977500,32.56
2010-08-03,33.29,33.54,33.03,33.07,2353900,32.73
2010-08-02,33.15,33.34,32.73,33.31,5799500,32.96
2010-07-30,33.31,33.75,32.20,32.90,5140700,32.56
2010-07-29,34.64,34.75,33.49,33.82,4388400,33.47
2010-07-28,34.70,34.93,34.30,34.39,3851800,34.03
2010-07-27,34.17,34.83,34.12,34.78,2720300,34.42
2010-07-26,33.80,34.08,33.69,34.05,2072100,33.70
2010-07-23,33.62,33.84,33.36,33.77,2144500,33.42
2010-07-22,33.31,33.91,33.18,33.69,3581300,33.34
