Date,Open,High,Low,Close,Volume,Adj Close
2010-11-05,65.26,65.35,64.76,65.08,6940900,65.08
2010-11-04,65.74,65.83,64.50,65.35,9981300,65.35
2010-11-03,65.72,65.75,64.58,65.20,7577100,65.20
2010-11-02,65.77,66.10,65.66,65.80,4670800,65.80
2010-11-01,65.49,65.89,65.14,65.55,5916600,65.55
2010-10-29,65.07,65.30,64.86,65.30,5549400,65.30
2010-10-28,64.37,65.12,64.35,65.01,6436100,65.01
2010-10-27,64.50,64.51,63.78,64.27,7961700,64.27
2010-10-26,64.80,64.99,64.55,64.79,6900800,64.79
2010-10-25,65.18,65.33,64.88,65.05,6580800,65.05
2010-10-22,65.24,65.50,64.85,65.01,5043200,65.01
2010-10-21,65.02,65.47,64.82,65.18,8647400,65.18
2010-10-20,65.70,65.82,64.87,64.97,11569400,64.97
2010-10-19,66.06,66.22,64.95,65.41,8357700,65.41
2010-10-18,66.82,67.02,66.48,66.50,4820100,66.50
2010-10-15,66.89,67.00,66.46,66.68,6272100,66.68
2010-10-14,66.45,66.84,66.45,66.64,6162300,66.64
2010-10-13,66.31,66.80,66.20,66.40,5990500,66.40
2010-10-12,65.29,66.47,65.00,66.08,7807800,66.08
2010-10-11,65.74,65.76,65.30,65.52,5283100,65.52
2010-10-08,66.13,66.15,65.27,65.75,8810500,65.75
2010-10-07,66.60,66.70,65.18,66.10,20029500,66.10
2010-10-06,67.55,68.11,67.40,68.11,7204100,68.11
2010-10-05,67.03,67.82,66.91,67.76,7246100,67.76
2010-10-04,66.99,66.99,66.52,66.87,4890200,66.87
2010-10-01,66.76,67.00,66.28,67.00,5397000,67.00
2010-09-30,66.95,67.31,66.25,66.44,7002300,66.44
2010-09-29,66.54,67.00,66.23,66.75,5553200,66.75
2010-09-28,66.35,66.91,65.81,66.78,5305300,66.78
2010-09-27,66.07,66.76,66.06,66.37,5230300,66.37
2010-09-24,66.10,66.41,65.83,66.13,6366300,66.13
2010-09-23,66.19,66.19,65.66,65.79,5877800,65.79
2010-09-22,66.63,66.90,66.31,66.66,5225800,66.66
2010-09-21,66.91,66.91,65.93,66.46,7455500,66.46
2010-09-20,66.26,66.98,66.05,66.89,5057100,66.89
2010-09-17,66.76,66.90,66.10,66.12,7908400,66.12
2010-09-16,66.40,66.66,66.17,66.61,4174900,66.61
2010-09-15,65.83,66.54,65.76,66.50,4745000,66.50
2010-09-14,66.17,66.36,65.93,65.98,4145400,65.98
2010-09-13,66.45,66.52,65.85,66.25,4469200,66.25
2010-09-10,66.15,66.50,65.86,66.41,4234800,66.41
2010-09-09,65.90,66.21,65.42,66.10,5835800,66.10
2010-09-08,65.44,65.70,65.26,65.43,4318900,65.43
