Date,Open,High,Low,Close,Volume,Adj Close
2010-11-05,17.40,17.48,17.05,17.18,57480600,17.18
2010-11-04,17.58,17.58,17.29,17.38,58098800,17.38
2010-11-03,17.51,17.66,17.45,17.59,50488400,17.41
2010-11-02,17.64,17.81,17.25,17.45,69909100,17.27
2010-11-01,17.63,17.84,17.50,17.62,41910300,17.44
2010-10-29,17.57,17.57,17.29,17.42,40226600,17.24
2010-10-28,17.41,17.60,17.36,17.57,34009900,17.39
2010-10-27,17.40,17.49,17.17,17.28,45488600,17.10
2010-10-26,17.57,17.60,17.38,17.49,35422900,17.31
2010-10-25,17.57,17.73,17.56,17.62,67293300,17.44
2010-10-22,17.61,17.65,17.45,17.50,82025400,17.32
2010-10-21,17.63,17.90,17.53,17.63,76353200,17.45
2010-10-20,17.46,17.75,17.30,17.66,42548400,17.48
2010-10-19,17.65,17.74,17.25,17.39,48666600,17.21
2010-10-18,17.73,17.87,17.62,17.80,42697900,17.62
2010-10-15,17.79,17.85,17.62,17.75,39791800,17.57
2010-10-14,17.74,17.83,17.57,17.66,35203000,17.48
2010-10-13,17.59,17.85,17.54,17.73,49179700,17.55
2010-10-12,17.49,17.54,17.27,17.48,45876000,17.30
2010-10-11,17.46,17.50,17.29,17.38,22346600,17.20
2010-10-08,17.43,17.50,17.38,17.46,28028900,17.28
2010-10-07,17.38,17.51,17.32,17.38,38556300,17.20
2010-10-06,17.24,17.38,17.17,17.26,35688300,17.08
2010-10-05,17.11,17.25,17.06,17.23,44694000,17.05
2010-10-04,17.10,17.20,16.86,16.90,40665800,16.73
2010-10-01,17.25,17.29,17.11,17.18,35520800,17.00
2010-09-30,17.48,17.50,17.16,17.17,39655300,16.99
2010-09-29,17.40,17.50,17.29,17.40,42294300,17.22
2010-09-28,17.20,17.48,17.07,17.43,43557700,17.25
2010-09-27,17.42,17.43,17.13,17.17,27925100,16.99
2010-09-24,17.22,17.41,17.15,17.40,33709200,17.22
2010-09-23,17.12,17.24,17.02,17.04,37912600,16.87
2010-09-22,17.12,17.27,17.08,17.22,52038300,17.04
2010-09-21,17.24,17.28,17.09,17.14,43881600,16.96
2010-09-20,17.08,17.33,17.04,17.28,31410400,17.10
2010-09-17,17.21,17.26,17.03,17.06,53337700,16.89
2010-09-16,17.26,17.26,17.08,17.17,38721400,16.99
2010-09-15,17.07,17.36,17.03,17.27,55215000,17.09
2010-09-14,16.93,17.22,16.92,17.08,51013700,16.91
2010-09-13,17.01,17.15,16.85,16.97,47828800,16.80
2010-09-10,16.84,17.00,16.81,16.99,42022500,16.82
2010-09-09,16.73,16.90,16.66,16.77,52198500,16.60
2010-09-08,16.35,16.65,16.30,16.56,55523900,16.39
2010-09-07,16.44,16.45,16.21,16.33,39889300,16.16
2010-09-03,16.47,16.59,16.38,16.46,32999800,16.29
2010-09-02,16.33,16.43,16.25,16.40,36221200,16.23
2010-09-01,16.13,16.37,16.07,16.28,45410400,16.11
2010-08-31,15.89,16.10,15.79,15.91,44729900,15.75
2010-08-30,16.05,16.21,15.84,15.86,35660500,15.70
2010-08-27,15.98,16.12,15.77,16.09,38260900,15.93
2010-08-26,16.08,16.09,15.81,15.90,42373900,15.74
2010-08-25,15.77,16.06,15.66,15.99,49367700,15.83
2010-08-24,15.94,15.97,15.77,15.82,50327100,15.66
2010-08-23,16.20,16.24,15.98,16.10,58976400,15.94
2010-08-20,15.91,16.02,15.85,15.92,49094300,15.76
2010-08-19,16.07,16.13,15.82,16.03,53262200,15.87
2010-08-18,16.21,16.35,16.01,16.10,49428100,15.94
2010-08-17,16.23,16.40,16.13,16.27,50465800,16.10
2010-08-16,15.98,16.17,15.85,16.03,36282800,15.87
2010-08-13,16.16,16.25,16.03,16.08,32406300,15.92
2010-08-12,15.90,16.23,15.86,16.20,48453200,16.03
2010-08-11,16.30,16.34,15.99,16.00,53708900,15.84
2010-08-10,16.29,16.60,16.26,16.57,57593300,16.40
2010-08-09,16.29,16.48,16.11,16.42,48080600,16.25
2010-08-06,16.06,16.28,16.00,16.24,51629000,16.07
2010-08-05,16.39,16.48,16.07,16.19,73723100,16.02
2010-08-04,16.26,16.52,16.12,16.44,73170500,16.27
2010-08-03,16.00,16.48,15.95,16.34,159205400,15.99
2010-08-02,15.16,15.48,15.10,15.48,54788100,15.15
2010-07-30,15.02,15.13,14.88,15.00,44035000,14.68
2010-07-29,15.18,15.42,15.02,15.09,58521900,14.77
2010-07-28,15.28,15.44,14.95,15.00,40354100,14.68
2010-07-27,15.10,15.36,14.99,15.27,60660800,14.95
2010-07-26,14.63,15.09,14.61,15.02,55495200,14.70
2010-07-23,14.75,14.80,14.39,14.58,53202500,14.27
2010-07-22,14.61,14.87,14.59,14.81,44805800,14.50
2010-07-21,14.55,14.72,14.42,14.50,42288400,14.19
2010-07-20,14.65,14.65,14.44,14.55,47139000,14.24
2010-07-19,14.62,14.84,14.58,14.73,32707800,14.42
2010-07-16,14.83,14.94,14.55,14.56,47787500,14.25
2010-07-15,14.85,14.93,14.65,14.87,43621400,14.56
2010-07-14,14.73,14.96,14.65,14.84,45585600,14.53
2010-07-13,15.00,15.10,14.76,14.79,50049500,14.48
2010-07-12,14.73,14.94,14.69,14.93,38363100,14.61
2010-07-09,14.85,14.86,14.63,14.77,32620400,14.46
2010-07-08,14.78,14.98,14.62,14.82,59790800,14.51
2010-07-07,14.31,14.63,14.20,14.62,54255900,14.31
2010-07-06,14.33,14.41,14.14,14.29,71952000,13.99
2010-07-02,14.29,14.36,14.10,14.14,40752900,13.84
2010-07-01,14.29,14.33,14.00,14.23,67875600,13.93
2010-06-30,14.22,14.48,14.17,14.26,50683400,13.96
2010-06-29,14.43,14.48,14.18,14.28,64883100,13.98
2010-06-28,14.69,14.78,14.50,14.54,44615500,14.23
2010-06-25,14.49,14.71,14.40,14.64,58634000,14.33
2010-06-24,14.62,14.73,14.37,14.46,86066100,14.15
2010-06-23,14.98,14.98,14.81,14.88,48320800,14.57
2010-06-22,15.15,15.24,14.97,14.97,43843900,14.65
2010-06-21,15.36,15.38,15.01,15.10,45715800,14.78
2010-06-18,15.49,15.55,15.09,15.21,69824800,14.89
2010-06-17,15.43,15.47,15.13,15.47,49718300,15.14
2010-06-16,15.42,15.57,15.36,15.48,37923700,15.15
2010-06-15,15.40,15.53,15.30,15.52,50476200,15.19
2010-06-14,15.56,15.60,15.30,15.33,51260700,15.01
2010-06-11,15.23,15.52,15.20,15.46,75621200,15.13
2010-06-10,14.65,15.11,14.65,14.91,60177000,14.59
2010-06-09,14.64,14.75,14.39,14.52,86583300,14.21
2010-06-08,14.53,14.57,14.35,14.55,63236700,14.24
2010-06-07,14.84,14.89,14.50,14.52,68785800,14.21
2010-06-04,15.01,15.04,14.67,14.76,77938300,14.45
2010-06-03,15.24,15.34,15.12,15.23,34247400,14.91
2010-06-02,15.12,15.22,14.92,15.20,49540200,14.88
2010-06-01,15.16,15.42,14.96,14.99,56881600,14.67
2010-05-28,15.33,15.59,15.22,15.23,61379200,14.91
2010-05-27,15.34,15.45,15.17,15.37,66970500,15.05
2010-05-26,15.11,15.41,15.00,15.11,92242100,14.79
2010-05-25,14.95,15.10,14.75,15.06,102961200,14.74
2010-05-24,15.28,15.38,15.15,15.22,54077800,14.90
2010-05-21,14.99,15.42,14.96,15.40,102435700,15.07
2010-05-20,15.54,15.67,15.22,15.23,112458800,14.91
2010-05-19,15.75,15.94,15.60,15.82,82052200,15.49
2010-05-18,16.14,16.25,15.78,15.81,73455900,15.48
2010-05-17,16.20,16.27,15.78,16.11,98820100,15.77
2010-05-14,16.53,16.54,16.06,16.20,62673300,15.86
2010-05-13,16.84,16.94,16.54,16.56,67786700,16.21
2010-05-12,16.98,17.09,16.72,16.90,53519700,16.54
2010-05-11,16.85,17.19,16.80,17.01,53957500,16.65
2010-05-10,16.90,17.25,16.84,17.00,81597000,16.64
2010-05-07,16.70,16.81,16.38,16.46,106900700,16.11
2010-05-06,17.16,17.21,15.85,16.74,119231000,16.39
2010-05-05,16.97,17.34,16.96,17.18,99300000,16.82
2010-05-04,17.15,17.39,17.06,17.26,120901500,16.72
2010-05-03,16.80,17.00,16.62,16.91,71969100,16.38
2010-04-30,16.99,17.00,16.68,16.72,51071200,16.20
2010-04-29,16.63,17.01,16.63,16.86,67504500,16.33
2010-04-28,16.47,16.64,16.39,16.53,60657000,16.01
2010-04-27,16.71,16.85,16.40,16.46,91545300,15.94
2010-04-26,16.86,16.97,16.70,16.82,83473300,16.29
2010-04-23,16.43,17.01,16.40,16.91,98305000,16.38
2010-04-22,16.50,16.56,16.33,16.48,69718100,15.96
2010-04-21,16.75,16.82,16.44,16.60,68568500,16.08
2010-04-20,16.83,16.87,16.73,16.76,56513800,16.23
2010-04-19,16.74,16.82,16.60,16.79,65927100,16.26
2010-04-16,16.98,17.01,16.80,16.80,75517900,16.27
2010-04-15,17.05,17.16,16.96,16.99,59603000,16.46
2010-04-14,17.18,17.18,16.94,17.07,95889700,16.53
2010-04-13,17.21,17.25,17.10,17.18,66164200,16.64
2010-04-12,17.32,17.33,17.19,17.29,49243600,16.75
2010-04-09,17.20,17.31,17.17,17.25,44000600,16.71
2010-04-08,17.07,17.16,17.02,17.14,52796700,16.60
2010-04-07,17.02,17.12,16.99,17.07,84536900,16.53
2010-04-06,16.94,17.05,16.86,16.96,77606700,16.43
2010-04-05,17.14,17.14,16.85,16.90,68750200,16.37
2010-04-01,17.21,17.28,16.99,17.08,69116800,16.54
2010-03-31,17.18,17.27,17.09,17.15,59031100,16.61
2010-03-30,17.32,17.39,17.13,17.26,41833000,16.72
2010-03-29,17.20,17.34,17.14,17.28,48742500,16.74
2010-03-26,17.36,17.38,17.10,17.14,54182300,16.60
2010-03-25,17.74,17.78,17.35,17.39,48204700,16.84
2010-03-24,17.61,17.71,17.54,17.61,73930300,17.06
2010-03-23,17.28,17.58,17.20,17.54,73917100,16.99
2010-03-22,17.00,17.25,16.98,17.15,71077900,16.61
2010-03-19,17.30,17.30,16.80,16.91,113217100,16.38
2010-03-18,17.34,17.35,17.12,17.23,50905100,16.69
2010-03-17,17.26,17.31,17.16,17.21,56649400,16.67
2010-03-16,17.32,17.38,17.11,17.26,53166200,16.72
2010-03-15,17.03,17.28,16.99,17.26,43937900,16.72
2010-03-12,17.19,17.23,16.99,17.08,85448500,16.54
2010-03-11,17.12,17.32,17.10,17.29,48812400,16.75
2010-03-10,17.21,17.35,17.11,17.15,56301200,16.61
2010-03-09,17.27,17.32,17.15,17.23,54543900,16.69
2010-03-08,17.59,17.60,17.27,17.35,48738800,16.81
2010-03-05,17.38,17.50,17.23,17.48,64708400,16.93
2010-03-04,17.35,17.40,17.22,17.33,56917200,16.79
2010-03-03,17.45,17.60,17.21,17.32,109064000,16.78
2010-03-02,17.87,17.88,17.55,17.60,64656300,17.05
2010-03-01,17.61,17.86,17.58,17.75,45623500,17.19
2010-02-26,17.69,17.81,17.50,17.55,59237700,17.00
2010-02-25,17.57,17.73,17.43,17.69,53458000,17.14
2010-02-24,17.74,18.02,17.60,17.81,67722500,17.25
2010-02-23,17.84,17.94,17.61,17.67,47873200,17.12
2010-02-22,17.98,18.15,17.78,17.95,58001900,17.39
2010-02-19,17.82,18.10,17.73,17.99,50657800,17.43
2010-02-18,17.68,17.75,17.55,17.73,57118500,17.17
2010-02-17,17.85,17.86,17.53,17.67,58254100,17.12
2010-02-16,17.96,18.08,17.61,17.72,63281800,17.16
2010-02-12,17.85,17.89,17.62,17.80,50341800,17.24
2010-02-11,17.75,18.03,17.62,17.87,54692600,17.31
2010-02-10,17.92,17.98,17.63,17.74,59957500,17.18
2010-02-09,17.87,18.15,17.65,17.88,70972000,17.32
2010-02-08,17.91,18.00,17.72,17.84,55626200,17.28
2010-02-05,17.91,18.19,17.60,17.96,90398000,17.40
2010-02-04,18.35,18.44,18.01,18.03,94261900,17.46
2010-02-03,18.69,18.85,18.42,18.62,113996100,18.04
2010-02-02,18.87,19.33,18.77,19.24,67611300,18.46
2010-02-01,18.79,18.99,18.70,18.79,39455700,18.03
2010-01-29,18.70,18.97,18.52,18.66,56044700,17.91
2010-01-28,19.07,19.10,18.61,18.63,50939800,17.88
2010-01-27,18.78,19.09,18.66,19.00,54609400,18.23
2010-01-26,18.72,18.90,18.63,18.78,43600600,18.02
2010-01-25,19.24,19.25,18.84,18.85,49272400,18.09
2010-01-22,19.26,19.92,18.90,18.96,61703000,18.19
2010-01-21,20.04,20.15,19.17,19.24,77175700,18.46
2010-01-20,20.05,20.36,19.87,19.94,79243800,19.13
2010-01-19,19.53,20.07,19.50,20.00,78332300,19.19
2010-01-15,19.43,19.68,19.26,19.49,76622900,18.70
2010-01-14,19.20,19.50,19.13,19.38,47267900,18.60
2010-01-13,18.87,19.30,18.87,19.21,59514300,18.43
2010-01-12,18.80,18.99,18.64,18.77,41273100,18.01
2010-01-11,18.83,18.95,18.67,18.83,32447500,18.07
2010-01-08,18.62,18.71,18.52,18.68,30407700,17.93
2010-01-07,18.64,18.67,18.46,18.53,39428000,17.78
2010-01-06,18.66,18.81,18.51,18.60,41405100,17.85
2010-01-05,18.92,18.93,18.55,18.66,43372800,17.91
2010-01-04,18.27,18.94,18.24,18.93,52086000,18.17
2009-12-31,18.39,18.48,18.19,18.19,25676600,17.46
2009-12-30,18.48,18.59,18.38,18.50,18291900,17.75
2009-12-29,18.61,18.71,18.54,18.56,19666700,17.81
2009-12-28,18.68,18.72,18.53,18.63,19448900,17.88
2009-12-24,18.67,18.69,18.51,18.60,12935300,17.85
2009-12-23,18.76,18.80,18.53,18.58,27963400,17.83
2009-12-22,18.80,18.87,18.54,18.61,35894100,17.86
2009-12-21,18.40,18.89,18.37,18.61,39160100,17.86
2009-12-18,18.35,18.48,18.25,18.30,62248400,17.56
2009-12-17,18.38,18.38,18.06,18.22,44296900,17.48
2009-12-16,18.37,18.55,18.31,18.41,40041800,17.67
2009-12-15,18.26,18.46,18.16,18.29,34626700,17.55
2009-12-14,18.47,18.53,18.19,18.40,51231200,17.66
2009-12-11,18.37,18.48,18.26,18.30,30886500,17.56
2009-12-10,18.47,18.50,18.25,18.32,36292600,17.58
2009-12-09,18.03,18.26,17.87,18.24,73225600,17.50
2009-12-08,18.05,18.07,17.63,17.76,79981600,17.04
2009-12-07,18.49,18.58,18.04,18.06,76050600,17.33
2009-12-04,18.83,18.95,18.44,18.49,50050800,17.74
2009-12-03,18.83,18.88,18.59,18.64,41027400,17.89
2009-12-02,18.94,18.99,18.49,18.74,47655300,17.98
2009-12-01,18.54,18.85,18.17,18.85,71095700,18.09
2009-11-30,18.31,18.45,18.17,18.17,59261700,17.44
2009-11-27,18.08,18.41,18.00,18.25,22830300,17.51
2009-11-25,18.44,18.62,18.25,18.59,42137100,17.84
2009-11-24,18.61,18.63,18.16,18.31,58547900,17.57
2009-11-23,18.49,18.90,18.47,18.53,73608300,17.78
2009-11-20,18.15,18.48,18.12,18.36,60970500,17.62
2009-11-19,18.07,18.17,17.82,18.11,41221900,17.38
2009-11-18,17.93,18.24,17.81,18.19,48809600,17.46
2009-11-17,17.85,17.95,17.73,17.94,34063300,17.22
2009-11-16,17.65,18.00,17.63,17.94,41132900,17.22
2009-11-13,17.72,17.77,17.51,17.59,36855300,16.88
2009-11-12,17.60,17.86,17.48,17.62,39674700,16.91
2009-11-11,17.67,17.82,17.51,17.62,35433700,16.91
2009-11-10,17.32,17.74,17.23,17.56,50976300,16.85
2009-11-09,17.10,17.43,17.03,17.43,46174200,16.73
2009-11-06,17.01,17.02,16.82,16.96,36104200,16.27
2009-11-05,17.11,17.25,16.82,17.02,55656400,16.33
2009-11-04,16.93,17.21,16.87,16.93,52384600,16.25
2009-11-03,16.90,16.95,16.72,16.89,52721500,16.05
