Date,Open,High,Low,Close,Volume,Adj Close
2010-11-05,64.91,65.00,64.62,65.00,9747000,65.00
2010-11-04,64.53,65.00,64.39,65.00,11807500,65.00
2010-11-03,64.00,64.36,63.83,64.31,8621300,64.31
2010-11-02,63.87,64.28,63.85,64.02,8129000,64.02
2010-11-01,63.88,64.14,63.40,63.62,11926700,63.62
2010-10-29,63.23,63.85,63.19,63.57,11368300,63.57
2010-10-28,63.13,63.56,63.06,63.19,9231200,63.19
2010-10-27,63.33,63.35,62.73,63.08,13348100,63.08
2010-10-26,63.12,63.44,62.52,62.86,12935900,62.86
2010-10-25,63.73,63.81,63.48,63.54,8928400,63.54
2010-10-22,63.53,63.70,63.13,63.40,5933400,63.40
2010-10-21,63.59,63.98,62.60,63.51,9612900,63.51
2010-10-20,62.88,63.62,62.77,63.37,10344900,63.37
2010-10-19,62.98,63.56,62.90,63.18,12109100,62.70
2010-10-18,62.88,63.52,62.64,63.35,11449200,62.87
2010-10-15,62.97,63.00,62.55,62.76,9943500,62.28
2010-10-14,62.67,62.84,62.52,62.80,8771400,62.32
2010-10-13,62.23,62.93,62.08,62.63,9906000,62.15
2010-10-12,62.01,62.18,61.56,62.02,24975000,61.55
2010-10-11,61.92,62.21,61.86,62.14,7425200,61.67
2010-10-08,61.00,62.00,60.90,61.86,30692500,61.39
2010-10-07,60.99,61.14,60.75,60.80,23255800,60.34
2010-10-06,60.75,60.99,60.30,60.87,7229800,60.41
2010-10-05,60.26,60.91,59.99,60.82,11412700,60.36
2010-10-04,60.01,60.35,59.68,59.96,11620700,59.50
2010-10-01,60.09,60.37,59.95,60.16,10253300,59.70
2010-09-30,60.32,60.65,59.84,59.97,13101700,59.51
2010-09-29,60.46,60.62,60.03,60.25,9709400,59.79
2010-09-28,61.01,61.13,60.35,60.62,11367300,60.16
2010-09-27,61.45,61.70,61.02,61.04,10284100,60.57
2010-09-24,61.50,61.81,61.36,61.64,10602800,61.17
2010-09-23,61.42,61.58,61.15,61.22,10107400,60.75
2010-09-22,61.53,62.00,61.42,61.79,9646300,61.32
2010-09-21,61.45,61.86,61.23,61.52,11303600,61.05
2010-09-20,61.01,61.59,60.91,61.43,9053600,60.96
2010-09-17,61.31,61.47,60.81,60.97,17798000,60.50
2010-09-16,60.87,61.11,60.66,61.11,7647900,60.64
2010-09-15,60.56,61.41,60.53,61.11,9189700,60.64
2010-09-14,60.39,60.94,60.32,60.64,11011300,60.18
2010-09-13,60.65,60.74,60.22,60.48,9808100,60.02
2010-09-10,60.51,60.63,60.28,60.40,7379100,59.94
2010-09-09,60.67,60.69,60.21,60.29,7937500,59.83
2010-09-08,60.15,60.50,60.15,60.37,7719500,59.91
2010-09-07,60.01,60.45,59.92,60.14,7420600,59.68
2010-09-03,60.26,60.50,59.83,60.29,8970100,59.83
2010-09-02,59.74,60.30,59.71,60.07,10257800,59.61
2010-09-01,59.90,60.05,59.53,59.80,14748800,59.34
2010-08-31,59.31,59.75,59.25,59.67,12590100,59.21
2010-08-30,59.71,59.91,59.34,59.37,7462000,58.92
2010-08-27,59.71,59.92,59.25,59.80,10317400,59.34
2010-08-26,59.91,59.91,59.40,59.54,10264400,59.09
2010-08-25,59.79,59.90,59.40,59.67,10394900,59.21
2010-08-24,59.70,60.02,59.58,59.66,13728400,59.20
2010-08-23,60.01,60.39,59.86,60.03,8468500,59.57
2010-08-20,59.94,60.17,59.67,59.98,12107000,59.52
2010-08-19,60.55,60.63,59.85,60.19,9822700,59.73
2010-08-18,60.16,61.06,60.04,60.75,10739300,60.29
2010-08-17,60.31,60.92,59.93,60.29,10878200,59.83
2010-08-16,59.63,60.20,59.32,59.77,13138100,59.31
2010-08-13,59.74,60.60,59.69,59.82,8805300,59.36
2010-08-12,59.99,60.48,59.38,59.99,11580500,59.53
2010-08-11,60.18,60.64,60.00,60.27,12946800,59.81
2010-08-10,60.10,61.34,60.08,60.78,13450200,60.32
2010-08-09,60.39,60.83,59.86,60.38,11104800,59.92
2010-08-06,59.50,60.04,59.17,60.02,12649700,59.56
2010-08-05,59.55,60.20,59.40,59.86,12620400,59.40
2010-08-04,60.07,60.57,59.55,59.55,19654100,59.10
2010-08-03,59.86,60.20,59.55,59.94,24449800,59.48
2010-08-02,61.95,62.09,61.51,62.06,11167800,61.59
2010-07-30,61.16,61.53,60.82,61.16,11931700,60.69
2010-07-29,62.20,62.38,61.22,61.67,15776400,61.20
2010-07-28,62.88,63.13,62.56,62.70,7844500,62.22
2010-07-27,62.72,63.36,62.35,63.08,12532500,62.60
2010-07-26,61.66,62.58,61.66,62.52,7807300,62.04
2010-07-23,61.40,61.96,61.21,61.91,8461600,61.44
2010-07-22,61.06,61.92,61.01,61.37,13007300,60.90
2010-07-21,61.72,61.82,60.86,61.11,14913600,60.64
2010-07-20,61.63,62.12,61.21,62.07,10930100,61.12
2010-07-19,61.99,62.29,61.71,61.86,9643600,60.91
2010-07-16,62.45,62.67,61.63,61.99,14142400,61.04
2010-07-15,62.62,62.89,62.35,62.73,10267200,61.77
2010-07-14,62.21,62.79,62.00,62.66,13797100,61.70
2010-07-13,62.30,62.85,62.17,62.39,10497300,61.43
2010-07-12,61.54,62.16,61.34,62.09,8324500,61.14
2010-07-09,61.94,61.94,61.36,61.75,9626800,60.80
2010-07-08,60.84,61.97,60.78,61.95,14770600,61.00
2010-07-07,59.50,60.91,59.13,60.82,15470000,59.89
2010-07-06,59.88,59.93,58.92,59.34,13959000,58.43
2010-07-02,59.63,59.89,59.21,59.38,12101900,58.47
2010-07-01,59.84,60.29,59.36,59.54,19338700,58.63
2010-06-30,60.13,60.54,59.71,59.98,17273600,59.06
2010-06-29,60.33,60.54,59.75,60.32,17814300,59.39
2010-06-28,60.00,60.94,59.57,60.62,14115500,59.69
2010-06-25,60.89,60.99,59.79,59.79,44195600,58.87
2010-06-24,61.07,61.38,60.75,60.87,12932700,59.94
2010-06-23,60.89,61.57,60.71,61.38,13424400,60.44
2010-06-22,61.06,61.65,60.69,60.72,13228700,59.79
2010-06-21,61.72,61.79,60.78,61.10,9688200,60.16
2010-06-18,61.80,61.94,61.20,61.30,17518700,60.36
2010-06-17,61.18,61.82,60.83,61.76,12060100,60.81
2010-06-16,61.52,61.74,60.83,61.19,14628800,60.25
2010-06-15,61.61,61.93,61.34,61.91,11944100,60.96
2010-06-14,61.39,61.72,61.21,61.25,10972800,60.31
2010-06-11,61.35,61.40,60.38,61.01,19772400,60.07
2010-06-10,61.97,62.29,61.67,61.91,14756000,60.96
2010-06-09,62.45,62.60,61.27,61.47,14211600,60.53
2010-06-08,60.68,62.24,60.49,62.14,15336800,61.19
2010-06-07,60.72,61.07,60.59,60.62,13182300,59.69
2010-06-04,61.12,61.12,60.57,60.80,17909700,59.87
2010-06-03,61.97,62.14,61.70,61.80,10739800,60.85
2010-06-02,61.16,61.83,61.04,61.74,12985200,60.79
2010-06-01,60.89,61.74,60.52,61.16,15341700,60.22
2010-05-28,60.95,61.68,60.85,61.09,13952100,60.15
2010-05-27,60.88,61.17,60.61,60.95,14963400,60.02
2010-05-26,60.87,61.21,60.33,60.44,17432200,59.51
2010-05-25,60.15,61.12,60.05,61.05,18250900,60.11
2010-05-24,61.43,61.98,61.00,61.40,12718900,60.46
2010-05-21,60.40,61.88,60.37,61.85,23162500,60.90
2010-05-20,62.47,62.54,61.58,61.61,23365800,60.67
2010-05-19,63.10,63.60,62.81,63.22,15928300,62.25
2010-05-18,63.40,63.95,63.13,63.21,15873100,62.24
2010-05-17,63.01,63.48,62.66,63.38,14659000,62.41
2010-05-14,62.76,63.20,62.15,62.54,14651600,61.58
2010-05-13,62.91,63.42,62.73,62.75,11157600,61.79
2010-05-12,62.11,63.13,62.10,63.02,11004800,62.05
2010-05-11,62.04,62.97,61.98,62.37,12397400,61.41
2010-05-10,61.57,62.70,61.16,62.42,16011300,61.46
2010-05-07,60.61,61.20,60.00,60.31,23976600,59.39
2010-05-06,61.91,62.67,39.37,60.75,28560400,59.82
2010-05-05,61.62,62.57,61.50,62.16,11611000,61.21
2010-05-04,62.30,62.53,61.56,61.71,11402600,60.76
2010-05-03,62.42,62.84,61.84,62.68,9756600,61.72
2010-04-30,62.53,63.00,62.11,62.16,15768900,61.21
2010-04-29,62.28,62.97,60.83,62.20,27302400,61.25
2010-04-28,62.65,63.46,62.41,63.17,13090000,62.20
2010-04-27,63.24,63.90,63.04,63.11,12849900,61.67
2010-04-26,63.45,64.00,63.40,63.94,9262400,62.48
2010-04-23,63.48,63.64,63.20,63.54,8452600,62.09
2010-04-22,63.51,63.74,63.23,63.59,8372900,62.14
2010-04-21,63.21,63.66,63.12,63.63,9858500,62.18
2010-04-20,63.47,63.49,63.03,63.19,11230400,61.75
2010-04-19,62.82,63.25,62.70,63.22,9548900,61.78
2010-04-16,62.80,63.49,62.63,62.85,12568700,61.41
2010-04-15,63.03,63.14,62.72,63.00,11314800,61.56
2010-04-14,62.92,63.23,62.71,63.19,7685600,61.75
2010-04-13,62.60,63.34,62.58,63.00,11229400,61.56
2010-04-12,62.45,62.98,62.41,62.70,9164400,61.27
2010-04-09,62.57,63.00,62.51,62.73,9146700,61.30
2010-04-08,62.45,62.85,62.12,62.56,8458800,61.13
2010-04-07,62.91,63.00,62.21,62.50,14043500,61.07
2010-04-06,63.58,63.59,63.01,63.11,11052300,61.67
2010-04-05,63.39,63.89,63.30,63.76,8579800,62.30
2010-04-01,63.47,63.70,63.20,63.36,10554900,61.91
2010-03-31,63.53,63.67,63.18,63.27,8193800,61.82
2010-03-30,63.73,63.97,63.51,63.66,6113600,62.21
2010-03-29,63.73,64.04,63.59,63.73,8176700,62.27
2010-03-26,63.68,63.93,63.40,63.69,10630300,62.23
2010-03-25,63.94,64.12,63.58,63.62,8203200,62.17
2010-03-24,64.33,64.40,63.48,63.61,11732100,62.16
2010-03-23,63.93,64.58,63.66,64.53,11807900,63.06
2010-03-22,63.52,64.10,63.52,63.88,9648000,62.42
2010-03-19,63.83,64.00,63.52,63.84,17458100,62.38
2010-03-18,63.90,64.13,63.65,63.73,8867400,62.27
2010-03-17,63.78,64.03,63.37,64.01,10135400,62.55
2010-03-16,63.72,63.90,63.42,63.53,8939300,62.08
