Date,Open,High,Low,Close,Volume,Adj Close
2010-11-05,45.19,45.22,44.83,45.14,1696500,45.14
2010-11-04,45.01,45.11,44.87,45.11,1316300,45.11
2010-11-03,44.78,44.85,44.33,44.70,1405800,44.70
2010-11-02,44.70,44.90,44.57,44.65,2066900,44.65
2010-11-01,45.29,45.29,44.12,44.38,1616700,44.38
2010-10-29,44.82,45.17,44.68,45.00,4482700,45.00
2010-10-28,44.96,45.00,44.74,44.95,1434900,44.95
2010-10-27,44.51,44.77,44.15,44.74,1421600,44.74
2010-10-26,44.84,44.92,44.66,44.77,1034900,44.77
2010-10-25,45.05,45.14,44.80,44.93,1399600,44.93
2010-10-22,45.02,45.10,44.75,44.91,1501500,44.91
2010-10-21,45.12,45.13,44.67,44.96,1277600,44.96
2010-10-20,44.88,45.12,44.85,44.94,1366100,44.94
2010-10-19,44.60,45.10,44.53,44.75,1647100,44.75
2010-10-18,44.79,44.99,44.54,44.97,1603500,44.97
2010-10-15,44.44,44.75,44.41,44.70,1773000,44.70
2010-10-14,44.36,44.53,44.10,44.26,1078000,44.26
2010-10-13,44.30,44.38,44.14,44.32,1349500,44.32
2010-10-12,44.33,44.44,44.03,44.19,1713400,44.19
2010-10-11,44.55,44.62,44.27,44.31,1285200,44.31
2010-10-08,44.66,44.66,44.28,44.57,1336200,44.57
2010-10-07,44.61,44.84,44.33,44.56,1500100,44.56
2010-10-06,44.81,44.91,44.29,44.43,1811100,44.43
2010-10-05,45.40,45.61,45.31,45.50,2393400,44.88
2010-10-04,44.86,45.23,44.73,45.12,2111200,44.51
2010-10-01,44.69,44.91,44.33,44.86,1664600,44.25
2010-09-30,44.70,44.78,44.30,44.42,1323200,43.81
2010-09-29,44.56,44.69,44.22,44.58,1149000,43.97
2010-09-28,44.49,44.82,44.31,44.72,1440700,44.11
2010-09-27,44.63,44.69,38.38,44.43,1936500,43.82
2010-09-24,44.30,44.70,44.30,44.56,1205500,43.95
2010-09-23,44.22,44.36,43.89,44.01,1559600,43.41
2010-09-22,44.15,44.69,44.10,44.42,1660000,43.81
2010-09-21,44.26,44.31,43.84,44.06,1973900,43.46
2010-09-20,43.51,44.21,43.48,44.18,1356500,43.58
2010-09-17,43.62,43.67,43.31,43.53,2445500,42.94
2010-09-16,43.82,43.95,43.55,43.69,1264800,43.09
2010-09-15,43.91,44.06,43.80,43.91,1302200,43.31
2010-09-14,43.93,44.22,43.77,44.01,1153900,43.41
2010-09-13,44.00,44.04,43.71,43.92,1282300,43.32
2010-09-10,43.77,43.87,43.53,43.77,1506600,43.17
2010-09-09,43.80,44.05,43.69,43.86,2160500,43.26
2010-09-08,43.83,43.92,43.32,43.44,1689900,42.85
