Date,Open,High,Low,Close,Volume,Adj Close
2010-11-05,21.96,22.13,21.76,21.94,4014100,21.94
2010-11-04,21.68,21.99,21.54,21.97,4248600,21.97
2010-11-03,21.46,21.52,21.19,21.52,3098100,21.52
2010-11-02,21.41,21.60,21.32,21.41,3037500,21.41
2010-11-01,21.28,21.50,21.09,21.24,2371100,21.24
2010-10-29,21.23,21.34,21.04,21.16,16086800,21.16
2010-10-28,21.49,21.49,21.12,21.34,3672500,21.34
2010-10-27,21.24,21.40,21.03,21.36,4238800,21.36
2010-10-26,20.98,21.47,20.98,21.40,4363100,21.40
2010-10-25,21.12,21.24,20.99,21.01,3161200,21.01
2010-10-22,20.87,20.99,20.65,20.97,3321500,20.97
2010-10-21,20.71,20.83,20.39,20.54,3027100,20.54
2010-10-20,20.38,20.85,20.30,20.63,3584200,20.63
2010-10-19,20.49,20.61,20.16,20.31,4964200,20.31
2010-10-18,20.70,20.70,20.53,20.66,3369800,20.66
2010-10-15,21.07,21.07,20.44,20.71,4590200,20.71
2010-10-14,21.25,21.50,20.51,20.88,6543300,20.88
2010-10-13,21.26,21.50,21.07,21.32,2371400,21.32
2010-10-12,21.02,21.14,20.86,21.12,2665700,21.12
2010-10-11,21.10,21.17,20.99,21.10,1570800,21.10
2010-10-08,21.09,21.19,20.90,21.12,1844700,21.12
2010-10-07,21.13,21.23,20.93,21.03,2110000,21.03
2010-10-06,21.07,21.11,20.91,21.02,2072700,21.02
2010-10-05,20.74,21.20,20.50,21.15,3173200,21.15
2010-10-04,20.80,20.95,20.53,20.61,2665700,20.61
2010-10-01,21.07,21.07,20.70,20.86,3318500,20.86
2010-09-30,20.95,21.29,20.82,20.87,5468600,20.87
2010-09-29,21.20,21.21,20.73,20.80,4736300,20.80
2010-09-28,21.17,21.39,20.95,21.35,3546400,21.35
2010-09-27,21.38,21.38,21.07,21.08,2888300,21.08
2010-09-24,21.00,21.34,21.00,21.34,3101400,21.34
2010-09-23,20.94,21.09,20.76,20.76,2578600,20.76
2010-09-22,21.35,21.46,21.09,21.11,3753700,21.11
2010-09-21,21.45,21.59,21.28,21.38,3885300,21.38
2010-09-20,21.14,21.45,21.07,21.42,3412200,21.42
2010-09-17,21.06,21.20,20.98,21.12,3779600,21.12
2010-09-16,20.54,21.02,20.27,20.99,4657700,20.99
2010-09-15,20.39,20.75,20.26,20.75,2716000,20.75
2010-09-14,20.59,20.65,20.48,20.52,2764900,20.52
2010-09-13,20.62,20.70,20.52,20.68,2744700,20.68
2010-09-10,20.46,20.57,20.33,20.35,3783600,20.35
2010-09-09,20.97,21.00,20.37,20.40,4675200,20.40
2010-09-08,20.53,20.79,20.53,20.76,2595100,20.76
2010-09-07,20.60,20.75,20.45,20.47,2928300,20.47
2010-09-03,20.70,20.75,20.37,20.74,4072500,20.74
2010-09-02,20.39,20.56,20.27,20.55,2815800,20.55
2010-09-01,19.98,20.36,19.83,20.34,4493300,20.34
2010-08-31,19.76,19.92,19.47,19.80,4079400,19.80
2010-08-30,19.81,19.93,19.72,19.77,4163800,19.77
2010-08-27,19.54,19.90,19.32,19.90,3362700,19.90
2010-08-26,19.56,19.62,19.34,19.40,3642600,19.40
2010-08-25,19.13,19.59,19.06,19.52,3658900,19.52
2010-08-24,19.15,19.46,19.15,19.28,2958400,19.28
2010-08-23,19.57,19.61,19.38,19.38,2467100,19.38
2010-08-20,19.42,19.56,19.30,19.45,3525900,19.45
2010-08-19,19.67,19.72,19.49,19.51,8354300,19.51
2010-08-18,19.23,19.74,19.19,19.71,7237500,19.71
2010-08-17,19.27,19.41,19.16,19.25,4619600,19.25
2010-08-16,19.09,19.19,18.97,19.08,2686000,19.08
2010-08-13,19.16,19.38,19.09,19.18,2089100,19.18
2010-08-12,18.95,19.24,18.95,19.19,3654900,19.19
2010-08-11,19.54,19.54,19.17,19.20,3069000,19.20
2010-08-10,19.63,19.89,19.59,19.75,2550900,19.75
2010-08-09,19.78,19.83,19.65,19.81,2165000,19.81
2010-08-06,19.57,19.69,19.34,19.65,2219700,19.65
2010-08-05,19.57,19.76,19.51,19.75,2438400,19.75
2010-08-04,19.70,19.88,19.51,19.68,4378600,19.68
2010-08-03,19.93,19.93,19.58,19.61,2679600,19.61
2010-08-02,19.99,20.03,19.75,19.98,2882200,19.98
2010-07-30,19.50,19.78,19.42,19.64,2692200,19.64
2010-07-29,19.96,20.04,19.62,19.71,4041200,19.71
2010-07-28,20.06,20.16,19.78,19.81,2610000,19.81
2010-07-27,20.30,20.30,20.07,20.16,3151300,20.16
2010-07-26,19.85,20.19,19.85,20.18,3660400,20.18
2010-07-23,19.58,19.89,19.48,19.87,4193600,19.87
2010-07-22,19.40,19.67,19.38,19.65,4121900,19.65
2010-07-21,20.01,20.01,19.21,19.24,4988800,19.24
2010-07-20,19.33,19.81,19.30,19.78,5362700,19.78
2010-07-19,19.66,19.76,19.50,19.65,3491200,19.65
2010-07-16,19.97,20.02,19.56,19.59,6663800,19.59
2010-07-15,20.11,20.15,19.77,20.10,7786000,20.10
2010-07-14,19.52,20.35,19.52,20.11,8698800,20.11
2010-07-13,19.99,20.00,19.76,19.84,4381000,19.84
