Date,Open,High,Low,Close,Volume,Adj Close
2010-11-05,79.98,81.81,79.93,81.68,1371100,81.68
2010-11-04,79.39,80.49,79.03,80.38,1414200,80.38
2010-11-03,78.78,79.18,76.63,77.86,1314600,77.86
2010-11-02,78.06,78.83,77.70,78.51,1680500,78.51
2010-11-01,77.31,78.47,76.74,77.30,1896400,77.30
2010-10-29,75.59,77.16,75.40,76.55,1301800,76.55
2010-10-28,76.49,77.11,75.27,75.87,1023300,75.87
2010-10-27,75.76,76.08,74.91,75.98,1570400,75.98
2010-10-26,76.51,76.88,74.79,76.50,1648900,76.50
2010-10-25,76.87,77.95,76.84,77.19,1717300,77.19
2010-10-22,76.16,76.39,75.55,76.31,1571500,76.31
2010-10-21,76.05,77.25,74.77,75.95,1906600,75.95
2010-10-20,75.56,76.41,75.02,75.49,2616200,75.49
2010-10-19,78.26,78.71,74.23,75.08,5879600,75.08
2010-10-18,71.21,72.64,71.11,72.42,1942400,72.42
2010-10-15,72.02,72.02,70.45,71.03,1252200,71.03
2010-10-14,71.46,71.76,70.75,71.17,979800,71.17
2010-10-13,71.14,72.41,70.88,71.79,1204700,71.79
2010-10-12,70.89,70.92,69.36,70.53,1578900,70.53
2010-10-11,70.65,71.40,69.91,70.94,777500,70.94
2010-10-08,70.73,71.50,69.96,71.18,887900,71.18
2010-10-07,70.57,70.88,69.96,70.71,1333500,70.71
2010-10-06,70.72,71.27,69.64,70.19,1595800,70.19
2010-10-05,69.23,71.65,69.03,71.02,1771400,71.02
2010-10-04,69.98,70.37,67.52,68.28,2231100,68.28
2010-10-01,70.56,70.91,69.33,70.41,1518100,70.41
2010-09-30,70.80,72.12,69.79,70.06,1518600,70.06
2010-09-29,69.64,71.13,69.53,70.45,2499000,70.45
2010-09-28,69.63,70.34,68.57,70.11,871900,70.11
2010-09-27,69.68,69.94,69.30,69.42,824800,69.42
2010-09-24,69.06,70.21,68.83,69.88,1202000,69.88
2010-09-23,68.57,68.70,67.55,67.76,1446400,67.76
2010-09-22,69.46,70.10,69.04,69.38,1723200,69.38
2010-09-21,69.55,70.30,69.24,69.46,1574200,69.46
2010-09-20,68.77,70.00,68.23,69.84,1054300,69.84
2010-09-17,67.76,68.83,67.09,68.53,1644100,68.53
2010-09-16,66.98,67.35,66.70,67.22,951100,67.22
2010-09-15,66.64,67.34,66.21,67.21,979000,67.21
2010-09-14,67.64,67.69,66.97,66.98,1328300,66.98
2010-09-13,66.10,67.89,65.96,67.75,2122500,67.75
2010-09-10,65.30,65.80,64.95,65.05,1168200,65.05
2010-09-09,66.03,66.03,64.62,64.96,769600,64.96
2010-09-08,64.32,65.59,64.25,65.04,979900,65.04
2010-09-07,64.29,64.70,64.01,64.15,1001000,64.15
2010-09-03,64.84,65.48,64.01,64.97,1352700,64.97
2010-09-02,62.53,63.78,62.30,63.70,2028600,63.70
2010-09-01,60.19,62.31,60.19,62.20,1813700,62.20
2010-08-31,58.90,59.85,58.72,59.16,1718400,59.16
2010-08-30,60.59,60.93,59.34,59.36,950100,59.36
2010-08-27,60.52,60.93,59.29,60.69,1879200,60.69
2010-08-26,59.97,60.62,59.46,59.85,2978200,59.85
2010-08-25,59.56,60.18,58.71,59.66,2909400,59.66
2010-08-24,60.84,61.15,60.26,60.30,2633100,60.30
2010-08-23,63.69,64.41,61.91,61.98,1835100,61.98
2010-08-20,63.23,63.85,62.61,63.23,1955100,63.23
2010-08-19,64.75,64.90,63.41,63.80,3335500,63.80
2010-08-18,65.42,66.25,64.91,65.87,1850800,65.60
2010-08-17,63.95,65.99,63.93,65.51,2161000,65.24
2010-08-16,62.99,63.47,62.06,63.40,1820700,63.14
2010-08-13,62.67,63.81,62.48,63.52,1906900,63.26
2010-08-12,61.10,62.92,61.06,62.83,2016300,62.57
2010-08-11,62.75,63.81,62.10,62.35,1873100,62.09
2010-08-10,64.00,65.14,63.84,65.04,1795700,64.77
2010-08-09,65.83,65.92,64.67,65.31,1930200,65.04
2010-08-06,64.36,65.67,64.36,65.48,1789800,65.21
2010-08-05,63.98,65.49,63.79,65.39,1606300,65.12
2010-08-04,63.67,64.89,63.02,64.44,1626600,64.18
2010-08-03,64.14,64.68,62.32,64.18,3248900,63.92
2010-08-02,63.36,64.31,62.68,63.85,2127500,63.59
2010-07-30,61.10,62.39,60.20,62.12,1931500,61.87
2010-07-29,62.39,63.29,60.91,61.56,1717500,61.31
2010-07-28,60.98,61.99,60.95,61.81,2410900,61.56
2010-07-27,62.92,62.93,60.74,61.09,2112100,60.84
2010-07-26,62.13,62.66,61.56,62.36,2132800,62.10
