Date,Open,High,Low,Close,Volume,Adj Close
2010-11-05,44.36,44.78,44.30,44.69,570800,44.69
2010-11-04,44.16,44.68,44.12,44.59,484900,44.59
2010-11-03,43.44,43.66,42.94,43.53,539300,43.53
2010-11-02,43.20,43.57,43.10,43.32,399300,43.32
2010-11-01,42.90,43.38,42.40,42.75,518900,42.75
2010-10-29,42.37,42.94,42.31,42.67,573700,42.67
2010-10-28,42.79,43.00,42.16,42.46,615100,42.46
2010-10-27,42.66,43.09,42.20,42.47,757200,42.47
2010-10-26,43.07,43.41,42.90,43.08,730700,43.08
2010-10-25,43.75,43.88,43.24,43.35,630900,43.35
2010-10-22,43.76,43.79,43.34,43.43,390400,43.43
2010-10-21,43.42,43.87,43.26,43.73,782400,43.73
2010-10-20,42.44,43.58,42.21,43.20,813600,43.20
2010-10-19,42.86,43.13,42.07,42.34,1481700,42.34
2010-10-18,42.93,43.59,42.68,43.50,1371800,43.50
2010-10-15,44.10,44.19,43.10,43.48,806300,43.48
2010-10-14,44.07,44.32,43.50,43.70,669700,43.70
2010-10-13,43.81,44.65,43.75,44.22,1037900,44.22
2010-10-12,43.07,43.74,42.76,43.60,1051900,43.60
2010-10-11,43.23,43.45,43.05,43.30,1059400,43.30
2010-10-08,42.82,43.64,42.66,43.25,1075700,43.25
2010-10-07,42.44,42.78,42.05,42.68,1575600,42.68
2010-10-06,42.38,42.79,41.93,42.19,828800,42.19
2010-10-05,41.90,42.65,41.84,42.52,709400,42.36
2010-10-04,41.82,42.13,41.06,41.36,621700,41.20
2010-10-01,41.93,42.04,41.20,41.97,844500,41.81
2010-09-30,41.78,42.44,41.33,41.64,797100,41.48
2010-09-29,41.54,41.72,41.32,41.55,963000,41.39
2010-09-28,41.64,41.85,40.96,41.80,814600,41.64
2010-09-27,41.68,41.85,41.28,41.50,851800,41.34
2010-09-24,41.45,41.82,41.18,41.76,622200,41.60
2010-09-23,40.72,41.25,40.51,40.82,801600,40.67
