Date,Open,High,Low,Close,Volume,Adj Close
2010-11-05,60.87,60.87,60.18,60.44,7494700,60.44
2010-11-04,59.88,60.83,59.70,60.82,8143400,60.82
2010-11-03,58.60,59.53,58.40,59.30,6331200,59.30
2010-11-02,58.38,59.00,58.14,58.46,7546100,58.46
2010-11-01,58.61,59.31,58.12,58.29,7299800,58.29
2010-10-29,59.06,59.26,58.50,58.51,6335200,58.51
2010-10-28,59.27,59.70,58.93,59.26,5686200,59.26
2010-10-27,58.97,59.14,58.38,58.98,6200700,58.98
2010-10-26,59.15,59.53,58.93,59.50,5663400,59.50
2010-10-25,58.53,59.85,58.47,59.47,9071800,59.47
2010-10-22,57.92,58.29,57.58,58.13,4375200,58.13
2010-10-21,56.88,57.85,56.49,57.56,6836400,57.56
2010-10-20,57.22,57.69,57.01,57.48,5809400,57.48
2010-10-19,57.81,58.04,56.66,57.07,8711400,57.07
2010-10-18,58.34,58.56,58.06,58.38,6675100,58.38
2010-10-15,58.02,58.78,58.02,58.54,13173400,58.54
2010-10-14,57.40,57.90,57.39,57.75,5885000,57.75
2010-10-13,57.39,57.75,57.01,57.36,6376000,57.36
2010-10-12,56.48,57.30,56.40,57.18,5307600,57.18
2010-10-11,56.96,57.16,56.33,56.42,3329800,56.42
2010-10-08,56.75,57.20,56.60,56.63,6366700,56.63
2010-10-07,56.56,56.65,55.95,56.29,6645900,56.29
2010-10-06,55.40,56.93,55.37,56.31,10977500,56.31
2010-10-05,55.66,55.97,55.15,55.35,10135400,55.35
2010-10-04,55.39,55.71,55.10,55.29,5167600,55.29
2010-10-01,56.04,56.51,55.45,55.55,7624400,55.55
2010-09-30,56.48,57.11,55.81,56.02,7636400,56.02
2010-09-29,55.97,56.65,55.75,56.32,6343600,56.32
2010-09-28,55.40,56.19,55.17,56.08,7329000,56.08
2010-09-27,55.98,56.22,55.45,55.46,5742800,55.46
2010-09-24,55.58,56.50,55.56,56.10,6991400,56.10
2010-09-23,54.81,55.64,54.66,55.11,5943700,55.11
2010-09-22,55.13,55.40,54.90,55.19,8079000,55.19
2010-09-21,56.03,56.25,55.46,56.04,9415100,55.40
2010-09-20,55.29,56.23,55.00,55.95,7959000,55.31
2010-09-17,55.30,55.90,55.07,55.12,9668900,54.49
2010-09-16,55.20,55.30,54.81,55.11,7305200,54.48
2010-09-15,54.86,55.60,54.63,55.54,6853500,54.91
2010-09-14,54.55,55.00,54.26,54.86,7006900,54.23
2010-09-13,54.96,54.99,54.32,54.77,6024400,54.14
2010-09-10,53.87,54.87,53.81,54.60,6993300,53.98
2010-09-09,53.68,53.97,53.22,53.75,7495000,53.14
2010-09-08,53.61,53.86,53.40,53.62,7384600,53.01
2010-09-07,53.92,54.25,53.57,53.64,5649600,53.03
2010-09-03,53.11,54.10,53.11,54.04,6718500,53.42
2010-09-02,52.97,53.36,52.87,53.29,6497500,52.68
2010-09-01,51.88,53.09,51.88,52.97,8452400,52.37
2010-08-31,51.37,51.77,51.02,51.36,6513000,50.77
2010-08-30,51.08,51.91,51.08,51.43,3937900,50.84
2010-08-27,51.14,51.63,50.65,51.44,6943100,50.85
2010-08-26,51.54,51.84,50.54,51.06,6954300,50.48
2010-08-25,51.17,51.75,50.93,51.52,10833600,50.93
2010-08-24,51.31,51.70,51.06,51.51,7319800,50.92
2010-08-23,52.10,52.49,51.71,51.73,5506500,51.14
2010-08-20,51.75,52.43,51.75,51.98,7730100,51.39
2010-08-19,52.72,52.72,51.62,52.00,9741700,51.41
2010-08-18,52.55,52.99,52.22,52.76,9184200,52.16
2010-08-17,52.34,53.04,51.99,52.57,6503900,51.97
2010-08-16,51.66,52.06,50.96,51.99,5486600,51.40
2010-08-13,51.59,52.28,51.59,51.99,6276000,51.40
2010-08-12,51.22,52.16,51.18,51.85,7476900,51.26
2010-08-11,52.22,52.47,51.63,51.75,7369600,51.16
2010-08-10,52.09,53.24,52.05,52.97,8210600,52.37
2010-08-09,52.38,52.62,52.17,52.54,6837600,51.94
2010-08-06,51.53,52.21,51.23,52.19,6231900,51.59
2010-08-05,52.08,52.09,51.70,51.82,6634300,51.23
