Date,Open,High,Low,Close,Volume,Adj Close
2010-11-05,56.47,59.00,56.12,58.41,10117500,58.41
2010-11-04,54.54,56.00,54.31,55.93,6551600,55.93
2010-11-03,52.90,54.08,52.55,54.06,5808300,54.06
2010-11-02,53.47,53.49,52.65,52.90,3271600,52.90
2010-11-01,54.08,54.60,52.52,53.17,3979100,53.17
2010-10-29,53.51,54.18,53.36,53.90,2380300,53.90
2010-10-28,54.08,54.30,53.26,53.64,2417900,53.64
2010-10-27,53.67,54.61,53.46,53.75,4741400,53.75
2010-10-26,53.76,54.33,53.60,54.00,3305900,54.00
2010-10-25,55.00,55.00,53.85,54.00,4102200,54.00
2010-10-22,53.79,54.73,53.65,54.72,5072800,54.72
2010-10-21,52.59,54.36,52.40,53.56,7732000,53.56
2010-10-20,52.96,53.45,52.00,52.74,5958000,52.74
2010-10-19,52.42,53.82,52.42,53.04,6011700,53.04
2010-10-18,51.08,53.08,51.01,53.01,3886500,53.01
2010-10-15,52.03,52.24,50.69,51.32,7616600,51.32
2010-10-14,52.73,52.73,50.97,51.75,7674500,51.75
2010-10-13,53.37,53.88,52.79,52.92,4751900,52.92
2010-10-12,52.71,53.25,52.10,53.05,5104700,52.95
2010-10-11,53.03,53.31,52.59,52.84,3057100,52.74
2010-10-08,53.19,53.44,52.76,53.08,3511500,52.98
2010-10-07,54.13,54.35,52.69,53.10,3949300,53.00
2010-10-06,53.27,53.97,52.94,53.78,4380400,53.68
2010-10-05,52.51,53.95,52.30,53.48,5938600,53.38
2010-10-04,52.66,53.27,51.84,52.10,3654700,52.00
2010-10-01,52.56,53.00,51.94,52.84,5008800,52.74
2010-09-30,52.29,52.76,51.71,51.91,5454000,51.81
2010-09-29,52.13,52.34,51.56,51.80,4432200,51.70
2010-09-28,51.49,52.69,51.37,52.50,5146000,52.40
2010-09-27,52.94,52.95,51.41,51.47,4718200,51.37
2010-09-24,52.24,53.12,51.50,53.08,6342900,52.98
2010-09-23,50.85,52.50,50.75,51.43,8654800,51.33
2010-09-22,52.33,52.58,50.79,51.27,11254300,51.17
2010-09-21,54.29,54.63,52.54,52.55,8350700,52.45
2010-09-20,54.56,54.62,53.83,53.98,5667300,53.88
2010-09-17,54.76,55.11,53.79,54.35,3378600,54.25
2010-09-16,54.76,54.92,53.84,54.47,2378100,54.37
2010-09-15,54.86,54.97,53.66,54.83,4044000,54.73
2010-09-14,56.06,56.15,54.82,55.28,3986700,55.18
2010-09-13,55.74,57.38,55.74,56.34,4368500,56.23
2010-09-10,54.73,55.34,54.40,54.76,2487400,54.66
2010-09-09,54.77,55.27,54.00,54.70,3554200,54.60
2010-09-08,52.93,54.30,52.68,53.94,2807700,53.84
2010-09-07,54.43,54.43,52.85,52.98,3543900,52.88
2010-09-03,54.68,55.17,54.16,54.93,3447400,54.83
2010-09-02,53.09,54.16,53.00,54.11,3942000,54.01
2010-09-01,51.88,53.44,51.41,53.19,6432000,53.09
2010-08-31,50.39,51.48,50.10,50.99,3758400,50.89
2010-08-30,51.56,51.67,50.31,50.36,2738100,50.27
2010-08-27,50.82,52.06,50.20,51.97,4797400,51.87
2010-08-26,50.65,51.88,50.49,50.53,8426600,50.43
2010-08-25,50.24,50.74,49.43,50.54,6213900,50.44
2010-08-24,51.48,51.73,50.49,50.56,7631000,50.46
2010-08-23,53.30,53.50,52.13,52.15,4843800,52.05
2010-08-20,54.27,54.35,52.48,52.73,7096800,52.63
2010-08-19,55.93,56.33,54.26,54.29,4463000,54.19
2010-08-18,55.54,56.36,55.02,56.26,4148700,56.15
2010-08-17,56.24,56.36,55.28,55.42,5436900,55.32
2010-08-16,54.81,55.78,54.71,55.64,2822900,55.54
2010-08-13,56.15,56.45,55.02,55.09,4700500,54.99
2010-08-12,55.74,56.93,55.74,56.09,4220000,55.98
2010-08-11,57.61,58.15,56.64,56.75,5081600,56.64
2010-08-10,57.28,59.20,57.28,58.71,4110600,58.60
2010-08-09,59.18,59.21,57.64,58.02,4955000,57.91
2010-08-06,59.19,59.48,57.68,58.83,3957700,58.72
2010-08-05,59.85,60.36,59.50,60.17,2984600,60.06
2010-08-04,60.45,60.50,59.77,60.33,3008500,60.22
2010-08-03,60.69,60.82,59.95,60.35,2688600,60.24
2010-08-02,60.21,61.00,59.47,60.96,3153000,60.85
2010-07-30,58.98,59.84,58.67,59.39,2326600,59.28
2010-07-29,60.72,60.94,58.91,59.60,3289200,59.49
2010-07-28,60.91,61.45,58.93,59.63,5685300,59.52
2010-07-27,62.00,62.74,61.27,61.30,3473100,61.18
2010-07-26,61.17,62.27,60.50,61.85,2995400,61.73
2010-07-23,59.46,61.50,59.02,61.02,3771400,60.90
2010-07-22,59.84,61.10,59.50,59.78,6205100,59.67
2010-07-21,60.00,60.08,58.06,58.54,5534700,58.43
2010-07-20,57.16,59.03,56.71,58.94,5042000,58.83
2010-07-19,58.43,58.55,56.71,57.97,4397700,57.86
2010-07-16,59.97,60.42,57.89,58.23,5482800,58.12
2010-07-15,61.36,61.53,59.24,60.88,3487300,60.77
2010-07-14,62.22,62.22,60.30,61.29,5863100,61.17
2010-07-13,62.38,62.99,61.99,62.74,3465000,62.62
2010-07-12,61.64,61.92,60.64,61.49,2238800,61.37
2010-07-09,61.04,62.05,60.76,61.89,3836500,61.67
2010-07-08,61.35,61.60,60.06,61.14,4902900,60.93
2010-07-07,57.31,61.23,57.03,61.15,8428900,60.94
2010-07-06,56.69,57.37,55.99,56.74,4127900,56.54
2010-07-02,56.70,56.96,55.28,55.67,3034100,55.48
2010-07-01,56.50,57.39,54.53,56.32,5283900,56.12
2010-06-30,57.40,58.22,56.30,56.50,3691300,56.30
2010-06-29,58.97,59.59,57.26,57.58,5042000,57.38
2010-06-28,61.23,61.30,59.74,59.83,3066500,59.62
2010-06-25,59.88,61.22,59.49,61.03,4655600,60.82
2010-06-24,60.11,60.41,58.89,59.07,3909400,58.86
2010-06-23,60.63,61.43,60.28,60.71,3348300,60.50
2010-06-22,62.01,62.11,60.52,60.63,3664800,60.42
2010-06-21,63.69,63.81,61.53,61.87,3327300,61.65
2010-06-18,62.45,62.95,61.93,62.78,4931000,62.56
2010-06-17,62.38,62.49,61.31,62.19,2891900,61.97
2010-06-16,61.51,62.83,61.46,62.35,3366300,62.13
2010-06-15,60.84,62.01,60.20,61.96,4289200,61.74
2010-06-14,61.67,61.69,60.12,60.20,3723000,59.99
2010-06-11,59.67,61.33,59.63,61.25,3648300,61.04
2010-06-10,58.84,60.73,58.84,60.58,3891900,60.37
2010-06-09,59.33,59.45,57.75,58.01,4650200,57.81
2010-06-08,58.45,59.35,57.59,59.24,4785000,59.03
2010-06-07,59.08,60.22,58.23,58.31,5197800,58.11
2010-06-04,60.85,61.31,58.50,58.68,7212200,58.47
2010-06-03,63.97,63.99,61.75,62.04,5001500,61.82
2010-06-02,61.85,63.70,61.46,63.69,4386400,63.47
2010-06-01,62.21,63.75,61.12,61.16,3816300,60.95
2010-05-28,64.23,64.29,62.32,62.75,3666500,62.53
2010-05-27,62.52,64.56,62.13,64.47,4436300,64.24
2010-05-26,61.99,62.74,61.02,61.63,7511900,61.41
2010-05-25,59.01,61.90,58.77,61.80,6460200,61.58
2010-05-24,62.24,62.50,60.42,60.56,6539200,60.35
2010-05-21,59.52,62.87,59.28,62.76,7506900,62.54
2010-05-20,61.26,62.14,60.38,60.55,6822600,60.34
2010-05-19,63.10,64.15,61.28,62.78,6555200,62.56
2010-05-18,66.44,66.44,63.17,63.68,7212100,63.46
2010-05-17,65.72,66.49,64.25,65.85,4444900,65.62
2010-05-14,66.39,66.72,64.70,65.61,5403200,65.38
2010-05-13,68.16,68.79,66.98,66.99,3898300,66.76
2010-05-12,68.97,69.19,68.07,68.52,3676400,68.28
2010-05-11,66.74,69.68,66.53,68.61,4931200,68.37
2010-05-10,67.45,68.45,66.39,67.84,5981400,67.60
2010-05-07,64.50,65.66,63.31,64.14,6822800,63.92
2010-05-06,67.16,68.01,60.86,64.41,9571500,64.18
2010-05-05,65.78,68.88,65.42,67.59,7599000,67.35
2010-05-04,67.68,67.77,65.97,66.46,5319000,66.23
2010-05-03,67.45,68.62,67.05,68.57,4947600,68.33
2010-04-30,65.90,67.70,65.89,67.21,9616700,66.97
2010-04-29,66.23,67.31,65.79,66.06,7641300,65.83
2010-04-28,66.10,66.98,64.71,65.47,7214900,65.24
2010-04-27,66.68,68.45,66.02,66.09,5800900,65.86
2010-04-26,69.89,69.89,66.70,66.77,4366300,66.54
2010-04-23,69.49,70.45,68.87,69.64,6376800,69.40
2010-04-22,66.85,69.24,66.39,68.82,10169800,68.58
2010-04-21,64.88,66.49,64.12,65.30,6041400,65.07
2010-04-20,64.07,64.94,63.24,64.92,3336600,64.69
2010-04-19,62.59,63.88,62.17,63.50,5084600,63.28
2010-04-16,64.02,64.02,60.79,63.02,9749100,62.80
2010-04-15,64.97,65.35,64.01,64.16,3869100,63.94
2010-04-14,63.86,65.67,63.86,65.16,4288500,64.93
2010-04-13,64.78,65.00,63.36,63.62,5822200,63.40
2010-04-12,64.83,65.75,64.83,65.27,4676600,65.04
2010-04-09,64.36,64.80,63.49,64.80,4953900,64.57
2010-04-08,62.36,64.77,62.19,64.10,6012100,63.78
2010-04-07,62.69,63.35,62.12,62.50,4354800,62.18
2010-04-06,61.38,62.65,61.37,62.58,3588900,62.26
2010-04-05,60.50,61.70,60.34,61.66,3057700,61.35
2010-04-01,60.17,60.73,59.89,60.24,3070600,59.94
2010-03-31,58.43,60.00,58.28,59.70,3886900,59.40
2010-03-30,59.47,59.58,58.12,58.69,4012300,58.39
2010-03-29,60.00,60.16,58.96,59.47,2715900,59.17
2010-03-26,59.98,60.96,59.18,59.57,3660000,59.27
2010-03-25,60.21,61.80,59.84,59.93,5465700,59.63
2010-03-24,59.62,60.56,59.36,59.87,3476900,59.57
2010-03-23,59.81,59.98,58.80,59.81,2574600,59.51
2010-03-22,58.96,60.09,58.84,59.85,3035600,59.55
2010-03-19,59.48,60.14,58.84,59.61,4548000,59.31
2010-03-18,59.91,59.98,58.43,59.20,4277000,58.90
