Date,Open,High,Low,Close,Volume,Adj Close
2010-11-05,42.34,42.37,41.98,42.14,488400,42.14
2010-11-04,42.13,42.44,42.07,42.26,610900,42.26
2010-11-03,42.13,42.15,41.56,41.79,1033000,41.79
2010-11-02,41.22,42.03,41.22,42.02,747100,42.02
2010-11-01,41.25,41.63,40.84,41.00,732300,41.00
2010-10-29,41.02,41.32,40.99,41.16,1353000,41.16
2010-10-28,41.63,41.63,41.04,41.10,832900,41.10
2010-10-27,41.91,41.91,41.15,41.77,816700,41.25
2010-10-26,41.91,42.12,41.80,41.90,463400,41.37
2010-10-25,42.29,42.37,42.01,42.02,1502900,41.49
2010-10-22,42.27,42.41,41.84,42.18,1737700,41.65
2010-10-21,42.43,42.68,41.99,42.20,1793200,41.67
2010-10-20,41.89,42.54,41.86,42.37,1006500,41.84
2010-10-19,41.49,42.13,41.48,41.79,996800,41.26
2010-10-18,41.65,41.88,41.55,41.87,1332500,41.34
2010-10-15,41.49,41.81,41.44,41.66,628000,41.14
2010-10-14,41.26,41.67,41.23,41.35,694400,40.83
2010-10-13,41.18,41.39,41.06,41.25,603600,40.73
2010-10-12,41.20,41.24,40.93,41.03,880200,40.51
2010-10-11,41.26,41.38,41.18,41.21,712100,40.69
2010-10-08,41.34,41.38,41.07,41.26,605600,40.74
2010-10-07,41.60,41.60,41.07,41.18,881400,40.66
2010-10-06,41.65,41.78,41.19,41.43,541800,40.91
2010-10-05,41.61,41.67,41.39,41.66,957400,41.14
2010-10-04,41.37,41.73,41.09,41.26,689500,40.74
2010-10-01,41.11,41.71,41.00,41.65,707400,41.13
2010-09-30,41.63,41.74,41.19,41.27,847600,40.75
2010-09-29,41.57,41.63,41.17,41.35,624500,40.83
2010-09-28,41.63,41.75,41.19,41.69,582600,41.17
2010-09-27,41.11,41.66,41.04,41.49,601600,40.97
2010-09-24,40.79,41.23,40.70,41.23,767300,40.71
2010-09-23,40.78,40.88,40.33,40.34,578600,39.83
2010-09-22,40.83,41.36,40.80,40.92,579000,40.41
2010-09-21,40.92,41.09,40.58,40.82,854400,40.31
2010-09-20,40.50,40.97,40.33,40.95,510000,40.44
2010-09-17,40.70,40.72,40.23,40.36,1156400,39.85
2010-09-16,41.01,41.01,40.27,40.49,899900,39.98
2010-09-15,41.10,41.37,40.92,41.04,833400,40.52
2010-09-14,41.19,41.39,40.93,41.23,684200,40.71
2010-09-13,40.88,41.22,40.60,41.17,1050200,40.65
2010-09-10,40.63,40.71,40.37,40.55,524300,40.04
2010-09-09,40.54,40.79,40.42,40.62,702300,40.11
2010-09-08,40.80,40.90,40.19,40.19,982200,39.68
2010-09-07,40.78,41.14,40.63,40.83,479200,40.32
2010-09-03,40.86,41.04,40.65,41.04,414100,40.52
2010-09-02,41.00,41.00,40.46,40.76,1035500,40.25
2010-09-01,40.36,40.98,40.04,40.90,837900,40.39
2010-08-31,39.60,40.04,39.47,39.85,780200,39.35
2010-08-30,40.31,40.39,39.69,39.73,478200,39.23
2010-08-27,39.76,40.44,39.44,40.34,768100,39.83
2010-08-26,40.10,40.10,39.46,39.62,718400,39.12
2010-08-25,39.84,39.99,39.33,39.93,1443200,39.43
2010-08-24,39.43,40.14,39.34,39.98,1131600,39.48
2010-08-23,39.45,40.00,39.33,39.75,2044300,39.25
2010-08-20,38.88,39.34,38.87,39.28,510900,38.79
2010-08-19,39.60,39.74,39.01,39.24,761700,38.75
2010-08-18,40.26,40.26,39.51,39.74,906700,39.24
2010-08-17,39.65,40.33,39.59,40.25,936800,39.74
2010-08-16,39.32,39.63,39.17,39.42,898000,38.92
2010-08-13,39.29,39.84,39.27,39.50,720900,39.00
2010-08-12,38.73,39.57,38.54,39.35,1652800,38.86
2010-08-11,39.30,39.38,38.86,39.05,1652500,38.56
2010-08-10,39.28,39.99,39.08,39.80,1400700,39.30
2010-08-09,39.43,39.74,39.38,39.51,1038200,39.01
2010-08-06,39.36,39.59,39.01,39.34,893600,38.85
2010-08-05,39.33,39.67,39.28,39.62,1097900,39.12
2010-08-04,39.22,39.63,39.05,39.48,1180100,38.98
2010-08-03,38.50,39.14,38.32,39.06,1657600,38.57
2010-08-02,38.52,38.85,38.39,38.52,1155000,38.04
2010-07-30,38.00,38.28,37.90,38.09,1551200,37.61
2010-07-29,39.57,39.57,38.26,38.26,1651400,37.78
2010-07-28,40.06,40.34,39.65,39.74,1487600,38.72
2010-07-27,39.80,40.27,39.60,40.10,1214900,39.07
2010-07-26,39.13,39.66,39.01,39.60,1367200,38.59
