Date,Open,High,Low,Close,Volume,Adj Close
2010-11-05,79.06,79.84,78.66,79.67,1273900,79.67
2010-11-04,78.69,79.41,78.53,79.13,1175800,79.13
2010-11-03,77.69,78.22,76.90,77.89,1191200,77.89
2010-11-02,77.29,78.14,77.29,77.64,969900,77.64
2010-11-01,77.12,77.86,76.25,76.67,1436300,76.67
2010-10-29,76.27,77.16,76.10,76.70,1022500,76.70
2010-10-28,77.22,77.60,76.10,76.60,940100,76.60
2010-10-27,76.30,76.88,75.84,76.77,1004100,76.77
2010-10-26,76.71,77.68,76.26,77.30,1263600,77.30
2010-10-25,76.90,78.00,76.62,77.33,1173300,77.33
2010-10-22,77.38,77.38,76.25,76.43,1102300,76.43
2010-10-21,76.49,77.37,75.95,76.67,1669200,76.67
2010-10-20,75.93,77.95,75.40,77.46,1241700,77.46
2010-10-19,75.81,76.79,75.26,75.77,1303300,75.77
2010-10-18,76.85,77.07,76.39,76.88,982100,76.88
2010-10-15,77.04,77.34,75.83,76.77,1527100,76.77
2010-10-14,76.19,76.55,75.87,76.33,1490700,76.33
2010-10-13,75.85,76.62,75.85,76.24,1074400,76.24
2010-10-12,74.62,75.65,74.26,75.50,1063400,75.50
2010-10-11,75.37,75.59,74.73,75.00,766600,75.00
2010-10-08,74.51,75.45,74.46,75.21,764700,75.21
2010-10-07,75.00,75.00,73.92,74.55,932700,74.55
2010-10-06,73.76,74.96,73.76,74.76,1240000,74.76
2010-10-05,72.93,74.35,72.76,74.00,1408300,74.00
2010-10-04,72.76,73.07,72.10,72.24,1296900,72.24
2010-10-01,73.50,73.50,72.68,73.09,607600,73.09
2010-09-30,73.50,73.99,72.33,72.80,1811600,72.80
2010-09-29,72.76,73.50,72.53,72.90,1364400,72.90
2010-09-28,73.05,73.32,71.64,73.14,1296800,73.14
2010-09-27,72.93,73.20,72.58,72.78,668900,72.78
2010-09-24,72.51,73.18,72.07,72.92,991500,72.92
2010-09-23,71.61,72.32,71.11,71.45,1048600,71.45
2010-09-22,72.07,72.91,72.07,72.08,1444300,72.08
2010-09-21,72.43,72.74,71.63,72.19,1739600,72.19
2010-09-20,72.38,72.93,72.00,72.66,1346800,72.66
2010-09-17,72.29,72.73,71.68,72.05,1246000,72.05
2010-09-16,71.27,72.31,71.11,72.23,1496000,72.23
2010-09-15,71.11,71.89,70.29,71.63,1171200,71.63
2010-09-14,71.22,71.61,70.95,71.34,1329100,71.34
2010-09-13,71.49,71.91,71.40,71.64,1506000,71.64
2010-09-10,69.55,71.00,69.52,70.77,1709900,70.77
2010-09-09,69.97,69.97,69.18,69.31,718900,69.31
2010-09-08,68.28,69.47,68.21,69.10,1168000,69.10
2010-09-07,69.46,69.57,68.08,68.28,1460100,68.28
2010-09-03,69.46,70.22,69.46,69.98,1204100,69.98
2010-09-02,68.40,68.93,68.24,68.92,679800,68.92
2010-09-01,66.83,68.40,66.51,68.16,1163900,68.16
2010-08-31,65.24,66.13,64.93,65.83,1368700,65.83
2010-08-30,66.72,66.90,65.47,65.48,1049200,65.48
2010-08-27,65.75,67.11,64.97,67.10,1053800,67.10
2010-08-26,65.53,66.44,65.17,65.32,1238000,65.32
2010-08-25,63.92,65.40,63.12,65.14,1635000,65.14
2010-08-24,64.32,64.71,64.03,64.21,1329200,64.21
2010-08-23,65.82,66.17,64.95,65.01,614100,65.01
