Date,Open,High,Low,Close,Volume,Adj Close
2010-11-05,26.90,27.08,26.74,27.00,3663800,27.00
2010-11-04,26.79,26.89,26.60,26.80,5350600,26.80
2010-11-03,26.92,26.98,26.38,26.61,3166400,26.61
2010-11-02,26.52,26.86,26.47,26.82,3141500,26.82
2010-11-01,26.97,27.06,26.18,26.31,4561200,26.31
2010-10-29,26.43,27.06,26.42,26.86,5882300,26.86
2010-10-28,26.57,26.71,25.89,26.44,8994300,26.44
2010-10-27,26.53,26.56,26.21,26.50,4647900,26.50
2010-10-26,26.89,26.89,26.55,26.74,3016200,26.74
2010-10-25,27.00,27.06,26.76,26.89,4432500,26.89
2010-10-22,27.52,27.59,26.82,26.91,5301100,26.91
2010-10-21,27.99,28.00,27.26,27.45,4482600,27.45
2010-10-20,27.87,28.14,27.82,27.88,2922500,27.88
2010-10-19,27.74,27.91,27.59,27.79,4339200,27.79
2010-10-18,27.57,27.99,27.52,27.93,2958500,27.93
2010-10-15,27.70,27.76,27.00,27.53,12046500,27.53
2010-10-14,27.73,27.88,27.47,27.57,2485500,27.57
2010-10-13,27.59,27.86,27.47,27.72,3734800,27.72
2010-10-12,27.70,27.72,27.44,27.54,2435700,27.54
2010-10-11,27.74,27.80,27.57,27.68,1952900,27.68
2010-10-08,27.72,27.83,27.44,27.71,2531100,27.71
2010-10-07,27.78,27.86,27.58,27.65,1847800,27.65
2010-10-06,27.93,28.03,27.55,27.66,2857300,27.66
2010-10-05,27.85,28.14,27.79,27.93,5763300,27.93
2010-10-04,27.47,27.66,27.36,27.62,4139400,27.62
2010-10-01,27.50,27.51,27.14,27.44,2513000,27.44
2010-09-30,27.49,27.54,27.08,27.23,4798200,27.23
2010-09-29,27.55,27.57,27.13,27.41,3073500,27.41
2010-09-28,27.73,27.84,27.33,27.58,4481800,27.58
2010-09-27,27.45,27.76,27.32,27.66,3341100,27.66
2010-09-24,27.45,27.55,27.29,27.41,5266900,27.41
2010-09-23,27.03,27.37,26.94,27.23,5439000,27.23
2010-09-22,26.78,27.24,26.70,27.07,3954300,27.07
2010-09-21,26.70,27.00,26.54,26.72,5349500,26.72
2010-09-20,26.57,26.93,26.50,26.65,5726800,26.65
2010-09-17,26.95,26.99,26.61,26.75,4782100,26.75
2010-09-16,26.83,26.95,26.53,26.79,4489300,26.79
2010-09-15,27.00,27.06,26.73,26.84,4518000,26.84
2010-09-14,27.18,27.30,26.90,26.94,4359600,26.94
2010-09-13,27.43,27.60,27.25,27.27,4721400,27.27
2010-09-10,27.07,27.29,26.90,27.24,2662600,27.24
2010-09-09,27.34,27.42,27.04,27.12,3783200,27.12
2010-09-08,27.21,27.42,27.06,27.09,5047600,27.09
2010-09-07,27.73,27.85,27.51,27.54,3839400,27.19
2010-09-03,27.74,27.92,27.44,27.70,4291700,27.35
2010-09-02,27.57,27.93,27.28,27.65,7068200,27.30
2010-09-01,27.35,27.95,27.28,27.85,3796000,27.50
2010-08-31,27.10,27.33,26.79,27.16,4825800,26.81
2010-08-30,27.37,27.51,27.11,27.12,2450800,26.78
2010-08-27,26.76,27.53,26.48,27.40,4056200,27.05
2010-08-26,26.68,26.85,26.57,26.63,2390700,26.29
2010-08-25,26.56,26.71,26.28,26.65,10322700,26.31
2010-08-24,26.33,26.83,26.30,26.61,5127100,26.27
2010-08-23,26.62,26.89,26.48,26.57,2726900,26.23
2010-08-20,26.51,26.64,26.34,26.56,2847200,26.22
2010-08-19,26.92,26.99,26.44,26.69,2982500,26.35
2010-08-18,27.06,27.15,26.74,26.90,3981200,26.56
2010-08-17,27.01,27.38,26.87,27.06,3950300,26.72
2010-08-16,26.77,26.94,26.46,26.93,3561400,26.59
2010-08-13,26.41,27.10,26.31,26.88,5187600,26.54
2010-08-12,25.82,26.53,25.51,26.43,5991600,26.09
2010-08-11,26.12,26.23,25.95,26.05,7626000,25.72
2010-08-10,26.43,26.71,26.12,26.43,5795500,26.09
2010-08-09,26.87,26.97,26.47,26.54,4864900,26.20
2010-08-06,26.56,26.82,26.16,26.78,6665500,26.44
2010-08-05,26.95,27.38,26.49,26.73,9326700,26.39
2010-08-04,27.66,27.78,27.26,27.72,4532200,27.37
