Date,Open,High,Low,Close,Volume,Adj Close
2010-11-05,25.48,25.48,25.36,25.36,14000,25.36
2010-11-04,25.43,25.43,25.35,25.37,6800,25.37
2010-11-03,25.34,25.40,25.34,25.35,7500,25.35
2010-11-02,25.38,25.45,25.32,25.33,9700,25.33
2010-11-01,25.37,25.45,25.37,25.40,4500,25.40
2010-10-29,25.37,25.46,25.36,25.36,9900,25.36
2010-10-28,25.33,25.40,25.31,25.36,8300,25.36
2010-10-27,25.32,25.44,25.31,25.31,17300,25.31
2010-10-26,25.32,25.43,25.31,25.31,15100,25.31
2010-10-25,25.37,25.53,25.30,25.33,21800,25.33
2010-10-22,25.38,25.49,25.38,25.40,8800,25.40
2010-10-21,25.44,25.47,25.31,25.31,13000,25.31
2010-10-20,25.39,25.47,25.36,25.38,14700,25.38
2010-10-19,25.35,25.47,25.30,25.40,122300,25.40
2010-10-18,25.43,25.53,25.38,25.44,16600,25.44
2010-10-15,25.35,25.72,25.31,25.72,25000,25.72
2010-10-14,25.35,25.40,25.34,25.38,10200,25.38
2010-10-13,25.50,25.50,25.30,25.35,14600,25.35
2010-10-12,25.38,25.50,25.38,25.42,15500,25.42
2010-10-11,25.36,25.50,25.36,25.44,6000,25.44
2010-10-08,25.36,25.42,25.36,25.40,9100,25.40
2010-10-07,25.33,25.43,25.33,25.38,28900,25.38
2010-10-06,25.36,25.44,25.28,25.37,65900,25.37
2010-10-05,25.39,25.46,25.37,25.37,69400,25.37
2010-10-04,25.33,25.48,25.33,25.36,30900,25.36
2010-10-01,25.37,25.41,25.31,25.32,40800,25.32
2010-09-30,25.39,25.40,25.30,25.31,13300,25.31
2010-09-29,25.32,25.37,25.30,25.35,78600,25.35
2010-09-28,25.33,25.37,25.32,25.32,27500,25.32
2010-09-27,25.23,25.39,25.23,25.33,28400,25.33
2010-09-24,25.28,25.34,25.23,25.23,25200,25.23
2010-09-23,25.31,25.36,25.25,25.25,42000,25.25
2010-09-22,25.23,25.38,25.23,25.31,51000,25.31
2010-09-21,25.34,25.56,25.22,25.22,15200,25.22
2010-09-20,25.27,25.40,25.26,25.34,138800,25.34
2010-09-17,25.25,25.34,25.20,25.30,108600,25.30
2010-09-16,25.27,25.34,25.22,25.25,1059400,25.25
2010-09-15,25.21,25.35,25.15,25.35,167200,25.35
2010-09-14,25.52,25.52,25.25,25.25,423000,25.25
2010-09-13,25.25,25.52,25.25,25.40,21900,25.40
2010-09-10,25.75,25.83,25.72,25.72,20500,25.27
2010-09-09,25.92,25.99,25.71,25.71,40400,25.26
2010-09-08,25.95,26.09,25.85,25.99,192500,25.53
2010-09-07,25.88,26.08,25.85,26.02,19200,25.56
2010-09-03,26.06,26.07,25.71,25.89,31500,25.43
2010-09-02,26.25,26.32,26.03,26.03,29900,25.57
2010-09-01,26.36,26.48,26.25,26.26,26100,25.80
2010-08-31,26.30,26.54,26.27,26.46,27700,25.99
2010-08-30,26.30,26.43,26.18,26.31,15400,25.85
2010-08-27,26.16,26.34,26.13,26.29,22500,25.83
2010-08-26,26.15,26.33,26.15,26.21,13800,25.75
2010-08-25,26.06,26.25,25.95,26.22,14500,25.76
2010-08-24,26.02,26.25,26.02,26.16,16400,25.70
2010-08-23,26.15,26.22,26.04,26.10,30900,25.64
2010-08-20,25.95,26.13,25.93,26.06,18000,25.60
2010-08-19,26.20,26.28,26.00,26.00,27100,25.54
2010-08-18,26.05,26.28,26.05,26.20,31000,25.74
2010-08-17,26.19,26.26,26.09,26.09,44000,25.63
2010-08-16,26.13,26.30,26.13,26.26,26400,25.80
2010-08-13,25.97,26.27,25.88,26.24,31500,25.78
2010-08-12,25.81,26.13,25.81,26.03,22600,25.57
2010-08-11,26.20,26.20,25.82,25.96,18300,25.50
2010-08-10,26.29,26.29,25.90,26.00,36800,25.54
2010-08-09,26.00,26.08,25.94,26.07,11000,25.61
2010-08-06,25.77,25.94,25.77,25.93,19800,25.47
2010-08-05,25.77,25.89,25.72,25.84,20500,25.38
2010-08-04,25.72,25.88,25.65,25.81,23300,25.36
2010-08-03,25.88,25.89,25.64,25.67,12300,25.22
2010-08-02,25.73,25.90,25.73,25.84,29300,25.38
2010-07-30,25.56,25.82,25.56,25.60,17000,25.15
2010-07-29,25.67,25.74,25.58,25.71,24300,25.26
2010-07-28,25.78,25.91,25.62,25.62,30100,25.17
2010-07-27,25.72,26.00,25.72,25.92,25600,25.46
2010-07-26,25.85,25.93,25.69,25.75,48900,25.30
2010-07-23,25.95,25.98,25.89,25.89,31600,25.43
2010-07-22,25.95,25.95,25.80,25.88,30000,25.42
2010-07-21,25.88,25.97,25.74,25.92,22500,25.46
2010-07-20,25.78,25.90,25.77,25.88,17500,25.42
2010-07-19,25.80,25.91,25.75,25.75,22400,25.30
2010-07-16,25.83,25.86,25.68,25.80,6600,25.35
2010-07-15,25.66,25.86,25.65,25.77,17400,25.32
2010-07-14,25.77,25.77,25.66,25.66,13800,25.21
2010-07-13,25.77,25.85,25.67,25.75,22300,25.30
2010-07-12,25.71,25.82,25.66,25.66,15000,25.21
2010-07-09,25.65,25.85,25.65,25.69,16700,25.24
2010-07-08,25.62,25.83,25.62,25.66,32800,25.21
2010-07-07,25.59,25.72,25.53,25.65,34100,25.20
2010-07-06,25.63,25.65,25.50,25.52,20300,25.07
2010-07-02,25.34,25.60,25.34,25.48,21600,25.03
2010-07-01,25.31,25.48,25.26,25.41,17000,24.96
