Date,Open,High,Low,Close,Volume,Adj Close
2010-11-05,33.18,33.19,33.14,33.19,999600,33.19
2010-11-04,33.14,33.19,33.11,33.14,2045700,33.14
2010-11-03,33.17,33.19,33.11,33.19,1787900,33.19
2010-11-02,33.16,33.17,33.12,33.15,881600,33.15
2010-11-01,33.16,33.18,33.01,33.16,3668600,33.16
2010-10-29,33.17,33.18,33.15,33.17,754900,33.17
2010-10-28,33.17,33.19,33.15,33.19,1384900,33.19
2010-10-27,33.15,33.17,33.13,33.15,1372400,33.15
2010-10-26,33.14,33.17,33.14,33.16,1293600,33.16
2010-10-25,33.20,33.20,33.15,33.15,1628500,33.15
2010-10-22,33.17,33.18,33.16,33.17,931400,33.17
2010-10-21,33.15,33.17,33.15,33.16,2053200,33.16
2010-10-20,33.15,33.17,33.13,33.17,1538500,33.17
2010-10-19,33.14,33.16,33.12,33.15,1226800,33.15
2010-10-18,33.12,33.18,33.12,33.15,1738900,33.15
2010-10-15,33.22,33.22,33.11,33.15,3462700,33.15
2010-10-14,33.10,33.13,33.05,33.08,3683300,33.08
2010-10-13,33.04,33.13,33.04,33.11,3913700,33.11
2010-10-12,33.07,33.08,33.03,33.05,1822700,33.05
2010-10-11,33.08,33.08,33.03,33.07,1908600,33.07
2010-10-08,33.07,33.07,33.02,33.04,2403800,33.04
2010-10-07,33.01,33.05,32.99,33.03,3119100,33.03
2010-10-06,32.98,33.02,32.96,33.00,2836700,33.00
2010-10-05,32.98,33.00,32.95,32.97,2368200,32.97
2010-10-04,32.95,32.99,32.90,32.95,3279100,32.95
2010-10-01,32.98,33.00,32.93,32.95,2055900,32.95
2010-09-30,32.95,32.99,32.91,32.98,2964600,32.98
2010-09-29,32.92,32.98,32.91,32.95,2267200,32.95
2010-09-28,32.87,32.95,32.84,32.95,2493300,32.95
2010-09-27,32.94,32.95,32.87,32.88,1775200,32.88
2010-09-24,32.93,32.94,32.85,32.93,2632400,32.93
2010-09-23,32.69,32.95,32.69,32.84,9526600,32.84
2010-09-22,32.61,32.82,32.59,32.69,10850900,32.69
2010-09-21,32.63,32.66,32.53,32.62,4580400,32.62
2010-09-20,32.52,32.63,32.50,32.58,2872800,32.58
2010-09-17,32.49,32.55,32.46,32.49,3071400,32.49
2010-09-16,32.52,32.56,32.48,32.49,2183500,32.49
2010-09-15,32.40,32.53,32.40,32.49,2538100,32.49
2010-09-14,32.32,32.49,32.30,32.41,3510000,32.41
2010-09-13,32.27,32.36,32.24,32.32,2236500,32.32
2010-09-10,32.21,32.26,32.21,32.22,2069600,32.22
2010-09-09,32.22,32.28,32.15,32.21,2027500,32.21
2010-09-08,32.16,32.25,32.15,32.23,4125300,32.23
2010-09-07,32.21,32.29,32.15,32.17,2161800,32.17
2010-09-03,32.24,32.25,32.17,32.22,3447600,32.22
2010-09-02,32.15,32.22,32.11,32.20,2257500,32.20
2010-09-01,32.11,32.20,32.06,32.10,5518500,32.10
2010-08-31,32.36,32.39,32.06,32.08,9426300,32.08
2010-08-30,32.33,32.39,32.16,32.17,4042500,32.17
2010-08-27,32.20,32.33,32.17,32.30,7360900,32.30
2010-08-26,32.13,32.25,32.11,32.18,7921000,32.18
2010-08-25,32.26,32.32,32.05,32.12,13166500,32.12
2010-08-24,32.38,32.41,32.22,32.28,9396800,32.28
2010-08-23,32.44,32.45,32.35,32.38,6249900,32.38
2010-08-20,32.49,32.55,32.32,32.36,14559000,32.36
2010-08-19,32.52,32.58,32.47,32.55,20180000,32.55
2010-08-18,32.55,32.57,32.46,32.50,28912600,32.50
2010-08-17,32.56,32.73,32.42,32.58,103152400,32.58
2010-08-16,30.74,31.04,30.68,30.92,1128600,30.92
2010-08-13,31.00,31.37,30.86,31.18,1646700,31.18
2010-08-12,30.06,31.40,30.00,31.14,3396900,31.14
2010-08-11,30.24,30.74,30.12,30.45,3697100,30.45
2010-08-10,30.37,30.91,30.24,30.82,1969200,30.82
2010-08-09,30.86,30.95,30.55,30.69,1664300,30.69
