Date,Open,High,Low,Close,Volume,Adj Close
2010-11-05,92.60,93.06,92.33,92.94,1452200,92.94
2010-11-04,93.20,93.20,91.48,92.29,1994000,92.29
2010-11-03,92.62,92.62,91.23,92.24,1184900,92.24
2010-11-02,92.03,92.57,91.53,92.31,1437400,92.31
2010-11-01,91.80,92.05,91.00,91.34,1091200,91.34
2010-10-29,90.72,91.72,90.28,91.34,1342300,91.34
2010-10-28,91.85,91.85,90.26,90.92,1277200,90.92
2010-10-27,92.16,92.16,89.60,90.51,2791700,90.51
2010-10-26,93.35,93.50,92.39,93.50,1612900,93.50
2010-10-25,92.70,94.30,92.70,93.77,1185600,93.77
2010-10-22,92.53,92.95,91.79,92.18,830900,92.18
2010-10-21,91.17,92.86,90.13,92.76,1938700,92.76
2010-10-20,89.66,91.43,88.60,91.01,1181000,91.01
2010-10-19,89.50,89.95,88.60,89.41,1362100,89.41
2010-10-18,90.71,91.14,90.25,90.78,680600,90.78
2010-10-15,91.31,91.68,90.12,90.71,1446100,90.71
2010-10-14,91.61,91.87,90.25,90.71,1556200,90.71
2010-10-13,90.93,91.93,90.82,91.90,1860600,91.90
2010-10-12,89.74,91.00,89.33,90.86,893200,90.86
2010-10-11,90.63,91.00,90.25,90.45,799800,90.45
2010-10-08,90.51,90.98,90.27,90.62,989300,90.62
2010-10-07,91.46,91.48,89.91,90.21,1027300,90.21
2010-10-06,91.05,91.69,90.61,91.18,972000,91.18
2010-10-05,89.91,91.22,89.90,91.19,1606800,91.19
2010-10-04,89.29,89.80,88.64,89.04,1040300,89.04
2010-10-01,90.86,90.99,89.45,89.65,1727500,89.65
2010-09-30,89.99,91.00,89.46,90.26,1523900,90.26
2010-09-29,90.18,90.25,89.51,89.73,918800,89.73
2010-09-28,90.00,90.72,88.57,90.43,1407900,90.43
2010-09-27,89.65,90.50,89.65,89.81,1250800,89.81
2010-09-24,88.70,90.09,88.43,90.09,1672400,90.09
2010-09-23,87.83,88.50,86.87,88.03,1486200,88.03
2010-09-22,87.92,88.28,87.55,88.05,1446800,88.05
2010-09-21,88.57,88.73,87.65,88.08,1852200,88.08
2010-09-20,88.66,88.85,88.19,88.62,1600000,88.62
2010-09-17,88.88,88.94,88.27,88.36,1716200,88.36
2010-09-16,88.08,89.13,87.81,89.04,1285600,89.04
2010-09-15,87.62,88.26,87.15,88.20,1327600,88.20
2010-09-14,87.36,88.47,87.22,87.88,1362400,87.88
2010-09-13,87.06,87.56,86.83,87.36,1256700,87.36
2010-09-10,86.62,86.90,86.39,86.45,1011600,86.45
2010-09-09,87.40,87.52,86.49,86.57,1500900,86.57
2010-09-08,86.64,87.15,86.44,86.58,1420700,86.58
2010-09-07,86.82,87.22,86.25,86.43,1181000,86.43
2010-09-03,86.92,87.34,86.37,87.24,1535000,87.24
2010-09-02,86.79,86.79,85.24,86.15,3778600,86.15
2010-09-01,87.18,88.75,86.54,87.10,2879300,86.65
2010-08-31,85.50,86.44,85.12,86.03,1631100,85.59
2010-08-30,87.07,87.50,85.94,85.94,1152600,85.50
2010-08-27,86.10,87.28,85.26,87.28,1766900,86.83
2010-08-26,86.31,87.00,85.41,85.58,1187100,85.14
2010-08-25,85.71,86.38,84.52,85.93,1834200,85.49
2010-08-24,85.45,87.73,85.45,86.18,2430800,85.73
2010-08-23,88.68,88.97,87.43,87.49,1251000,87.04
2010-08-20,87.27,88.47,87.27,88.35,1584500,87.89
2010-08-19,88.72,88.78,87.51,88.11,2283500,87.65
2010-08-18,89.01,89.56,88.60,89.09,1555800,88.63
2010-08-17,88.94,89.74,88.41,89.14,1823100,88.68
2010-08-16,86.78,88.59,85.99,87.98,1622500,87.53
2010-08-13,86.96,87.58,86.68,87.29,1514900,86.84
2010-08-12,86.41,87.58,85.80,87.31,1871900,86.86
2010-08-11,87.03,87.69,86.43,86.86,1843700,86.41
2010-08-10,88.01,89.00,87.52,88.69,1546100,88.23
2010-08-09,88.01,88.89,88.01,88.78,1100900,88.32
2010-08-06,87.75,88.61,86.74,87.76,1203400,87.31
2010-08-05,88.04,88.65,87.80,88.56,1253700,88.10
2010-08-04,88.12,88.60,87.68,88.45,1213700,87.99
2010-08-03,87.36,88.21,87.31,87.80,1293600,87.35
2010-08-02,87.74,88.25,87.59,87.87,2507400,87.42
