Date,Open,High,Low,Close,Volume,Adj Close
2010-11-05,6.90,6.92,6.77,6.80,18510400,6.80
2010-11-04,6.78,6.92,6.77,6.92,19447600,6.92
2010-11-03,6.79,6.79,6.67,6.75,28385500,6.75
2010-11-02,6.63,6.70,6.63,6.67,20658100,6.67
2010-11-01,6.61,6.67,6.58,6.61,30865900,6.61
2010-10-29,6.56,6.64,6.56,6.61,17319100,6.61
2010-10-28,6.59,6.62,6.56,6.56,13242900,6.56
2010-10-27,6.52,6.56,6.46,6.54,21139200,6.54
2010-10-26,6.50,6.58,6.50,6.54,29612800,6.54
2010-10-25,6.49,6.59,6.48,6.53,13981000,6.53
2010-10-22,6.44,6.48,6.43,6.46,9552300,6.46
2010-10-21,6.39,6.49,6.39,6.43,22140400,6.43
2010-10-20,6.31,6.42,6.30,6.40,26492100,6.40
2010-10-19,6.32,6.33,6.24,6.29,17780900,6.29
2010-10-18,6.36,6.38,6.32,6.35,21359200,6.35
2010-10-15,6.42,6.43,6.32,6.34,14576800,6.34
2010-10-14,6.38,6.41,6.34,6.39,18517800,6.39
2010-10-13,6.39,6.42,6.35,6.35,21286500,6.35
2010-10-12,6.33,6.37,6.26,6.37,20028200,6.37
2010-10-11,6.35,6.35,6.30,6.33,10022500,6.33
2010-10-08,6.39,6.41,6.24,6.34,22424500,6.34
2010-10-07,6.40,6.42,6.33,6.39,11804200,6.39
2010-10-06,6.34,6.42,6.31,6.41,9193800,6.41
2010-10-05,6.31,6.41,6.30,6.36,29149500,6.36
2010-10-04,6.32,6.35,6.25,6.28,18853500,6.28
2010-10-01,6.28,6.36,6.26,6.34,12105600,6.34
2010-09-30,6.33,6.36,6.27,6.27,23495900,6.27
2010-09-29,6.30,6.35,6.26,6.28,21217800,6.28
2010-09-28,6.27,6.37,6.25,6.34,21256800,6.34
2010-09-27,6.24,6.29,6.18,6.25,28968500,6.25
2010-09-24,6.19,6.26,6.16,6.25,48040200,6.25
2010-09-23,6.18,6.22,6.11,6.14,44122200,6.14
2010-09-22,6.27,6.29,6.24,6.27,12608600,6.27
2010-09-21,6.31,6.32,6.21,6.28,27046100,6.28
2010-09-20,6.17,6.31,6.17,6.30,31232200,6.30
2010-09-17,6.11,6.25,6.09,6.18,79367400,6.18
2010-09-16,6.02,6.10,6.01,6.06,25185500,6.06
2010-09-15,6.00,6.08,5.98,6.07,33507500,6.07
2010-09-14,5.93,6.05,5.89,6.01,37497000,6.01
2010-09-13,5.90,5.94,5.85,5.94,23462400,5.94
2010-09-10,5.83,5.90,5.82,5.89,20154900,5.89
2010-09-09,5.81,5.84,5.80,5.82,11573600,5.82
2010-09-08,5.76,5.83,5.75,5.80,22997300,5.80
2010-09-07,5.82,5.86,5.79,5.82,20740200,5.74
2010-09-03,5.83,5.85,5.80,5.83,12010100,5.75
2010-09-02,5.79,5.85,5.77,5.82,34336900,5.74
2010-09-01,5.65,5.80,5.65,5.80,40642000,5.72
2010-08-31,5.62,5.67,5.60,5.65,25544300,5.57
2010-08-30,5.64,5.66,5.61,5.62,12048400,5.54
2010-08-27,5.63,5.66,5.24,5.64,38675900,5.56
2010-08-26,5.64,5.66,5.63,5.63,26219000,5.55
2010-08-25,5.64,5.65,5.62,5.64,12542100,5.56
2010-08-24,5.63,5.67,5.62,5.66,21481000,5.58
2010-08-23,5.65,5.67,5.63,5.64,29627400,5.56
2010-08-20,5.64,5.69,5.63,5.65,26857700,5.57
2010-08-19,5.66,5.67,5.64,5.66,20352700,5.58
2010-08-18,5.71,5.72,5.66,5.66,40431800,5.58
2010-08-17,5.69,5.70,5.65,5.70,30213300,5.62
2010-08-16,5.67,5.70,5.66,5.69,18523100,5.61
2010-08-13,5.66,5.70,5.65,5.69,28140000,5.61
2010-08-12,5.63,5.66,5.62,5.62,35948500,5.54
2010-08-11,5.66,5.67,5.63,5.64,26482100,5.56
2010-08-10,5.68,5.73,5.65,5.69,28948600,5.61
2010-08-09,5.70,5.72,5.66,5.70,20931300,5.62
2010-08-06,5.61,5.69,5.60,5.69,29109000,5.61
2010-08-05,5.64,5.69,5.63,5.64,32826400,5.56
2010-08-04,5.66,5.71,5.64,5.70,35220900,5.62
2010-08-03,5.64,5.67,5.63,5.65,20973900,5.57
2010-08-02,5.66,5.68,5.64,5.66,56856300,5.58
2010-07-30,5.60,5.66,5.58,5.66,17853500,5.58
2010-07-29,5.64,5.65,5.59,5.62,21991000,5.54
2010-07-28,5.63,5.66,5.60,5.62,20735500,5.54
2010-07-27,5.65,5.67,5.63,5.64,25089800,5.56
2010-07-26,5.62,5.66,5.62,5.66,34465700,5.58
2010-07-23,5.62,5.64,5.58,5.64,15994300,5.56
