Date,Open,High,Low,Close,Volume,Adj Close
2010-11-05,47.87,48.36,47.40,48.33,20618300,48.33
2010-11-04,48.61,49.45,48.06,48.34,58099900,48.34
2010-11-03,45.21,45.76,44.62,45.69,27100000,45.69
2010-11-02,45.75,45.94,45.23,45.38,12590900,45.38
2010-11-01,45.52,46.00,45.14,45.33,11199500,45.33
2010-10-29,44.55,45.63,44.55,45.16,16628300,45.16
2010-10-28,44.85,44.91,44.41,44.42,11970000,44.42
2010-10-27,43.48,44.51,43.44,44.48,11428100,44.48
2010-10-26,43.98,43.99,43.21,43.94,15791200,43.94
2010-10-25,44.35,44.50,44.20,44.33,10215900,44.33
2010-10-22,43.85,44.27,43.61,44.18,12473200,44.18
2010-10-21,44.44,44.51,42.45,43.98,24875800,43.98
2010-10-20,44.26,44.90,44.26,44.38,11508400,44.38
2010-10-19,44.25,44.57,43.50,44.22,15898200,44.22
2010-10-18,44.78,44.80,44.13,44.49,12225400,44.49
2010-10-15,45.41,45.51,44.49,44.79,18075400,44.79
2010-10-14,45.02,45.35,44.81,45.04,11317500,45.04
2010-10-13,44.97,45.51,44.74,45.32,13543300,45.32
2010-10-12,44.18,45.00,43.77,44.79,13692600,44.79
2010-10-11,44.67,44.70,43.94,44.18,10949200,44.18
2010-10-08,44.48,44.91,44.05,44.76,12333700,44.76
2010-10-07,44.91,44.96,44.14,44.55,11965000,44.55
2010-10-06,44.21,44.68,43.87,44.65,21686300,44.65
2010-10-05,44.42,44.90,44.08,44.26,18427500,44.26
2010-10-04,44.43,44.43,43.35,43.89,13920000,43.89
2010-10-01,45.51,45.60,43.92,44.26,22430300,44.26
2010-09-30,45.07,45.75,44.77,45.13,35751700,45.13
2010-09-29,43.76,44.51,43.70,44.31,14499000,44.31
2010-09-28,44.69,44.85,43.70,44.07,23000500,44.07
2010-09-27,44.32,45.00,44.14,44.59,14009400,44.59
2010-09-24,43.95,44.97,43.86,44.55,22583300,44.55
2010-09-23,42.95,43.74,42.76,43.65,20206800,43.65
2010-09-22,43.55,43.76,42.70,43.30,16158500,43.30
2010-09-21,43.21,43.87,43.11,43.51,16763100,43.51
2010-09-20,42.58,43.10,42.57,43.01,15241800,43.01
2010-09-17,42.12,42.75,41.94,42.53,31699200,42.53
2010-09-16,41.80,42.30,41.65,41.97,16596100,41.97
2010-09-15,41.10,42.21,41.01,41.98,18992800,41.98
2010-09-14,40.85,41.38,40.58,41.11,12868200,41.11
2010-09-13,40.94,41.36,40.74,41.00,16769700,41.00
