Date,Open,High,Low,Close,Volume,Adj Close
2010-11-05,66.77,66.82,66.11,66.80,699900,66.80
2010-11-04,65.85,66.51,65.49,66.45,728500,66.45
2010-11-03,65.37,65.67,64.98,65.48,1186100,65.48
2010-11-02,65.11,65.46,64.81,65.17,982500,65.17
2010-11-01,65.33,65.33,64.20,64.72,1084900,64.72
2010-10-29,64.58,65.12,64.35,64.93,1596400,64.93
2010-10-28,63.50,64.73,63.46,64.61,1294600,64.61
2010-10-27,62.91,63.30,62.24,63.10,1246700,63.10
2010-10-26,63.05,63.36,62.72,63.35,1224000,63.35
2010-10-25,63.02,63.71,63.02,63.37,1499400,63.37
2010-10-22,63.00,63.05,62.58,62.74,692400,62.74
2010-10-21,63.31,63.35,62.31,63.05,1493800,63.05
2010-10-20,62.33,63.15,62.26,63.00,1437600,63.00
2010-10-19,61.89,62.49,61.69,62.11,1358100,62.11
2010-10-18,62.02,62.93,61.97,62.31,1572800,62.31
2010-10-15,60.63,61.82,60.60,61.77,4058700,61.77
2010-10-14,59.79,60.43,59.76,59.97,731300,59.97
2010-10-13,59.37,59.99,59.21,59.76,796500,59.76
2010-10-12,58.43,59.20,58.18,59.07,863300,59.07
2010-10-11,58.73,59.12,58.10,58.49,922200,58.49
2010-10-08,59.50,59.60,58.73,58.73,1134100,58.73
2010-10-07,59.58,59.74,59.04,59.34,849900,59.34
2010-10-06,59.91,60.20,59.23,59.25,1308800,59.25
2010-10-05,59.08,60.00,58.96,59.87,2728400,59.87
2010-10-04,58.88,59.37,58.74,58.84,800400,58.84
2010-10-01,59.90,59.90,58.59,58.85,1012600,58.85
2010-09-30,59.47,60.44,59.17,59.39,1293600,59.39
2010-09-29,59.45,60.17,59.40,59.92,995400,59.92
2010-09-28,59.26,59.80,58.71,59.71,774400,59.71
2010-09-27,59.38,59.56,58.98,58.98,671400,58.98
2010-09-24,58.74,59.70,58.71,59.38,556500,59.38
2010-09-23,58.84,59.05,58.34,58.49,950200,58.49
2010-09-22,59.20,59.58,59.13,59.32,987900,59.32
2010-09-21,59.82,59.88,59.05,59.43,1034100,59.43
2010-09-20,58.58,59.30,58.46,59.17,641800,59.17
2010-09-17,58.79,59.17,58.41,58.41,978700,58.41
2010-09-16,58.87,58.87,58.21,58.43,1073300,58.43
2010-09-15,58.20,59.07,58.00,58.90,1513100,58.90
2010-09-14,57.02,58.08,56.79,57.89,1451200,57.89
2010-09-13,57.35,57.40,56.88,57.02,634900,57.02
2010-09-10,56.54,57.25,56.51,57.03,824500,57.03
2010-09-09,56.76,57.04,56.23,56.37,1071600,56.37
2010-09-08,56.64,56.74,56.25,56.62,1223800,56.62
2010-09-07,57.53,57.79,57.37,57.52,1552300,56.62
2010-09-03,56.68,57.44,56.53,57.44,1150800,56.54
2010-09-02,55.87,56.49,55.87,56.35,1370400,55.47
2010-09-01,55.07,56.01,55.07,55.74,1435400,54.87
2010-08-31,54.89,54.95,54.27,54.54,1338300,53.69
2010-08-30,55.26,55.66,54.92,54.96,986900,54.10
2010-08-27,55.93,56.04,54.80,55.26,1909300,54.40
2010-08-26,56.88,56.89,55.75,55.76,1316400,54.89
2010-08-25,56.23,56.76,55.83,56.65,2660800,55.76
2010-08-24,56.18,56.67,56.00,56.49,1103200,55.61
2010-08-23,57.11,57.29,56.44,56.46,971000,55.58
2010-08-20,56.25,56.72,56.13,56.64,1122500,55.75
