Date,Open,High,Low,Close,Volume,Adj Close
2010-11-05,28.17,28.48,28.15,28.41,1983000,28.41
2010-11-04,28.28,28.35,27.89,28.34,2195700,28.34
2010-11-03,27.66,27.89,27.44,27.85,2106200,27.85
2010-11-02,27.65,27.74,27.43,27.60,1593900,27.60
2010-11-01,27.43,27.89,27.17,27.31,2116100,27.31
2010-10-29,27.18,27.44,27.02,27.11,755400,27.11
2010-10-28,27.44,27.58,27.02,27.26,722000,27.26
2010-10-27,27.24,27.42,26.83,27.21,974100,27.21
2010-10-26,27.13,27.56,26.91,27.40,1210100,27.40
2010-10-25,27.62,27.88,27.38,27.44,866000,27.44
2010-10-22,27.26,27.52,27.19,27.36,1362600,27.36
2010-10-21,27.42,27.90,26.80,27.10,2249200,27.10
2010-10-20,26.73,27.47,26.73,27.15,2302900,27.15
2010-10-19,26.59,26.85,26.15,26.54,1644600,26.54
2010-10-18,26.82,27.17,26.79,27.10,1041700,27.10
2010-10-15,27.20,27.20,26.42,26.77,1383300,26.77
2010-10-14,27.29,27.29,26.77,26.99,1234700,26.99
2010-10-13,27.00,27.35,26.81,27.22,1019700,27.22
2010-10-12,26.51,26.93,26.19,26.82,1019400,26.82
2010-10-11,26.52,26.75,26.48,26.59,816900,26.59
2010-10-08,26.16,26.60,25.97,26.53,1157300,26.53
2010-10-07,26.35,26.41,25.97,26.08,778600,26.08
2010-10-06,26.33,26.34,26.02,26.20,972200,26.20
2010-10-05,25.69,26.40,25.59,26.36,1144700,26.36
2010-10-04,26.03,26.15,25.05,25.38,1180800,25.38
2010-10-01,26.22,26.33,25.89,26.07,1348800,26.07
2010-09-30,25.56,26.50,25.56,26.00,2057900,26.00
2010-09-29,25.19,25.47,25.08,25.39,686600,25.39
2010-09-28,25.02,25.41,24.57,25.34,665800,25.34
2010-09-27,25.23,25.23,24.79,24.89,623700,24.89
2010-09-24,24.86,25.23,24.76,25.23,686400,25.23
2010-09-23,24.44,25.04,24.22,24.46,1026300,24.46
2010-09-22,24.88,25.24,24.43,24.73,1002800,24.73
2010-09-21,25.04,25.20,24.87,24.99,1105500,24.99
2010-09-20,24.64,25.16,24.50,25.08,1310700,25.08
2010-09-17,24.09,24.79,23.98,24.54,1825800,24.54
2010-09-16,23.98,24.03,23.78,23.93,812900,23.93
2010-09-15,23.93,24.08,23.70,24.04,787100,24.04
2010-09-14,24.16,24.25,23.89,24.02,786200,24.02
2010-09-13,23.99,24.33,23.86,24.19,796600,24.19
2010-09-10,23.88,24.04,23.59,23.67,625600,23.67
2010-09-09,23.86,23.99,23.69,23.86,1025600,23.86
2010-09-08,23.35,23.74,23.33,23.44,976200,23.44
2010-09-07,23.79,23.89,23.29,23.33,1044700,23.33
2010-09-03,23.41,24.25,23.40,24.03,1673100,24.03
2010-09-02,22.62,23.08,22.52,22.99,833400,22.99
2010-09-01,21.99,22.71,21.83,22.63,1142200,22.63
2010-08-31,21.63,21.96,21.29,21.58,1437200,21.58
2010-08-30,22.25,22.35,21.71,21.75,777500,21.75
2010-08-27,22.09,22.38,21.67,22.35,1084000,22.35
2010-08-26,22.15,22.36,21.83,21.88,1630100,21.88
2010-08-25,21.30,22.10,21.23,22.00,1543800,22.00
2010-08-24,21.60,21.76,21.16,21.57,2863600,21.57
2010-08-23,22.51,22.76,21.87,21.99,1867800,21.99
2010-08-20,22.94,23.16,22.45,22.82,1490200,22.69
2010-08-19,23.82,23.82,23.01,23.18,1092400,23.05
2010-08-18,23.95,24.12,23.69,24.00,823900,23.86
2010-08-17,23.88,24.23,23.71,24.03,777000,23.89
2010-08-16,23.53,23.78,23.31,23.63,642000,23.50
2010-08-13,23.59,24.01,23.48,23.72,1464800,23.58
2010-08-12,23.20,23.91,23.16,23.79,1588300,23.65
2010-08-11,24.50,24.50,23.62,23.70,1531700,23.56
2010-08-10,25.38,25.48,24.86,25.10,876200,24.96
2010-08-09,25.81,25.87,25.51,25.70,774800,25.55
2010-08-06,25.62,25.63,24.90,25.32,1244800,25.18
2010-08-05,26.14,26.26,25.88,25.98,958200,25.83
2010-08-04,25.88,26.50,25.77,26.40,1855500,26.25
2010-08-03,25.83,26.03,25.62,25.71,1428400,25.56
2010-08-02,25.65,25.92,25.29,25.86,1314300,25.71
2010-07-30,24.77,25.29,24.69,25.18,1117200,25.04
2010-07-29,25.79,25.98,25.06,25.17,1342500,25.03
2010-07-28,26.14,26.19,25.47,25.62,1009200,25.47
2010-07-27,26.45,26.49,26.05,26.12,1165100,25.97
2010-07-26,26.01,26.36,25.87,26.36,978900,26.21
2010-07-23,25.67,26.34,25.47,26.02,1785500,25.87
2010-07-22,24.54,25.74,24.50,25.67,2104400,25.52
2010-07-21,25.15,25.60,24.06,24.29,1618800,24.15
2010-07-20,23.68,24.62,23.63,24.60,1030200,24.46
2010-07-19,24.12,24.37,23.82,24.07,1284600,23.93
2010-07-16,24.80,24.85,23.97,24.04,1360300,23.90
2010-07-15,25.25,25.25,24.67,24.96,1332500,24.82
2010-07-14,25.70,25.77,25.08,25.22,2163900,25.08
