Date,Open,High,Low,Close,Volume,Adj Close
2010-11-05,66.30,66.86,66.27,66.47,688600,66.47
2010-11-04,65.99,66.53,65.30,66.37,1125900,66.37
2010-11-03,64.70,64.97,63.99,64.91,729400,64.91
2010-11-02,64.03,64.61,63.65,64.58,957800,64.58
2010-11-01,62.89,63.52,62.65,63.28,745100,63.28
2010-10-29,62.06,62.76,61.93,62.37,534800,62.37
2010-10-28,62.89,63.51,61.97,62.25,1074100,62.25
2010-10-27,62.75,62.75,61.65,62.63,777900,62.63
2010-10-26,63.53,63.79,62.85,63.32,619100,63.32
2010-10-25,63.41,64.26,63.21,63.84,840700,63.84
2010-10-22,63.12,63.12,62.30,62.71,393900,62.71
2010-10-21,62.25,63.25,62.25,63.08,933300,63.08
2010-10-20,61.24,62.64,60.96,62.16,836700,62.16
2010-10-19,61.20,62.12,60.60,61.05,940300,61.05
2010-10-18,61.97,62.52,61.86,62.36,463000,62.36
2010-10-15,62.73,62.83,61.34,61.92,802700,61.92
2010-10-14,62.96,63.19,61.70,62.03,902400,62.03
2010-10-13,62.54,63.18,62.19,62.91,950200,62.91
2010-10-12,62.11,62.30,61.05,62.07,646700,62.07
2010-10-11,62.62,62.65,61.96,62.22,703500,62.22
2010-10-08,61.96,62.98,61.65,62.64,922700,62.64
2010-10-07,62.47,62.47,61.48,61.93,681700,61.93
2010-10-06,62.30,62.78,61.63,62.06,836500,62.06
2010-10-05,61.53,62.87,61.13,62.55,988600,62.55
2010-10-04,61.78,61.78,60.08,60.87,842000,60.87
2010-10-01,62.06,62.64,60.97,61.87,1137800,61.87
2010-09-30,62.75,63.27,61.29,61.73,937300,61.73
2010-09-29,61.73,62.71,61.73,62.44,921400,62.44
2010-09-28,61.18,62.34,60.02,62.22,968800,62.22
2010-09-27,61.62,61.62,60.98,61.19,431500,61.19
2010-09-24,60.80,61.99,60.80,61.71,728000,61.71
2010-09-23,59.50,60.55,59.41,59.74,621800,59.74
2010-09-22,60.76,61.44,59.90,60.25,794900,60.25
2010-09-21,61.05,61.45,60.60,60.73,868000,60.73
2010-09-20,60.18,61.28,59.80,61.17,700900,61.17
2010-09-17,59.54,60.19,59.27,59.95,1146600,59.95
2010-09-16,59.05,59.89,58.89,59.40,725100,59.40
2010-09-15,59.33,59.52,58.85,59.35,992100,59.35
2010-09-14,59.43,60.14,59.01,59.55,1899400,59.55
2010-09-13,58.30,59.75,58.16,59.60,1440100,59.60
2010-09-10,56.38,57.77,56.38,57.54,1362100,57.54
2010-09-09,57.25,57.26,55.77,56.19,820300,56.19
2010-09-08,54.90,56.54,54.90,56.37,1411400,56.37
2010-09-07,55.14,55.48,54.67,54.79,637900,54.79
2010-09-03,55.40,55.76,55.06,55.47,794800,55.47
2010-09-02,53.54,54.56,53.41,54.56,1089800,54.56
2010-09-01,52.08,53.49,52.08,53.43,1219000,53.43
2010-08-31,50.70,51.72,50.34,51.14,1411100,51.14
2010-08-30,52.07,52.18,51.06,51.06,1015300,51.06
2010-08-27,51.26,52.47,50.10,52.35,1892100,52.35
