Date,Open,High,Low,Close,Volume,Adj Close
2010-11-05,72.07,72.07,71.38,71.70,827200,71.70
2010-11-04,71.00,72.15,70.38,72.15,1082000,72.15
2010-11-03,70.47,70.64,69.18,70.26,502600,70.26
2010-11-02,70.36,70.76,70.01,70.43,310000,70.43
2010-11-01,69.90,70.52,69.26,69.76,258600,69.76
2010-10-29,69.18,69.66,68.98,69.43,297400,69.43
2010-10-28,69.40,70.08,69.08,69.58,329900,69.58
2010-10-27,69.80,70.09,68.66,69.36,624500,69.36
2010-10-26,70.09,70.91,69.50,70.43,723000,70.43
2010-10-25,72.27,72.91,70.28,70.38,847200,70.38
2010-10-22,69.19,69.52,68.87,69.50,796000,69.50
2010-10-21,67.81,69.20,67.67,69.18,745200,69.18
2010-10-20,66.45,67.62,66.45,67.47,582000,67.47
2010-10-19,67.10,67.13,65.92,66.18,637700,66.18
2010-10-18,67.07,68.13,66.80,68.07,480600,68.07
2010-10-15,67.15,67.51,65.45,67.05,452900,67.05
2010-10-14,67.27,67.57,66.21,66.80,385400,66.80
2010-10-13,66.67,67.50,66.45,67.33,342000,67.33
2010-10-12,66.31,66.51,65.35,66.20,439500,66.20
2010-10-11,66.37,66.94,66.20,66.44,278500,66.44
2010-10-08,66.72,66.78,65.94,66.32,666600,66.32
2010-10-07,67.38,67.42,65.98,66.52,419400,66.52
2010-10-06,66.80,67.09,66.57,66.95,425100,66.95
2010-10-05,65.63,66.77,65.57,66.77,716100,66.67
2010-10-04,65.88,65.88,64.67,64.98,463400,64.89
2010-10-01,65.74,66.25,65.23,66.01,718500,65.92
2010-09-30,65.62,66.37,64.75,65.18,732700,65.09
2010-09-29,65.24,65.59,65.14,65.27,513100,65.18
2010-09-28,64.87,65.69,64.03,65.59,544800,65.50
2010-09-27,65.28,65.28,64.50,64.57,329800,64.48
2010-09-24,64.45,65.54,64.28,65.34,548600,65.25
2010-09-23,63.35,64.51,63.11,63.56,369600,63.47
2010-09-22,65.16,65.29,63.60,64.00,903300,63.91
2010-09-21,64.99,65.60,64.86,65.30,848800,65.21
2010-09-20,64.22,65.03,64.19,64.94,496800,64.85
2010-09-17,64.71,64.71,63.88,64.06,643200,63.97
2010-09-16,63.77,64.02,63.54,63.97,457400,63.88
2010-09-15,63.48,64.00,63.00,63.88,500000,63.79
2010-09-14,64.00,64.07,63.54,63.71,366600,63.62
2010-09-13,62.83,64.34,62.79,64.01,808900,63.92
2010-09-10,62.48,62.73,62.09,62.29,388300,62.20
2010-09-09,62.98,63.01,62.02,62.42,357600,62.33
2010-09-08,61.01,62.46,60.90,62.27,703700,62.18
2010-09-07,61.57,61.60,60.86,61.00,373700,60.91
2010-09-03,61.34,61.96,61.08,61.96,461700,61.87
2010-09-02,59.97,60.86,59.97,60.85,461300,60.76
2010-09-01,58.90,60.41,58.85,60.00,453200,59.91
2010-08-31,57.61,58.64,57.50,58.08,723800,58.00
2010-08-30,59.03,59.37,57.98,58.02,331000,57.94
2010-08-27,58.28,59.42,57.70,59.25,533700,59.17
2010-08-26,58.23,59.00,57.81,57.87,606100,57.79
2010-08-25,57.99,58.08,56.96,57.83,1052300,57.75
2010-08-24,58.33,58.81,57.29,58.46,481600,58.38
2010-08-23,59.85,60.42,59.18,59.28,357800,59.20
2010-08-20,58.98,59.54,58.54,59.46,504300,59.38
2010-08-19,60.39,60.62,59.25,59.55,449100,59.47
2010-08-18,60.82,61.30,60.31,60.83,422800,60.74
2010-08-17,60.28,61.25,60.03,60.97,524400,60.88
2010-08-16,59.03,60.05,58.71,59.80,619800,59.71
2010-08-13,59.86,59.98,59.28,59.42,448800,59.34
2010-08-12,59.49,60.44,59.34,60.15,369300,60.06
2010-08-11,61.75,61.75,60.22,60.50,694000,60.41
2010-08-10,63.27,63.33,62.40,62.86,259900,62.77
2010-08-09,63.52,63.87,63.22,63.73,160700,63.64
2010-08-06,62.73,63.31,62.21,63.13,269400,63.04
2010-08-05,63.07,63.85,63.06,63.43,304900,63.34
2010-08-04,63.49,64.00,63.32,63.58,610600,63.49
2010-08-03,62.97,63.94,62.54,63.50,706900,63.41
2010-08-02,63.29,63.51,62.72,63.02,539000,62.93
2010-07-30,61.28,62.83,60.92,62.50,537900,62.41
2010-07-29,62.70,62.75,61.41,62.08,498800,61.99
2010-07-28,62.77,62.92,61.83,62.12,658000,62.03
2010-07-27,64.22,65.77,62.69,62.83,1073000,62.74
2010-07-26,62.14,65.17,62.02,63.49,1445400,63.40
2010-07-23,60.08,62.31,59.96,62.01,980900,61.92
2010-07-22,59.17,60.36,59.00,60.12,757500,60.03
2010-07-21,58.64,58.93,58.03,58.32,956300,58.24
2010-07-20,56.64,58.27,56.45,58.15,290800,58.07
2010-07-19,57.03,57.33,56.47,57.21,208400,57.13
2010-07-16,58.16,58.16,56.76,56.93,511400,56.85
2010-07-15,58.19,58.61,57.22,58.49,491800,58.41
2010-07-14,57.58,58.41,57.51,58.30,490300,58.22
