Date,Open,High,Low,Close,Volume,Adj Close
2010-11-05,63.49,64.41,63.32,64.25,1419200,64.25
2010-11-04,61.41,64.23,61.41,63.63,2839800,63.63
2010-11-03,60.79,61.11,59.87,60.49,2465700,60.49
2010-11-02,60.08,61.02,59.89,60.99,2136900,60.99
2010-11-01,59.25,59.83,59.08,59.59,1508200,59.59
2010-10-29,58.30,59.12,58.00,58.99,1257700,58.99
2010-10-28,58.91,59.09,57.67,58.37,1230900,58.37
2010-10-27,58.01,58.68,57.70,58.60,1753700,58.60
2010-10-26,58.26,59.24,58.18,58.50,1474500,58.50
2010-10-25,57.85,58.90,57.71,58.42,1280900,58.42
2010-10-22,57.60,57.94,57.09,57.62,790000,57.62
2010-10-21,57.44,58.28,57.06,57.48,1772200,57.48
2010-10-20,56.81,57.45,56.78,57.20,1223900,57.20
2010-10-19,56.65,57.04,56.20,56.53,1668700,56.53
2010-10-18,56.83,57.45,56.49,57.10,1317300,57.10
2010-10-15,56.21,56.84,55.56,56.79,1802500,56.79
2010-10-14,55.78,56.32,55.58,55.96,1203200,55.96
2010-10-13,56.49,56.49,55.33,55.78,1440200,55.78
2010-10-12,55.90,56.46,55.46,56.17,1513500,56.17
2010-10-11,55.66,56.29,55.43,56.09,1463000,56.09
2010-10-08,55.40,56.41,55.22,55.74,1747400,55.74
2010-10-07,55.82,56.62,55.10,55.42,3611100,55.42
2010-10-06,54.04,54.32,53.31,54.32,3244100,54.32
2010-10-05,54.77,54.94,53.40,54.26,2992900,54.26
2010-10-04,54.75,54.96,53.93,54.45,1918500,54.45
2010-10-01,55.15,55.45,54.62,55.02,1715100,55.02
2010-09-30,55.90,56.22,54.10,54.66,2405400,54.66
2010-09-29,55.92,56.06,55.36,55.66,1642600,55.66
2010-09-28,55.68,56.50,54.99,56.15,2687900,56.15
2010-09-27,56.25,56.34,55.25,55.43,1408700,55.43
2010-09-24,56.31,56.62,55.91,56.44,1304400,56.44
2010-09-23,54.58,56.12,54.39,55.89,2048800,55.89
2010-09-22,54.04,55.03,53.52,54.86,1911700,54.86
2010-09-21,54.14,54.46,53.27,53.89,1608000,53.89
2010-09-20,54.01,54.77,53.53,54.53,1387400,54.53
2010-09-17,54.27,54.31,53.57,53.91,1531000,53.91
2010-09-16,54.00,54.20,53.50,53.99,1016300,53.99
2010-09-15,53.21,54.22,53.21,54.06,1584000,54.06
