Date,Open,High,Low,Close,Volume,Adj Close
2010-11-05,18.50,18.54,18.05,18.18,2230000,18.18
2010-11-04,18.56,18.59,18.26,18.50,1891100,18.50
2010-11-03,18.94,19.06,18.00,18.26,2140700,18.26
2010-11-02,18.54,18.89,18.46,18.82,1416200,18.82
2010-11-01,18.58,18.76,18.11,18.26,1124600,18.26
2010-10-29,18.02,18.46,18.00,18.45,2875700,18.45
2010-10-28,18.38,18.52,17.96,18.07,1033400,18.07
2010-10-27,18.17,18.18,17.84,18.11,1181400,18.11
2010-10-26,18.54,18.57,18.21,18.24,1545100,18.24
2010-10-25,18.54,18.70,18.49,18.54,1638200,18.54
2010-10-22,18.41,18.54,18.29,18.40,780400,18.40
2010-10-21,18.62,18.70,18.12,18.40,3705400,18.40
2010-10-20,18.04,18.70,18.02,18.45,1580700,18.45
2010-10-19,18.06,18.28,17.80,17.92,1592800,17.92
2010-10-18,18.18,18.33,18.09,18.19,3018600,18.19
2010-10-15,18.32,18.46,18.03,18.15,1509400,18.15
2010-10-14,18.10,18.35,17.99,18.11,1649700,18.11
2010-10-13,18.10,18.29,17.96,18.12,2461000,18.12
2010-10-12,18.13,18.19,17.86,17.97,1498600,17.97
2010-10-11,18.06,18.16,17.85,18.11,1244200,18.11
2010-10-08,17.70,18.07,17.59,17.99,1040800,17.99
2010-10-07,17.69,17.69,17.47,17.64,1502200,17.64
2010-10-06,17.50,17.53,17.22,17.51,1525200,17.51
2010-10-05,16.91,17.51,16.91,17.46,1886300,17.46
2010-10-04,17.00,17.10,16.71,16.75,1484600,16.75
2010-10-01,17.19,17.35,16.94,16.99,1668800,16.99
2010-09-30,17.21,17.40,16.81,16.96,2368900,16.96
2010-09-29,17.28,17.36,17.01,17.04,1608600,17.04
2010-09-28,17.21,17.36,16.96,17.32,1512800,17.32
2010-09-27,17.61,17.72,17.09,17.12,2269000,17.12
2010-09-24,16.60,17.66,16.52,17.66,3168200,17.66
2010-09-23,16.38,16.64,16.31,16.37,1268000,16.37
2010-09-22,16.93,17.05,16.46,16.48,2275000,16.48
2010-09-21,17.14,17.15,16.86,16.99,1772600,16.99
2010-09-20,16.88,17.14,16.78,17.07,1464700,17.07
2010-09-17,16.82,16.88,16.50,16.81,2434900,16.81
2010-09-16,16.55,16.72,16.53,16.69,1363900,16.69
2010-09-15,16.62,16.80,16.51,16.72,1296800,16.72
2010-09-14,16.82,16.91,16.62,16.77,1970600,16.77
2010-09-13,16.62,16.91,16.47,16.80,2090500,16.80
2010-09-10,16.49,16.57,16.36,16.41,1718600,16.41
2010-09-09,16.68,16.76,16.37,16.50,2523600,16.50
2010-09-08,16.34,16.49,16.27,16.42,1802400,16.42
2010-09-07,16.56,16.60,16.23,16.36,2528900,16.36
2010-09-03,16.32,16.73,16.27,16.62,2299300,16.62
2010-09-02,15.78,16.11,15.75,16.09,2343500,16.09
2010-09-01,15.44,15.94,15.35,15.79,2477900,15.79
2010-08-31,15.24,15.38,15.07,15.13,2287100,15.13
2010-08-30,15.36,15.53,15.20,15.20,1769500,15.20
2010-08-27,15.11,15.42,14.93,15.39,1793600,15.39
2010-08-26,15.28,15.31,14.90,14.96,2482000,14.96
2010-08-25,15.00,15.29,14.87,15.22,2665700,15.22
2010-08-24,15.16,15.27,14.96,15.06,2306800,15.06
2010-08-23,15.70,15.82,15.25,15.40,3882100,15.40
2010-08-20,15.78,15.84,15.47,15.64,3068200,15.64
2010-08-19,16.30,16.36,15.80,15.89,2062600,15.89
2010-08-18,16.48,16.56,16.33,16.42,1367600,16.42
2010-08-17,16.43,16.69,16.28,16.46,1767900,16.46
2010-08-16,16.31,16.41,16.21,16.33,1599400,16.33
2010-08-13,16.42,16.60,16.35,16.38,1331100,16.38
2010-08-12,16.74,16.74,16.43,16.51,2701000,16.51
2010-08-11,17.27,17.28,16.75,16.81,3761300,16.81
2010-08-10,17.90,17.91,17.37,17.52,2754400,17.52
2010-08-09,17.71,18.08,17.44,18.05,2422100,18.05
2010-08-06,17.31,17.64,17.16,17.55,1744900,17.55
2010-08-05,17.46,17.65,17.34,17.44,1960800,17.44
2010-08-04,17.81,18.10,17.51,17.65,3055300,17.65
2010-08-03,17.20,17.34,17.09,17.11,2762900,17.11
2010-08-02,17.16,17.46,17.08,17.42,1678500,17.16
2010-07-30,16.71,16.98,16.66,16.87,2196400,16.62
2010-07-29,17.06,17.29,16.60,16.92,2471500,16.67
2010-07-28,17.18,17.29,16.91,16.92,1457400,16.67
2010-07-27,17.44,17.50,17.11,17.15,2048700,16.89
2010-07-26,16.96,17.40,16.73,17.35,1960200,17.09
2010-07-23,16.56,16.95,16.48,16.89,3324300,16.64
