Date,Open,High,Low,Close,Volume,Adj Close
2010-11-05,48.16,48.41,47.95,48.15,2500600,48.15
2010-11-04,48.11,48.19,47.60,48.06,2393600,48.06
2010-11-03,47.91,48.29,47.30,47.73,2611600,47.73
2010-11-02,47.34,48.38,47.25,47.80,3229300,47.80
2010-11-01,46.36,47.56,46.33,46.90,3494000,46.90
2010-10-29,45.65,46.23,45.65,46.08,2516600,46.08
2010-10-28,46.58,47.43,45.16,45.64,6750300,45.64
2010-10-27,47.17,47.37,46.83,47.30,1906800,47.30
2010-10-26,47.01,47.62,46.78,47.55,3033100,47.55
2010-10-25,47.94,47.94,47.09,47.14,2216600,47.14
2010-10-22,47.83,47.83,47.33,47.60,1612600,47.60
2010-10-21,47.39,47.89,47.23,47.83,3274100,47.83
2010-10-20,46.73,47.43,46.68,47.24,2890400,47.24
2010-10-19,46.95,46.95,46.17,46.54,4130200,46.54
2010-10-18,45.66,47.42,45.66,47.33,4412800,47.33
2010-10-15,45.79,45.89,45.22,45.71,4921800,45.71
2010-10-14,45.89,46.00,45.08,45.52,2109200,45.52
2010-10-13,45.79,46.04,45.61,45.88,2359900,45.88
2010-10-12,45.52,45.85,45.03,45.63,2775600,45.63
2010-10-11,45.55,45.59,45.07,45.50,2160600,45.50
2010-10-08,45.69,45.69,44.99,45.40,2473300,45.40
2010-10-07,45.99,45.99,45.34,45.71,2515400,45.71
2010-10-06,45.57,45.99,45.50,45.93,3244000,45.93
2010-10-05,44.71,45.77,44.65,45.58,3442400,45.58
2010-10-04,44.62,44.94,44.37,44.45,2477700,44.45
2010-10-01,45.68,45.80,44.58,44.61,3779800,44.61
2010-09-30,45.62,46.19,45.50,45.71,3529500,45.33
2010-09-29,45.56,45.63,45.12,45.54,3613700,45.17
2010-09-28,45.48,45.85,44.88,45.77,3014100,45.39
2010-09-27,46.13,46.23,45.21,45.37,3437200,45.00
2010-09-24,45.43,45.94,45.20,45.87,2623100,45.49
2010-09-23,45.50,45.59,44.93,45.01,2790600,44.64
2010-09-22,46.29,46.59,45.81,45.84,2640300,45.46
2010-09-21,46.85,47.17,46.28,46.29,3923400,45.91
2010-09-20,45.95,47.06,45.89,46.96,2602300,46.57
2010-09-17,45.94,46.16,45.52,45.89,2977900,45.51
2010-09-16,45.64,45.90,45.51,45.72,1765200,45.34
2010-09-15,45.87,46.16,45.45,45.84,2326300,45.46
2010-09-14,46.38,46.50,46.00,46.21,2222300,45.83
2010-09-13,47.40,47.66,46.30,46.50,3353100,46.12
2010-09-10,45.51,46.74,45.51,46.69,3674400,46.31
2010-09-09,45.82,45.96,45.11,45.47,2272800,45.10
2010-09-08,45.41,45.43,44.80,45.32,3709400,44.95
2010-09-07,46.26,46.26,45.40,45.68,3350200,45.31
2010-09-03,46.02,46.21,45.45,45.67,2522700,45.30
2010-09-02,45.06,45.77,45.00,45.66,2854500,45.29
2010-09-01,44.50,45.46,44.31,45.06,3837800,44.69
2010-08-31,43.92,44.38,43.80,43.92,4756200,43.56
2010-08-30,44.66,44.66,44.18,44.20,3868200,43.84
2010-08-27,43.44,44.32,43.23,44.23,4494100,43.87
2010-08-26,43.30,43.67,43.11,43.25,3529600,42.90
2010-08-25,42.88,43.37,42.70,43.21,7247000,42.86
2010-08-24,43.18,43.55,42.65,43.26,4483500,42.91
2010-08-23,43.84,44.37,43.44,43.49,3026800,43.13
2010-08-20,43.62,43.88,43.16,43.75,4071700,43.39
2010-08-19,44.93,44.93,43.89,44.01,3560200,43.65
2010-08-18,45.49,45.49,45.06,45.23,3857100,44.86
2010-08-17,45.15,45.80,44.95,45.46,2933500,45.09
2010-08-16,44.47,45.07,44.24,44.76,2675600,44.39
2010-08-13,44.49,45.19,44.49,44.74,2134300,44.37
2010-08-12,44.53,44.83,44.23,44.59,2812900,44.22
2010-08-11,45.74,45.83,44.74,44.93,2701000,44.56
2010-08-10,46.13,46.53,45.64,46.30,3170000,45.92
2010-08-09,46.40,46.75,46.32,46.45,2242700,46.07
2010-08-06,45.98,46.47,45.80,46.14,2731700,45.76
2010-08-05,46.17,46.85,45.95,46.43,3354100,46.05
2010-08-04,46.05,46.48,45.83,46.34,3411000,45.96
2010-08-03,46.67,46.88,45.90,45.99,4405900,45.61
2010-08-02,46.98,46.99,46.15,46.89,3390600,46.51
2010-07-30,46.31,46.61,46.00,46.27,4344400,45.89
2010-07-29,47.22,47.97,46.64,46.67,5095100,46.29
2010-07-28,48.26,48.60,48.17,48.27,3404200,47.87
2010-07-27,49.33,49.59,48.12,48.31,4526100,47.91
2010-07-26,49.27,50.00,49.26,49.64,3019500,49.23
2010-07-23,48.85,49.31,48.50,49.06,3649100,48.66
2010-07-22,48.58,48.99,48.20,48.69,3293700,48.29
2010-07-21,48.86,48.86,47.85,48.14,2013000,47.75
2010-07-20,47.51,48.56,47.09,48.45,2497300,48.05
2010-07-19,48.07,48.40,47.76,48.03,2209900,47.64
2010-07-16,48.83,49.31,47.68,47.73,2636000,47.34
2010-07-15,49.07,49.30,48.26,49.02,3226900,48.62
2010-07-14,48.53,48.86,47.91,48.57,2564100,48.17
2010-07-13,48.40,48.78,48.08,48.33,3445400,47.93
2010-07-12,48.52,48.71,47.97,48.10,1751800,47.71
2010-07-09,49.56,49.58,48.49,48.81,1940000,48.41
2010-07-08,49.02,49.59,48.85,49.50,1997300,49.09
2010-07-07,47.46,48.86,47.36,48.81,2002600,48.41
2010-07-06,47.99,48.18,47.02,47.47,2191300,47.08
2010-07-02,47.91,48.15,47.26,47.58,1986300,47.19
2010-07-01,47.85,48.01,47.19,47.73,2931400,47.34
2010-06-30,48.77,49.04,48.31,48.39,3156100,47.62
2010-06-29,49.89,50.05,48.42,48.75,2741300,47.98
2010-06-28,50.57,51.02,50.17,50.59,1992400,49.79
2010-06-25,50.82,51.00,50.05,50.38,5923800,49.58
2010-06-24,51.73,51.98,50.64,50.80,2266100,49.99
2010-06-23,52.18,52.42,51.41,51.96,2344400,51.13
2010-06-22,52.94,53.47,52.07,52.18,1650000,51.35
2010-06-21,53.58,53.76,52.92,53.19,2051200,52.34
2010-06-18,53.28,53.33,52.77,53.25,2398600,52.40
2010-06-17,53.01,53.16,52.39,53.10,1827600,52.26
2010-06-16,52.86,53.21,52.70,52.85,2565100,52.01
2010-06-15,51.84,53.13,51.84,53.13,2491400,52.29
2010-06-14,52.05,52.27,51.36,51.40,2139100,50.58
2010-06-11,51.06,51.76,50.66,51.71,1718600,50.89
2010-06-10,51.11,51.73,50.86,51.50,2695700,50.68
2010-06-09,50.64,51.34,50.35,50.51,3203000,49.71
2010-06-08,50.69,51.05,49.74,50.47,3718600,49.67
2010-06-07,51.58,51.68,50.70,50.72,3213900,49.91
2010-06-04,52.20,52.52,51.30,51.47,3076700,50.65
2010-06-03,52.92,53.56,52.77,53.08,2344300,52.24
2010-06-02,52.27,52.96,51.91,52.94,2941300,52.10
2010-06-01,52.07,53.04,51.93,51.95,2928900,51.12
2010-05-28,52.52,52.91,52.15,52.41,3300900,51.58
2010-05-27,52.56,52.67,51.76,52.64,3038200,51.80
2010-05-26,52.45,52.65,51.44,51.53,3973100,50.71
2010-05-25,51.45,52.40,51.09,52.28,3608500,51.45
2010-05-24,53.49,53.60,52.62,52.65,2469800,51.81
2010-05-21,52.57,53.87,52.26,53.70,3953500,52.85
2010-05-20,54.10,54.52,53.18,53.26,3748500,52.41
2010-05-19,55.33,55.66,54.50,55.18,2569700,54.30
2010-05-18,56.82,57.25,55.41,55.44,3660900,54.56
2010-05-17,56.69,57.00,55.79,56.63,2787800,55.73
2010-05-14,56.36,56.67,55.76,56.32,2549400,55.43
2010-05-13,57.99,57.99,56.73,56.85,2469200,55.95
2010-05-12,57.60,58.11,57.31,58.00,2086600,57.08
2010-05-11,56.06,58.07,55.88,57.46,3867000,56.55
2010-05-10,57.11,57.27,55.67,56.59,5169400,55.69
2010-05-07,56.35,56.75,54.92,55.17,4165100,54.29
2010-05-06,58.07,58.32,53.06,56.60,4135900,55.70
2010-05-05,58.16,58.89,57.85,58.22,2611500,57.29
2010-05-04,59.02,59.14,57.93,58.62,3123100,57.69
2010-05-03,58.51,59.74,58.51,59.53,1954000,58.58
2010-04-30,59.54,59.75,58.29,58.29,2623200,57.36
2010-04-29,58.66,59.47,58.46,59.37,2795600,58.43
2010-04-28,57.83,58.31,57.40,58.26,3113000,57.33
2010-04-27,59.18,59.44,57.47,57.59,3443500,56.67
2010-04-26,59.77,59.89,59.02,59.35,2688400,58.41
2010-04-23,59.62,59.92,59.07,59.72,2226100,58.77
2010-04-22,59.67,60.00,58.99,59.54,4045900,58.59
2010-04-21,59.46,60.10,59.40,60.01,2251700,59.06
2010-04-20,58.91,59.47,58.74,59.32,2188500,58.38
2010-04-19,58.28,58.67,58.00,58.61,2231300,57.68
2010-04-16,58.59,58.87,57.76,58.32,3163500,57.39
2010-04-15,58.24,58.86,57.93,58.76,2263600,57.83
2010-04-14,58.25,58.26,57.64,58.20,2888800,57.28
2010-04-13,57.29,58.25,57.19,58.13,2563000,57.21
2010-04-12,57.40,57.85,57.32,57.43,1347600,56.52
2010-04-09,56.88,57.58,56.79,57.53,1629900,56.62
2010-04-08,56.78,57.06,56.67,56.77,1901200,55.87
2010-04-07,56.94,57.34,56.75,56.81,2277000,55.91
2010-04-06,57.40,57.42,56.88,57.07,1531700,56.16
2010-04-05,57.18,57.67,57.11,57.55,1739000,56.64
2010-04-01,57.13,57.42,56.56,56.92,1928600,56.02
2010-03-31,57.24,57.46,56.86,57.12,1736300,55.84
2010-03-30,57.81,57.82,57.11,57.45,1485200,56.17
2010-03-29,57.58,57.74,57.16,57.67,2173200,56.38
2010-03-26,57.45,57.57,57.10,57.29,3136100,56.01
2010-03-25,58.03,58.30,57.03,57.26,4935400,55.98
2010-03-24,57.19,57.44,56.99,57.11,2236000,55.83
2010-03-23,57.08,57.32,56.97,57.25,2445300,55.97
2010-03-22,56.70,57.09,56.50,57.09,2538900,55.81
2010-03-19,56.91,57.08,56.48,56.87,3843000,55.60
2010-03-18,56.73,57.07,56.69,56.84,2706700,55.57
2010-03-17,56.79,56.92,56.51,56.84,1539400,55.57
2010-03-16,56.79,56.97,56.62,56.81,3890500,55.54
2010-03-15,56.52,56.74,56.00,56.56,2360400,55.30
2010-03-12,56.95,57.05,56.28,56.68,2099400,55.41
2010-03-11,56.82,57.02,56.09,56.99,1859400,55.72
2010-03-10,56.99,57.21,56.84,57.10,1562000,55.82
2010-03-09,57.09,57.20,56.93,57.10,1901700,55.82
2010-03-08,57.13,57.32,56.94,57.07,1615400,55.79
2010-03-05,56.89,57.32,56.75,57.11,2189200,55.83
2010-03-04,56.56,56.94,56.48,56.73,1600200,55.46
2010-03-03,56.94,57.00,56.43,56.48,1516100,55.22
2010-03-02,57.06,57.22,56.58,56.86,1889700,55.59
2010-03-01,56.54,57.05,56.35,56.79,1719100,55.52
2010-02-26,56.02,56.86,55.99,56.24,3053200,54.98
2010-02-25,55.51,55.90,55.07,55.85,2123200,54.60
2010-02-24,56.61,56.61,55.72,56.17,2145900,54.91
2010-02-23,55.86,56.30,55.49,55.51,2028700,54.27
2010-02-22,55.75,56.20,55.54,55.85,2540300,54.60
2010-02-19,55.28,55.65,54.96,55.54,3963400,54.30
