Date,Open,High,Low,Close,Volume,Adj Close
2010-11-05,4.04,4.09,3.95,3.99,53099900,3.99
2010-11-04,4.09,4.12,3.99,4.09,52955400,4.09
2010-11-03,4.10,4.10,3.86,4.07,122124800,4.07
2010-11-02,4.17,4.18,4.03,4.10,76917200,4.10
2010-11-01,4.18,4.25,4.12,4.14,39971400,4.14
2010-10-29,4.21,4.24,4.12,4.13,51013300,4.13
2010-10-28,4.29,4.31,4.18,4.19,82643600,4.19
2010-10-27,4.59,4.61,4.22,4.30,181672900,4.30
2010-10-26,4.73,4.85,4.73,4.77,57965900,4.77
2010-10-25,4.88,4.88,4.74,4.75,39548300,4.75
2010-10-22,4.76,4.86,4.69,4.85,59967300,4.85
2010-10-21,4.63,4.78,4.63,4.76,61536200,4.76
2010-10-20,4.60,4.71,4.58,4.61,47597200,4.61
2010-10-19,4.51,4.58,4.47,4.57,37131300,4.57
2010-10-18,4.59,4.59,4.49,4.57,24719900,4.57
2010-10-15,4.58,4.60,4.49,4.59,20442900,4.59
2010-10-14,4.59,4.62,4.52,4.56,27806800,4.56
2010-10-13,4.76,4.78,4.58,4.63,39209300,4.63
2010-10-12,4.40,4.62,4.40,4.59,40165600,4.59
2010-10-11,4.49,4.51,4.40,4.46,35560400,4.46
2010-10-08,4.58,4.59,4.45,4.48,36058600,4.48
2010-10-07,4.65,4.66,4.50,4.54,34649600,4.54
2010-10-06,4.65,4.74,4.63,4.65,32364100,4.65
2010-10-05,4.60,4.71,4.58,4.66,36633600,4.66
2010-10-04,4.69,4.75,4.60,4.60,33205400,4.60
2010-10-01,4.63,4.74,4.57,4.72,49862800,4.72
2010-09-30,4.59,4.65,4.49,4.63,39976300,4.63
2010-09-29,4.58,4.69,4.56,4.60,40403500,4.60
2010-09-28,4.62,4.62,4.51,4.60,28795200,4.60
2010-09-27,4.57,4.65,4.54,4.59,44231600,4.59
2010-09-24,4.46,4.47,4.41,4.44,31068500,4.44
2010-09-23,4.34,4.48,4.32,4.36,37676400,4.36
2010-09-22,4.54,4.55,4.36,4.37,40430400,4.37
2010-09-21,4.62,4.66,4.50,4.58,45890600,4.58
2010-09-20,4.41,4.63,4.35,4.63,52749100,4.63
2010-09-17,4.51,4.52,4.36,4.44,36361900,4.44
2010-09-16,4.52,4.58,4.41,4.47,38291000,4.47
2010-09-15,4.54,4.62,4.48,4.58,32880500,4.58
2010-09-14,4.54,4.63,4.50,4.56,36673700,4.56
2010-09-13,4.47,4.53,4.42,4.53,24998900,4.53
2010-09-10,4.36,4.45,4.35,4.45,19598500,4.45
2010-09-09,4.43,4.45,4.35,4.40,15849300,4.40
2010-09-08,4.41,4.45,4.37,4.39,23322400,4.39
2010-09-07,4.27,4.40,4.27,4.40,28303300,4.40
2010-09-03,4.43,4.44,4.29,4.34,38486100,4.34
2010-09-02,4.13,4.38,4.12,4.34,51142700,4.34
2010-09-01,4.15,4.20,4.08,4.14,40607900,4.14
2010-08-31,3.89,4.08,3.88,4.06,41078300,4.06
2010-08-30,4.00,4.05,3.90,3.90,36397200,3.90
2010-08-27,4.08,4.10,3.96,4.00,36449800,4.00
2010-08-26,4.03,4.17,4.02,4.07,47457100,4.07
2010-08-25,3.90,4.02,3.82,3.96,55611500,3.96
2010-08-24,4.00,4.08,3.94,3.95,45968300,3.95
2010-08-23,4.23,4.28,4.07,4.09,50675500,4.09
2010-08-20,4.24,4.30,4.12,4.19,53492200,4.19
2010-08-19,4.43,4.46,4.20,4.25,61775200,4.25
2010-08-18,4.46,4.56,4.43,4.47,32348000,4.47
2010-08-17,4.34,4.56,4.32,4.49,51671900,4.49
2010-08-16,4.48,4.50,4.28,4.30,41171600,4.30
2010-08-13,4.48,4.54,4.45,4.48,22204700,4.48
2010-08-12,4.45,4.51,4.41,4.48,34356700,4.48
2010-08-11,4.48,4.56,4.48,4.49,39394400,4.49
2010-08-10,4.52,4.60,4.48,4.57,29307600,4.57
2010-08-09,4.48,4.60,4.45,4.58,31528100,4.58
2010-08-06,4.46,4.52,4.45,4.45,48744600,4.45
2010-08-05,4.56,4.62,4.49,4.52,51919000,4.52
2010-08-04,4.57,4.62,4.51,4.59,50311100,4.59
2010-08-03,4.63,4.67,4.50,4.54,67352400,4.54
2010-08-02,4.68,4.73,4.62,4.68,62085600,4.68
2010-07-30,4.68,4.70,4.51,4.57,78016000,4.57
2010-07-29,4.88,4.90,4.70,4.76,73605500,4.76
2010-07-28,5.06,5.08,4.78,4.84,211965300,4.84
2010-07-27,5.08,5.08,4.80,4.83,94173100,4.83
2010-07-26,4.70,5.06,4.68,5.05,84463300,5.05
2010-07-23,4.66,4.72,4.60,4.69,39244300,4.69
2010-07-22,4.66,4.73,4.64,4.67,42620500,4.67
2010-07-21,4.66,4.70,4.53,4.59,46298500,4.59
2010-07-20,4.53,4.75,4.52,4.71,59815700,4.71
2010-07-19,4.59,4.74,4.52,4.62,73407700,4.62
2010-07-16,4.67,4.74,4.55,4.56,53518700,4.56
2010-07-15,4.59,4.70,4.57,4.70,52515600,4.70
2010-07-14,4.53,4.63,4.50,4.61,29996400,4.61
2010-07-13,4.62,4.71,4.45,4.58,79700700,4.58
2010-07-12,4.27,4.51,4.25,4.50,58403100,4.50
2010-07-09,4.39,4.44,4.22,4.28,42342600,4.28
2010-07-08,4.32,4.53,4.29,4.41,61037800,4.41
2010-07-07,4.17,4.31,4.09,4.26,62816700,4.26
2010-07-06,4.21,4.29,4.10,4.14,42990900,4.14
2010-07-02,4.18,4.28,4.12,4.16,24216200,4.16
2010-07-01,4.24,4.34,4.05,4.18,54368100,4.18
2010-06-30,4.27,4.42,4.18,4.24,42296800,4.24
2010-06-29,4.33,4.42,4.22,4.28,68180300,4.28
2010-06-28,4.23,4.53,4.23,4.46,69778100,4.46
2010-06-25,4.40,4.45,4.20,4.20,54247300,4.20
2010-06-24,4.49,4.50,4.34,4.38,41448900,4.38
2010-06-23,4.33,4.55,4.32,4.52,69525700,4.52
2010-06-22,4.52,4.52,4.28,4.32,63350300,4.32
2010-06-21,4.69,4.69,4.45,4.50,52213200,4.50
2010-06-18,4.66,4.74,4.59,4.59,36857600,4.59
2010-06-17,4.79,4.80,4.58,4.64,50196500,4.64
2010-06-16,4.81,4.89,4.74,4.79,35427600,4.79
2010-06-15,4.81,4.91,4.70,4.90,54907000,4.90
2010-06-14,4.98,4.98,4.79,4.79,40380600,4.79
2010-06-11,4.63,4.89,4.61,4.87,53023600,4.87
2010-06-10,4.74,4.76,4.58,4.73,46130800,4.73
2010-06-09,4.54,4.82,4.46,4.61,73041600,4.61
2010-06-08,4.67,4.69,4.43,4.59,73490800,4.59
2010-06-07,4.95,5.03,4.64,4.66,84231700,4.66
2010-06-04,4.86,4.99,4.76,4.78,59388400,4.78
2010-06-03,5.03,5.08,4.85,4.95,67499900,4.95
2010-06-02,4.78,5.03,4.78,4.99,70227800,4.99
2010-06-01,5.00,5.06,4.75,4.76,70826200,4.76
2010-05-28,5.16,5.25,5.02,5.13,57658300,5.13
2010-05-27,5.02,5.20,4.95,5.19,76632100,5.19
2010-05-26,5.29,5.30,4.85,4.91,161089900,4.91
2010-05-25,4.64,5.31,4.58,5.29,171172700,5.29
2010-05-24,4.63,4.90,4.61,4.79,123476200,4.79
2010-05-21,4.14,4.43,4.10,4.41,75639700,4.41
2010-05-20,4.38,4.47,4.31,4.32,64680300,4.32
2010-05-19,4.64,4.75,4.43,4.58,103386700,4.58
2010-05-18,4.58,4.74,4.58,4.70,114883300,4.70
2010-05-17,4.34,4.53,4.29,4.49,76143100,4.49
2010-05-14,4.37,4.39,4.23,4.36,60589000,4.36
2010-05-13,4.31,4.50,4.26,4.46,103445900,4.46
2010-05-12,4.20,4.24,4.10,4.15,66287500,4.15
2010-05-11,3.98,4.20,3.95,4.13,54123400,4.13
2010-05-10,4.18,4.20,3.96,4.04,62610500,4.04
2010-05-07,4.15,4.23,3.83,3.84,100087400,3.84
2010-05-06,4.17,4.34,3.90,4.16,87316500,4.16
2010-05-05,4.18,4.25,4.12,4.18,46945000,4.18
2010-05-04,4.23,4.24,4.09,4.10,51007300,4.10
2010-05-03,4.25,4.32,4.20,4.31,40153000,4.31
2010-04-30,4.43,4.47,4.22,4.25,59286300,4.25
2010-04-29,4.34,4.45,4.33,4.39,86926900,4.39
2010-04-28,4.10,4.35,4.09,4.26,124266100,4.26
2010-04-27,4.21,4.23,4.05,4.09,75763900,4.09
2010-04-26,4.39,4.39,4.21,4.23,55552000,4.23
2010-04-23,4.26,4.36,4.24,4.32,83429800,4.32
2010-04-22,4.23,4.28,4.11,4.19,107958900,4.19
2010-04-21,4.15,4.18,4.06,4.10,55356400,4.10
2010-04-20,4.22,4.24,4.15,4.17,60990900,4.17
2010-04-19,4.17,4.26,4.12,4.19,58564100,4.19
2010-04-16,4.17,4.22,4.02,4.08,49331300,4.08
2010-04-15,4.17,4.20,4.04,4.20,45355000,4.20
2010-04-14,4.21,4.21,4.09,4.15,45860800,4.15
2010-04-13,4.20,4.30,4.14,4.15,80607700,4.15
2010-04-12,4.09,4.24,4.08,4.15,75469100,4.15
2010-04-09,4.05,4.12,4.01,4.04,55337600,4.04
2010-04-08,3.86,4.03,3.81,4.00,63458400,4.00
2010-04-07,3.87,3.93,3.82,3.88,42987800,3.88
2010-04-06,3.89,3.93,3.85,3.88,23498600,3.88
2010-04-05,3.95,3.96,3.89,3.91,29225100,3.91
2010-04-01,3.88,3.94,3.83,3.90,46764800,3.90
2010-03-31,3.78,3.94,3.75,3.80,62007400,3.80
2010-03-30,3.84,3.85,3.75,3.82,43685500,3.82
2010-03-29,3.84,3.88,3.77,3.79,27318100,3.79
2010-03-26,3.81,3.88,3.72,3.80,40132400,3.80
2010-03-25,3.93,3.98,3.76,3.77,77178900,3.77
2010-03-24,3.98,4.14,3.92,3.94,147082800,3.94
2010-03-23,3.72,3.90,3.71,3.83,77911400,3.83
2010-03-22,3.70,3.73,3.65,3.71,33620500,3.71
2010-03-19,3.79,3.80,3.69,3.76,59173400,3.76
2010-03-18,3.64,3.80,3.62,3.80,63244600,3.80
2010-03-17,3.51,3.64,3.49,3.61,58315000,3.61
