Date,Open,High,Low,Close,Volume,Adj Close
2010-11-05,30.57,31.30,30.35,30.87,18320300,30.87
2010-11-04,29.68,30.00,29.54,29.75,14709400,29.75
2010-11-03,28.81,29.29,28.62,29.10,6679700,29.10
2010-11-02,28.89,29.14,28.76,28.88,4645300,28.88
2010-11-01,28.68,28.99,28.44,28.81,5546600,28.81
2010-10-29,28.15,28.75,28.10,28.56,6767500,28.56
2010-10-28,28.45,28.50,28.03,28.23,4065800,28.23
2010-10-27,28.21,28.33,28.02,28.26,5567000,28.26
2010-10-26,28.23,28.61,28.12,28.53,4756800,28.53
2010-10-25,28.55,28.80,28.34,28.39,5698200,28.39
2010-10-22,27.04,28.61,27.03,28.49,11385400,28.49
2010-10-21,27.48,27.81,27.02,27.29,5317300,27.29
2010-10-20,27.08,27.72,27.03,27.45,6678000,27.45
2010-10-19,27.25,27.48,26.84,27.08,6808300,27.08
2010-10-18,27.44,27.54,27.18,27.35,5482400,27.35
2010-10-15,27.60,27.60,27.17,27.54,5911900,27.54
2010-10-14,27.14,27.76,27.14,27.43,7300800,27.43
2010-10-13,27.23,27.35,26.89,27.26,7309300,27.26
2010-10-12,26.00,27.30,25.90,27.14,14510100,27.14
2010-10-11,25.99,26.40,25.87,25.99,5742200,25.99
2010-10-08,26.09,26.30,25.67,26.07,4611200,26.07
2010-10-07,26.11,26.22,25.82,26.07,5190200,26.07
2010-10-06,26.08,26.22,25.74,26.10,7399000,26.10
2010-10-05,26.07,26.39,25.95,26.25,7143600,26.25
2010-10-04,25.80,25.94,25.37,25.69,5455300,25.69
2010-10-01,25.89,26.08,25.54,25.94,8727700,25.94
2010-09-30,25.93,26.10,25.38,25.55,8370300,25.55
2010-09-29,26.18,26.20,25.64,25.80,6533000,25.80
2010-09-28,26.37,26.57,25.72,26.14,7484500,26.14
2010-09-27,26.03,26.38,26.03,26.15,7616000,26.15
2010-09-24,25.85,26.20,25.82,26.13,11601900,26.13
2010-09-23,25.65,26.18,25.37,25.45,7034200,25.45
2010-09-22,26.24,26.45,25.83,25.93,6124200,25.93
2010-09-21,26.21,26.34,25.98,26.16,7179100,26.16
2010-09-20,25.61,26.34,25.54,26.28,6612600,26.28
2010-09-17,25.85,25.88,25.43,25.53,8347400,25.53
2010-09-16,25.63,25.83,25.45,25.73,4184200,25.73
2010-09-15,25.59,25.78,25.43,25.75,5575600,25.75
2010-09-14,25.70,25.87,25.53,25.78,6126600,25.78
2010-09-13,25.55,26.00,25.55,25.75,8682300,25.75
2010-09-10,24.94,25.44,24.85,25.40,6399300,25.40
2010-09-09,24.97,24.97,24.53,24.83,5164600,24.83
2010-09-08,24.89,25.10,24.69,24.78,6102700,24.78
2010-09-07,24.89,25.04,24.67,24.87,6415200,24.87
2010-09-03,24.98,25.19,24.72,25.07,5886700,25.07
2010-09-02,23.66,24.68,23.55,24.66,11966200,24.66
2010-09-01,23.18,23.77,23.03,23.68,7182600,23.68
2010-08-31,23.20,23.48,22.69,22.98,10568300,22.98
2010-08-30,23.45,23.64,23.37,23.43,5963000,23.43
2010-08-27,23.38,23.58,22.91,23.47,6054500,23.47
2010-08-26,23.41,23.62,23.18,23.27,7530000,23.27
2010-08-25,22.60,23.48,22.50,23.36,10122100,23.36
2010-08-24,23.30,23.30,22.70,22.82,13907500,22.82
2010-08-23,24.12,24.33,23.68,23.68,6615000,23.68
2010-08-20,24.02,24.11,23.76,24.05,5454800,24.05
2010-08-19,24.33,24.52,23.86,24.04,6811800,24.04
2010-08-18,24.14,24.80,23.81,24.50,6822800,24.50
2010-08-17,23.93,24.59,23.84,24.30,7030700,24.30
2010-08-16,23.87,24.15,23.67,23.82,7362200,23.82
2010-08-13,24.31,24.37,23.95,23.99,6097100,23.99
2010-08-12,24.31,24.61,24.26,24.46,5982000,24.46
2010-08-11,24.91,24.96,24.35,24.66,9224800,24.66
2010-08-10,25.47,25.60,25.11,25.40,6450500,25.40
2010-08-09,25.39,25.72,25.39,25.66,5178800,25.66
2010-08-06,24.79,25.37,24.75,25.33,7490900,25.33
2010-08-05,25.03,25.24,24.76,25.18,7672300,25.18
2010-08-04,24.84,25.24,24.69,25.18,7330300,25.18
2010-08-03,24.68,24.86,24.37,24.72,7189000,24.72
2010-08-02,25.02,25.06,24.62,24.68,8337000,24.68
2010-07-30,24.45,24.95,24.25,24.85,7841200,24.72
