Date,Open,High,Low,Close,Volume,Adj Close
2010-11-05,41.44,41.70,41.40,41.67,792200,41.67
2010-11-04,41.42,41.49,41.29,41.41,768000,41.41
2010-11-03,41.21,41.25,40.64,41.00,470900,41.00
2010-11-02,40.75,41.17,40.75,41.15,447100,41.15
2010-11-01,41.04,41.18,40.34,40.54,582400,40.54
2010-10-29,40.72,40.99,40.54,40.84,652500,40.84
2010-10-28,40.96,41.06,40.74,40.89,691400,40.89
2010-10-27,41.00,41.00,40.32,40.76,923800,40.76
2010-10-26,41.08,41.22,40.89,41.09,727200,41.09
2010-10-25,41.50,41.57,41.10,41.16,558600,41.16
2010-10-22,41.36,41.50,41.00,41.20,563700,41.20
2010-10-21,41.91,41.97,41.16,41.37,614900,41.37
2010-10-20,41.41,41.94,41.40,41.69,482500,41.69
2010-10-19,41.20,41.55,41.12,41.33,606300,41.33
2010-10-18,41.27,41.60,41.20,41.50,569500,41.50
2010-10-15,41.18,41.24,40.87,41.14,638600,41.14
2010-10-14,40.92,41.16,40.66,40.82,548900,40.82
2010-10-13,40.83,40.99,40.70,40.92,465200,40.92
2010-10-12,40.78,40.82,40.50,40.69,539600,40.69
2010-10-11,40.68,40.96,40.62,40.80,285900,40.80
2010-10-08,40.62,40.79,40.31,40.69,572300,40.69
2010-10-07,40.69,40.89,40.27,40.52,604400,40.52
2010-10-06,40.74,40.92,40.40,40.62,412400,40.62
2010-10-05,40.70,40.87,40.59,40.85,478500,40.85
2010-10-04,40.55,40.83,40.20,40.43,513700,40.43
2010-10-01,40.68,40.73,40.30,40.55,556300,40.55
2010-09-30,40.61,40.76,40.17,40.32,800700,40.32
2010-09-29,40.33,40.48,40.03,40.32,483500,40.32
2010-09-28,40.58,40.58,40.00,40.46,820700,40.46
2010-09-27,40.50,40.63,40.28,40.40,593900,40.40
2010-09-24,39.95,40.59,39.95,40.45,532100,40.45
2010-09-23,40.01,40.18,39.61,39.67,568000,39.67
2010-09-22,40.14,40.58,40.06,40.20,700100,40.20
2010-09-21,40.50,40.58,40.11,40.16,829000,40.16
2010-09-20,39.90,40.52,39.76,40.49,507900,40.49
2010-09-17,39.93,40.00,39.54,39.80,836800,39.80
2010-09-16,40.04,40.13,39.65,39.74,737800,39.74
2010-09-15,40.24,40.29,39.97,40.14,532200,40.14
2010-09-14,40.10,40.44,39.96,40.29,461300,40.29
2010-09-13,39.95,40.34,39.92,40.16,583400,40.16
2010-09-10,39.91,40.05,39.77,39.82,531300,39.82
2010-09-09,40.00,40.33,39.92,39.95,686700,39.95
2010-09-08,40.24,40.24,39.66,39.75,784800,39.75
2010-09-07,40.51,40.82,40.38,40.50,833600,40.02
2010-09-03,40.29,40.57,40.09,40.56,826500,40.08
2010-09-02,39.96,40.35,39.72,40.05,978200,39.58
2010-09-01,39.40,39.89,39.29,39.80,802000,39.33
2010-08-31,38.61,39.14,38.39,39.03,1102700,38.57
2010-08-30,39.21,39.33,38.77,38.80,631200,38.34
2010-08-27,38.66,39.32,38.40,39.23,674800,38.77
2010-08-26,38.70,38.81,38.43,38.49,596200,38.04
2010-08-25,38.52,38.71,38.24,38.54,759900,38.09
2010-08-24,38.43,39.03,38.30,38.76,627200,38.31
2010-08-23,38.71,39.06,38.59,38.74,503100,38.29
2010-08-20,38.20,38.55,38.08,38.46,477900,38.01
2010-08-19,38.91,38.91,38.22,38.49,662100,38.04
2010-08-18,39.15,39.23,38.65,39.03,862600,38.57
2010-08-17,38.89,39.32,38.79,39.11,545100,38.65
2010-08-16,38.43,38.79,38.08,38.64,538900,38.19
2010-08-13,38.36,38.97,38.35,38.61,629300,38.16
2010-08-12,38.40,38.72,38.20,38.53,819400,38.08
2010-08-11,39.31,39.31,38.66,38.69,865100,38.24
2010-08-10,39.34,39.99,39.24,39.68,1171200,39.21
2010-08-09,39.65,39.96,39.60,39.75,635400,39.28
2010-08-06,39.24,39.90,38.98,39.51,699800,39.05
2010-08-05,39.30,39.62,39.14,39.55,531700,39.09
2010-08-04,39.22,39.52,38.99,39.44,612100,38.98
2010-08-03,39.14,39.43,38.89,39.22,701700,38.76
2010-08-02,38.66,39.23,38.66,39.09,819500,38.63
2010-07-30,38.25,38.50,38.05,38.31,916900,37.86
2010-07-29,39.58,39.72,38.53,38.62,991600,38.17
2010-07-28,39.81,39.98,39.54,39.63,880900,39.17
2010-07-27,39.50,40.06,39.49,40.03,1010700,39.56
2010-07-26,38.93,39.39,38.79,39.34,507500,38.88
2010-07-23,38.54,38.94,38.27,38.92,704600,38.46
2010-07-22,38.22,38.70,38.13,38.56,485300,38.11
2010-07-21,38.53,38.53,37.69,37.84,538300,37.40
2010-07-20,37.80,38.46,37.67,38.42,842400,37.97
2010-07-19,38.06,38.53,37.91,38.32,667000,37.87
2010-07-16,38.42,38.55,37.89,37.93,1008300,37.49
2010-07-15,38.12,38.63,37.87,38.51,824600,38.06
2010-07-14,38.03,38.21,37.57,38.21,746200,37.76
2010-07-13,38.08,38.24,37.84,38.13,695200,37.68
2010-07-12,37.44,38.00,37.41,37.85,794900,37.41
2010-07-09,37.49,37.60,37.22,37.60,470600,37.16
2010-07-08,37.21,37.50,37.09,37.48,561100,37.04
2010-07-07,36.02,37.04,36.00,36.97,873900,36.54
2010-07-06,35.81,36.17,35.57,35.92,680500,35.50
2010-07-02,35.53,35.77,35.36,35.49,757300,35.07
2010-07-01,35.98,35.98,35.23,35.43,1078600,35.01
2010-06-30,36.14,36.49,35.69,35.76,732300,35.34
2010-06-29,36.45,36.45,35.82,36.12,1147400,35.70
2010-06-28,36.63,36.90,36.31,36.76,447400,36.33
2010-06-25,36.40,36.60,36.00,36.44,1421500,36.01
2010-06-24,36.18,36.73,36.14,36.37,716000,35.94
2010-06-23,36.79,36.79,36.17,36.30,646600,35.87
2010-06-22,37.62,37.64,36.68,36.80,737800,36.37
2010-06-21,37.88,38.14,37.36,37.50,1005600,37.06
2010-06-18,37.56,37.80,37.38,37.61,1094000,37.17
2010-06-17,37.42,37.57,37.14,37.50,1053000,37.06
2010-06-16,36.93,37.49,36.89,37.28,762200,36.84
2010-06-15,36.49,37.06,36.39,37.05,1034200,36.62
2010-06-14,36.27,36.60,36.13,36.23,1283700,35.81
2010-06-11,35.83,36.12,35.52,36.08,1064200,35.66
2010-06-10,35.43,36.15,35.41,36.15,2193700,35.73
2010-06-09,35.71,35.80,34.81,34.93,1839700,34.52
2010-06-08,35.24,35.73,35.01,35.69,1975800,35.27
2010-06-07,35.68,36.33,35.61,35.82,1653700,34.93
2010-06-04,36.27,36.27,35.30,35.54,1710900,34.66
2010-06-03,36.73,36.83,36.40,36.75,1342000,35.84
2010-06-02,35.48,36.21,35.43,36.21,1232400,35.31
2010-06-01,36.06,36.28,35.38,35.38,1088000,34.50
2010-05-28,36.50,36.63,36.18,36.29,1123200,35.39
2010-05-27,36.26,36.42,35.91,36.42,721800,35.52
2010-05-26,36.03,36.25,35.64,35.77,1154800,34.88
2010-05-25,35.48,35.90,34.73,35.87,1541600,34.98
