Date,Open,High,Low,Close,Volume,Adj Close
2010-11-05,24.65,24.77,24.47,24.70,2516900,24.70
2010-11-04,24.26,24.66,24.22,24.63,2829200,24.63
2010-11-03,23.95,24.02,23.63,23.99,3268400,23.99
2010-11-02,24.00,24.19,23.90,24.16,2295200,24.16
2010-11-01,23.96,23.99,23.64,23.79,1721000,23.79
2010-10-29,23.63,23.83,23.48,23.77,2491500,23.77
2010-10-28,23.78,23.80,23.50,23.64,2351100,23.64
2010-10-27,23.58,23.76,23.39,23.59,3248300,23.59
2010-10-26,23.72,23.83,23.55,23.74,2522000,23.74
2010-10-25,23.94,24.00,23.71,23.74,2739100,23.74
2010-10-22,23.61,23.79,23.57,23.78,2360000,23.78
2010-10-21,23.51,23.83,23.36,23.53,2371600,23.53
2010-10-20,23.36,23.67,23.36,23.46,2833500,23.46
2010-10-19,23.46,23.70,23.19,23.34,3166800,23.34
2010-10-18,23.65,23.86,23.47,23.82,4859200,23.82
2010-10-15,23.74,23.78,23.42,23.60,2628000,23.60
2010-10-14,23.65,23.70,23.30,23.51,2161100,23.51
2010-10-13,23.56,23.86,23.48,23.63,3744200,23.63
2010-10-12,23.32,23.44,23.13,23.39,1671800,23.39
2010-10-11,23.48,23.63,23.35,23.42,1622100,23.42
2010-10-08,23.26,23.50,23.11,23.45,1921800,23.45
2010-10-07,23.21,23.30,23.00,23.17,2201700,23.17
2010-10-06,23.14,23.23,22.95,23.07,2527600,23.07
2010-10-05,22.72,23.15,22.68,23.13,3960300,23.13
2010-10-04,22.78,22.79,22.37,22.53,2624500,22.53
2010-10-01,22.76,22.86,22.45,22.80,3045400,22.80
2010-09-30,22.61,22.81,22.33,22.55,3240200,22.55
2010-09-29,22.50,22.63,22.32,22.50,2899800,22.50
2010-09-28,22.18,22.55,22.02,22.51,3114900,22.51
2010-09-27,22.32,22.32,22.04,22.07,2659300,22.07
2010-09-24,21.86,22.41,21.83,22.26,3117100,22.26
2010-09-23,21.76,21.91,21.58,21.63,2203200,21.63
2010-09-22,22.08,22.24,21.85,21.87,3002700,21.87
2010-09-21,22.10,22.18,21.82,22.05,2840700,22.05
2010-09-20,21.70,22.10,21.57,22.06,2484800,22.06
2010-09-17,21.81,21.94,21.55,21.59,3467300,21.59
2010-09-16,21.74,21.77,21.55,21.74,2837800,21.74
2010-09-15,21.81,21.95,21.61,21.91,2845900,21.91
2010-09-14,21.93,22.00,21.70,21.88,2887500,21.88
2010-09-13,21.73,22.04,21.66,21.91,3850400,21.91
2010-09-10,21.20,21.57,21.20,21.50,2927800,21.50
2010-09-09,21.46,21.50,21.18,21.19,2868600,21.19
2010-09-08,21.20,21.42,21.19,21.29,2256700,21.29
2010-09-07,21.40,21.47,21.17,21.21,1839300,21.21
2010-09-03,21.41,21.61,21.37,21.54,2136800,21.54
2010-09-02,21.11,21.33,20.97,21.32,2549400,21.32
2010-09-01,20.57,21.12,20.57,21.10,4795400,21.10
2010-08-31,20.48,20.63,20.19,20.34,6238300,20.34
2010-08-30,20.94,20.97,20.49,20.50,2992700,20.50
2010-08-27,20.73,21.00,20.45,20.98,4037200,20.98
2010-08-26,20.98,21.11,20.50,20.63,3316600,20.63
2010-08-25,20.70,20.97,20.60,20.91,4105000,20.91
2010-08-24,20.83,21.03,20.69,20.76,3571100,20.76
2010-08-23,21.07,21.21,20.95,21.05,6434800,21.05
2010-08-20,20.86,21.05,20.77,20.98,2861300,20.98
2010-08-19,21.36,21.37,20.90,21.04,2922100,21.04
2010-08-18,21.61,21.61,21.20,21.39,3267500,21.39
2010-08-17,21.25,21.68,21.16,21.62,3356300,21.62
2010-08-16,21.22,21.22,20.91,21.06,2901900,21.06
2010-08-13,20.90,21.34,20.78,21.27,3765500,21.27
2010-08-12,20.70,21.04,20.65,20.92,2784400,20.92
2010-08-11,21.34,21.34,20.92,20.95,3129300,20.95
2010-08-10,21.77,21.89,21.47,21.81,4547500,21.56
2010-08-09,22.07,22.11,21.93,21.96,2370800,21.71
2010-08-06,21.64,22.00,21.59,21.93,4457800,21.68
2010-08-05,21.42,21.83,21.20,21.79,3768900,21.54
2010-08-04,21.33,21.58,21.20,21.52,4176700,21.27
2010-08-03,21.22,21.40,21.05,21.24,2876800,21.00
2010-08-02,21.17,21.31,21.04,21.29,3652300,21.05
2010-07-30,20.44,20.84,20.40,20.79,6192900,20.55
2010-07-29,21.28,21.36,20.56,20.69,6961000,20.45
2010-07-28,21.55,21.59,21.09,21.12,4934100,20.88
2010-07-27,21.55,21.65,21.35,21.45,2976500,21.20
2010-07-26,21.16,21.53,21.16,21.49,2686700,21.24
2010-07-23,21.24,21.30,21.03,21.23,3550300,20.99
2010-07-22,21.07,21.36,21.06,21.22,3138800,20.98
2010-07-21,21.28,21.34,20.65,20.83,4132200,20.59
2010-07-20,20.69,21.25,20.56,21.22,4401700,20.98
2010-07-19,20.91,21.09,20.73,20.91,2389900,20.67
2010-07-16,21.11,21.15,20.73,20.83,3413900,20.59
2010-07-15,21.24,21.30,20.95,21.21,3785900,20.97
2010-07-14,21.35,21.44,21.10,21.22,4264300,20.98
2010-07-13,21.66,21.76,21.43,21.47,3192500,21.22
2010-07-12,21.24,21.76,21.19,21.46,2940600,21.21
2010-07-09,21.27,21.36,21.11,21.32,1731300,21.08
2010-07-08,21.10,21.31,20.94,21.23,2290000,20.99
2010-07-07,20.35,20.92,20.35,20.92,4200500,20.68
2010-07-06,20.48,20.60,20.11,20.35,7003400,20.12
2010-07-02,20.31,20.59,20.12,20.18,3049600,19.95
2010-07-01,20.10,20.30,19.67,20.24,5928300,20.01
2010-06-30,20.25,20.51,20.00,20.07,3451600,19.84
2010-06-29,20.57,20.68,20.12,20.25,4870000,20.02
2010-06-28,20.90,20.94,20.64,20.83,3552400,20.59
2010-06-25,20.79,21.04,20.62,20.91,4506700,20.67
2010-06-24,20.79,21.11,20.66,20.76,2900300,20.52
2010-06-23,21.18,21.24,20.77,21.02,3520800,20.78
2010-06-22,21.72,21.75,21.11,21.23,3693600,20.99
2010-06-21,21.96,22.12,21.48,21.60,3021300,21.35
2010-06-18,21.53,21.77,21.38,21.69,4276900,21.44
2010-06-17,21.90,21.90,21.20,21.49,2725300,21.24
2010-06-16,21.23,21.45,21.14,21.32,2475000,21.08
2010-06-15,20.90,21.38,20.89,21.38,2963900,21.13
2010-06-14,20.92,21.09,20.59,20.68,3590400,20.44
2010-06-11,20.20,20.63,20.20,20.62,2511400,20.38
2010-06-10,20.10,20.57,20.10,20.55,4341200,20.31
2010-06-09,19.93,20.24,19.63,19.74,3686700,19.51
2010-06-08,19.31,19.79,19.09,19.75,4203700,19.52
2010-06-07,19.51,19.69,19.23,19.23,4271200,19.01
2010-06-04,19.81,19.94,19.27,19.43,4452700,19.21
2010-06-03,19.81,20.16,19.74,20.11,4358800,19.88
2010-06-02,19.36,19.85,19.15,19.85,3549600,19.62
2010-06-01,19.82,19.96,19.20,19.20,4409300,18.98
2010-05-28,20.23,20.32,19.88,20.01,4409600,19.78
2010-05-27,19.82,20.25,19.79,20.23,3554700,20.00
2010-05-26,19.47,19.80,19.41,19.47,5729900,19.25
2010-05-25,18.90,19.31,18.63,19.30,5810800,19.08
2010-05-24,19.62,19.69,19.34,19.34,4488300,19.12
2010-05-21,18.66,19.73,18.57,19.68,6330000,19.45
2010-05-20,19.74,20.02,19.10,19.37,13128300,19.15
2010-05-19,21.42,21.52,20.79,21.11,3651300,20.87
2010-05-18,21.96,22.10,21.44,21.53,3330700,21.28
2010-05-17,22.07,22.29,21.27,21.74,3795100,21.49
2010-05-14,22.31,22.40,21.75,22.01,3760900,21.76
2010-05-13,22.59,22.82,22.38,22.38,2900000,22.12
2010-05-12,22.38,22.73,22.24,22.67,3115400,22.41
2010-05-11,22.34,22.95,22.34,22.67,3861800,22.16
2010-05-10,22.11,22.55,22.09,22.52,5031500,22.02
2010-05-07,21.51,21.84,20.86,21.29,8709900,20.81
2010-05-06,22.51,22.81,19.45,21.59,9549200,21.11
2010-05-05,23.06,23.14,22.50,22.62,3634800,22.11
2010-05-04,23.48,23.50,23.05,23.24,3728500,22.72
2010-05-03,23.47,23.85,23.43,23.74,3654800,23.21
2010-04-30,23.44,23.67,23.31,23.34,2672200,22.82
2010-04-29,23.39,23.57,23.29,23.44,2989300,22.92
2010-04-28,22.99,23.24,22.86,23.15,3097700,22.63
2010-04-27,23.32,23.41,22.79,22.85,3056500,22.34
2010-04-26,23.47,23.53,23.34,23.38,2103700,22.86
2010-04-23,23.17,23.47,22.96,23.47,2997400,22.95
