Date,Open,High,Low,Close,Volume,Adj Close
2010-11-05,23.62,23.74,23.34,23.59,899100,23.59
2010-11-04,23.48,23.63,23.25,23.63,484900,23.63
2010-11-03,23.40,23.46,22.95,23.18,824200,23.18
2010-11-02,23.26,23.52,23.24,23.35,741400,23.35
2010-11-01,23.28,23.41,22.89,23.05,564700,23.05
2010-10-29,22.93,23.18,22.85,23.15,1068200,23.15
2010-10-28,23.31,23.35,22.81,23.00,865000,23.00
2010-10-27,23.36,23.37,22.73,23.17,1415000,23.17
2010-10-26,23.77,23.92,23.54,23.55,1135100,23.55
2010-10-25,23.92,24.13,23.81,23.87,598600,23.87
2010-10-22,23.86,23.87,23.61,23.76,358600,23.76
2010-10-21,24.05,24.18,23.65,23.81,591700,23.81
2010-10-20,23.56,24.20,23.49,23.96,932500,23.96
2010-10-19,23.42,23.69,23.26,23.47,1132400,23.47
2010-10-18,23.78,23.82,23.54,23.70,1154100,23.70
2010-10-15,23.67,23.81,23.33,23.77,1214100,23.77
2010-10-14,23.42,23.60,23.30,23.41,621300,23.41
2010-10-13,23.00,23.48,22.93,23.39,683800,23.39
2010-10-12,22.87,22.99,22.67,22.94,405000,22.94
2010-10-11,22.85,22.99,22.70,22.88,669200,22.88
2010-10-08,22.60,22.94,22.53,22.86,679600,22.86
2010-10-07,22.90,22.90,22.37,22.60,655900,22.60
2010-10-06,22.91,22.93,22.64,22.78,539900,22.78
2010-10-05,22.61,22.93,22.60,22.90,989000,22.90
2010-10-04,22.73,22.92,22.19,22.36,915000,22.36
2010-10-01,22.73,22.95,22.67,22.73,998200,22.73
2010-09-30,22.72,22.94,22.37,22.48,776400,22.48
2010-09-29,22.58,22.72,22.38,22.59,928200,22.59
2010-09-28,22.53,22.72,22.19,22.70,668600,22.70
2010-09-27,22.71,22.72,22.51,22.51,570800,22.51
2010-09-24,22.41,22.83,22.41,22.71,707000,22.71
2010-09-23,22.20,22.52,22.15,22.17,632200,22.17
2010-09-22,22.62,22.83,22.41,22.47,947700,22.47
2010-09-21,22.72,22.87,22.57,22.63,967300,22.63
2010-09-20,22.57,22.77,22.24,22.72,977900,22.72
2010-09-17,22.22,22.69,22.12,22.50,1137000,22.50
2010-09-16,22.05,22.18,21.94,22.12,442900,22.12
2010-09-15,21.97,22.10,21.79,22.05,571000,22.05
2010-09-14,21.94,22.14,21.79,22.01,773000,22.01
2010-09-13,21.85,22.10,21.79,21.94,587000,21.94
2010-09-10,21.47,21.81,21.41,21.69,829400,21.69
2010-09-09,21.47,21.50,21.25,21.45,864300,21.45
2010-09-08,21.04,21.29,21.00,21.25,676900,21.25
2010-09-07,21.12,21.22,20.93,21.04,767300,21.04
2010-09-03,21.03,21.26,21.03,21.16,1000300,21.16
2010-09-02,20.61,20.85,20.55,20.85,1421300,20.85
2010-09-01,20.58,20.71,20.44,20.50,2644900,20.50
2010-08-31,20.51,20.83,20.44,20.51,1513200,20.38
2010-08-30,20.85,20.94,20.64,20.65,855500,20.52
2010-08-27,20.43,20.95,20.29,20.90,1341100,20.77
2010-08-26,20.64,20.69,20.24,20.28,911600,20.15
2010-08-25,20.38,20.58,20.15,20.51,747000,20.38
2010-08-24,20.73,20.76,20.47,20.47,806700,20.34
2010-08-23,21.27,21.44,20.93,20.96,429300,20.83
2010-08-20,21.20,21.47,21.15,21.22,831300,21.09
2010-08-19,21.75,21.78,21.22,21.38,735400,21.24
2010-08-18,22.48,22.53,21.81,21.84,1315700,21.70
2010-08-17,22.02,22.62,22.00,22.53,1307100,22.39
2010-08-16,21.53,21.74,21.43,21.65,537900,21.51
2010-08-13,21.59,21.79,21.56,21.64,985400,21.50
2010-08-12,21.50,21.86,21.39,21.69,721600,21.55
2010-08-11,22.17,22.17,21.78,21.79,956800,21.65
2010-08-10,22.42,22.57,22.18,22.47,846100,22.33
2010-08-09,22.50,22.71,22.40,22.63,482800,22.49
2010-08-06,22.24,22.36,21.90,22.36,1085200,22.22
2010-08-05,22.40,22.52,22.19,22.40,1142200,22.26
2010-08-04,22.33,22.52,22.26,22.49,770500,22.35
2010-08-03,22.25,22.35,22.09,22.25,810300,22.11
2010-08-02,21.88,22.39,21.88,22.32,1160600,22.18
2010-07-30,21.62,21.86,21.49,21.63,1603800,21.49
2010-07-29,22.49,22.71,21.65,21.86,1835400,21.72
2010-07-28,22.67,22.96,21.75,22.33,1933700,22.19
2010-07-27,23.00,23.06,22.78,22.96,988400,22.81
2010-07-26,22.74,23.05,22.74,22.86,1378300,22.72
2010-07-23,22.18,22.74,22.15,22.68,755800,22.54
2010-07-22,21.90,22.30,21.86,22.20,762200,22.06
2010-07-21,22.00,22.04,21.43,21.65,1093500,21.51
2010-07-20,21.07,21.88,21.01,21.87,1129800,21.73
2010-07-19,21.19,21.29,21.03,21.27,552600,21.14
