Date,Open,High,Low,Close,Volume,Adj Close
2010-11-05,72.86,73.83,72.52,73.27,1067800,73.27
2010-11-04,72.69,72.85,71.68,72.84,1201800,72.84
2010-11-03,72.56,72.72,71.25,72.15,792700,72.15
2010-11-02,72.62,73.04,72.29,72.38,760500,72.38
2010-11-01,73.10,73.42,71.78,72.32,1083600,72.32
2010-10-29,71.45,73.05,71.05,72.97,1222500,72.97
2010-10-28,72.22,72.45,71.41,71.75,986600,71.75
2010-10-27,71.33,72.07,70.90,71.96,1461600,71.96
2010-10-26,70.70,72.00,69.56,71.95,4685600,71.95
2010-10-25,73.45,74.84,73.45,74.57,1612300,74.57
2010-10-22,72.64,73.76,72.42,72.98,785900,72.98
2010-10-21,73.12,73.51,71.97,72.46,989100,72.46
2010-10-20,72.89,73.08,71.95,72.79,738700,72.79
2010-10-19,71.44,73.87,71.37,72.74,1570000,72.74
2010-10-18,71.72,72.45,71.31,72.17,725100,72.17
2010-10-15,73.48,73.64,71.88,72.00,1320600,72.00
2010-10-14,73.14,73.61,72.58,73.11,840300,73.11
2010-10-13,72.93,73.48,72.66,73.25,756600,73.25
2010-10-12,72.00,73.03,71.55,72.72,907700,72.72
2010-10-11,72.76,72.90,71.12,72.04,1468100,72.04
2010-10-08,73.76,73.97,73.39,73.48,653200,73.48
2010-10-07,74.10,74.22,73.01,73.67,908200,73.67
2010-10-06,74.58,75.18,73.74,74.00,1036300,74.00
2010-10-05,74.30,75.28,74.01,74.72,893700,74.72
2010-10-04,74.00,74.21,73.33,73.71,791800,73.71
2010-10-01,75.12,75.79,73.89,74.04,1605500,74.04
2010-09-30,75.73,76.16,74.77,75.14,881400,75.14
2010-09-29,76.10,76.15,74.88,75.90,776100,75.90
2010-09-28,75.59,76.92,74.68,76.59,920700,76.59
2010-09-27,75.41,75.91,74.85,75.34,634000,75.34
2010-09-24,75.06,75.35,74.51,75.26,926400,75.26
2010-09-23,75.14,75.60,74.30,74.43,724800,74.43
2010-09-22,75.25,76.16,74.98,75.47,1251100,75.47
2010-09-21,74.90,76.06,74.34,75.36,1457000,75.36
2010-09-20,72.71,75.09,72.71,74.71,1243200,74.71
2010-09-17,72.42,72.92,71.64,72.47,1039200,72.47
2010-09-16,71.74,72.56,71.31,72.41,940700,72.41
2010-09-15,71.89,72.43,71.19,72.10,869600,72.10
2010-09-14,72.66,72.86,72.07,72.46,911000,72.46
2010-09-13,72.81,73.45,72.50,72.94,762100,72.94
2010-09-10,72.06,72.69,71.85,72.27,607200,72.27
2010-09-09,73.05,73.24,71.89,72.03,556100,72.03
2010-09-08,72.00,72.58,71.90,72.31,644600,72.31
2010-09-07,71.90,72.59,71.49,71.86,648500,71.86
2010-09-03,73.04,73.24,72.08,72.32,838200,72.32
2010-09-02,71.24,72.70,71.22,72.48,992600,72.48
2010-09-01,69.99,71.46,69.85,70.88,1575900,70.88
2010-08-31,68.95,70.51,68.46,70.38,1596300,70.38
2010-08-30,70.18,70.70,69.24,69.24,602800,69.24
2010-08-27,69.43,70.27,68.76,70.24,1022400,70.24
2010-08-26,69.42,70.02,68.86,68.99,1332400,68.99
2010-08-25,66.76,69.60,66.76,69.15,1782900,69.15
2010-08-24,67.03,67.39,66.13,67.15,1346100,67.15
2010-08-23,68.36,69.16,67.55,67.64,721000,67.64
2010-08-20,67.24,68.72,67.24,68.34,986700,68.34
2010-08-19,69.27,69.50,67.45,67.63,1356100,67.63
2010-08-18,69.33,70.09,68.93,69.56,614800,69.56
2010-08-17,68.92,70.04,68.75,69.68,840400,69.32
2010-08-16,68.71,68.80,67.89,68.27,1062800,67.92
2010-08-13,69.19,69.61,68.75,69.10,1210900,68.74
2010-08-12,68.21,69.65,67.93,69.40,1371600,69.04
2010-08-11,68.49,69.36,68.27,68.93,1470400,68.57
2010-08-10,69.45,69.85,68.71,69.54,1900100,69.18
2010-08-09,69.77,70.08,69.63,69.86,956400,69.50
2010-08-06,69.50,69.69,68.66,69.69,908000,69.33
2010-08-05,70.48,70.69,69.79,69.93,975400,69.57
2010-08-04,70.62,71.03,70.17,70.59,1539000,70.23
2010-08-03,70.72,70.93,70.00,70.49,823200,70.13
2010-08-02,69.58,71.15,69.15,70.93,1306100,70.56
2010-07-30,68.01,69.30,67.81,69.15,1094800,68.79
2010-07-29,69.85,70.19,67.60,68.59,1630500,68.24
2010-07-28,69.51,69.80,69.24,69.39,1418200,69.03
2010-07-27,70.27,70.27,69.34,69.50,1569400,69.14
2010-07-26,68.82,69.85,68.80,69.68,1294400,69.32
2010-07-23,67.22,70.10,67.08,68.99,1985600,68.63
2010-07-22,67.01,69.65,66.32,66.88,4006200,66.53
2010-07-21,70.43,70.43,69.16,69.56,1910700,69.20
2010-07-20,67.72,69.94,67.58,69.85,1679900,69.49
2010-07-19,69.64,70.11,69.17,69.81,831900,69.45
2010-07-16,70.79,70.99,69.37,69.44,934400,69.08
2010-07-15,71.73,71.84,70.16,71.07,1300500,70.70
2010-07-14,70.53,71.71,70.50,71.64,1658500,71.27
2010-07-13,72.61,73.77,72.57,73.22,832900,72.84
2010-07-12,72.10,72.65,71.74,72.02,595700,71.65
2010-07-09,72.79,72.82,71.86,72.23,896400,71.86
2010-07-08,72.35,73.00,71.85,72.62,1464800,72.24
2010-07-07,69.91,72.15,69.57,72.06,1217600,71.69
2010-07-06,69.96,70.31,69.08,69.82,1271900,69.46
2010-07-02,69.94,70.35,68.98,69.43,837800,69.07
2010-07-01,69.15,70.22,67.92,69.94,1825800,69.58
2010-06-30,70.06,71.09,69.06,69.19,1695900,68.83
2010-06-29,70.55,70.73,69.36,70.40,1956200,70.04
2010-06-28,71.50,72.03,71.06,71.08,1108100,70.71
2010-06-25,71.82,72.01,71.06,71.48,2020500,71.11
2010-06-24,73.65,73.76,71.62,71.65,1690700,71.28
2010-06-23,74.50,74.74,73.00,74.14,1565800,73.76
2010-06-22,76.59,76.78,74.64,74.76,1360000,74.37
2010-06-21,76.95,77.18,76.19,76.44,1254000,76.05
2010-06-18,76.89,77.09,75.98,76.18,2365500,75.79
2010-06-17,77.62,77.65,76.01,76.60,979100,76.20
2010-06-16,77.69,78.40,76.85,77.24,906000,76.84
2010-06-15,77.09,77.92,76.87,77.92,1183100,77.52
2010-06-14,76.79,77.98,76.58,76.63,806300,76.23
2010-06-11,75.80,76.64,75.40,76.64,936100,76.24
2010-06-10,75.07,76.30,74.70,76.17,1120100,75.78
2010-06-09,74.47,75.23,73.82,74.09,1243800,73.71
2010-06-08,73.56,73.97,72.78,73.87,2099100,73.49
2010-06-07,74.82,75.26,73.60,73.60,2361900,73.22
2010-06-04,75.83,76.10,74.67,74.91,1838400,74.52
2010-06-03,77.37,77.79,76.32,76.88,855800,76.48
2010-06-02,76.55,77.48,76.12,77.25,1539300,76.85
2010-06-01,76.01,78.23,76.01,76.40,1394900,76.01
2010-05-28,76.98,77.24,75.99,76.63,1370400,76.23
2010-05-27,76.26,77.12,75.45,77.10,1398700,76.70
