Date,Open,High,Low,Close,Volume,Adj Close
2010-11-05,66.00,66.01,65.04,65.34,557400,65.34
2010-11-04,64.94,66.00,64.70,66.00,1079600,66.00
2010-11-03,64.46,64.60,63.35,64.33,532300,64.33
2010-11-02,64.18,65.13,64.18,64.43,639300,64.43
2010-11-01,64.00,64.57,63.27,63.70,668200,63.70
2010-10-29,62.69,63.66,62.13,63.49,860400,63.49
2010-10-28,62.92,62.99,61.98,62.56,463700,62.56
2010-10-27,61.13,62.74,60.97,62.46,963200,62.46
2010-10-26,62.70,63.43,62.32,63.13,523200,63.13
2010-10-25,62.90,63.70,62.72,63.13,792000,63.13
2010-10-22,62.61,62.61,61.32,62.29,457000,62.29
2010-10-21,62.50,62.95,61.07,62.34,1410800,62.34
2010-10-20,59.99,61.75,59.71,61.41,962100,61.41
2010-10-19,60.01,60.57,59.39,59.68,770800,59.68
2010-10-18,60.42,60.64,60.05,60.45,458900,60.45
2010-10-15,60.98,61.22,59.88,60.60,867500,60.60
2010-10-14,61.29,61.50,60.15,60.62,557300,60.62
2010-10-13,60.63,61.68,60.49,61.23,642800,61.23
2010-10-12,60.34,60.55,59.43,60.46,702600,60.46
2010-10-11,60.57,60.94,60.23,60.41,494900,60.41
2010-10-08,60.63,60.92,60.45,60.65,946400,60.65
2010-10-07,61.54,61.54,60.47,60.63,838000,60.63
2010-10-06,61.81,62.00,61.09,61.22,548100,61.22
2010-10-05,60.29,62.34,60.29,61.88,1316900,61.88
2010-10-04,60.12,60.25,58.93,59.62,1027500,59.62
2010-10-01,61.00,61.15,60.42,60.72,412900,60.72
2010-09-30,61.11,61.50,59.78,60.38,545400,60.38
2010-09-29,60.74,60.84,60.02,60.71,677300,60.71
2010-09-28,60.60,61.09,59.53,61.00,520000,61.00
2010-09-27,60.96,60.96,60.14,60.32,395900,60.32
2010-09-24,60.00,60.87,59.74,60.67,774300,60.67
2010-09-23,59.16,59.85,58.92,59.13,419800,59.13
2010-09-22,59.69,60.20,59.44,59.76,577500,59.76
2010-09-21,59.44,59.84,59.20,59.49,645900,59.49
2010-09-20,59.03,59.69,58.72,59.62,553900,59.62
2010-09-17,59.11,59.28,58.60,58.88,971100,58.88
2010-09-16,57.77,58.82,57.43,58.82,629000,58.82
2010-09-15,57.54,58.47,57.26,58.40,441600,58.40
2010-09-14,57.61,58.08,57.26,57.85,471700,57.85
2010-09-13,57.19,58.08,57.06,57.95,466400,57.95
2010-09-10,56.91,57.03,56.20,56.97,457100,56.97
2010-09-09,57.60,57.60,56.46,56.73,639200,56.73
2010-09-08,56.05,56.99,56.01,56.76,1052200,56.76
2010-09-07,55.71,56.38,55.53,55.88,690600,55.88
2010-09-03,55.69,55.95,55.21,55.58,536200,55.58
2010-09-02,54.99,55.24,54.64,55.17,299800,55.17
2010-09-01,53.95,55.03,53.60,54.93,611400,54.93
2010-08-31,52.75,53.44,52.39,53.17,925400,53.17
2010-08-30,52.98,53.27,52.74,52.74,558300,52.74
2010-08-27,52.46,53.50,51.90,53.49,538900,53.33
2010-08-26,52.74,53.12,52.02,52.10,453400,51.94
2010-08-25,52.22,52.62,51.44,52.47,520600,52.31
2010-08-24,52.97,52.99,52.33,52.40,610500,52.24
2010-08-23,53.91,54.48,53.32,53.34,488600,53.18
2010-08-20,53.56,53.77,53.05,53.72,647200,53.56
2010-08-19,54.77,54.99,53.34,53.72,666800,53.56
2010-08-18,55.26,55.35,54.50,54.99,492800,54.83
2010-08-17,54.60,55.95,54.44,55.47,562500,55.30
2010-08-16,53.29,54.44,53.25,54.02,384400,53.86
2010-08-13,53.68,54.05,53.35,53.84,542500,53.68
2010-08-12,53.06,54.50,53.06,53.96,733200,53.80
2010-08-11,54.95,55.03,53.49,53.91,803400,53.75
2010-08-10,56.26,56.31,55.28,55.84,892400,55.67
2010-08-09,56.74,56.85,56.37,56.73,475600,56.56
2010-08-06,56.79,57.21,55.81,56.59,573300,56.42
2010-08-05,57.04,57.33,56.69,57.10,341500,56.93
2010-08-04,57.39,57.75,57.15,57.32,663200,57.15
2010-08-03,57.52,57.81,56.82,57.33,489400,57.16
2010-08-02,56.61,57.73,56.39,57.68,786700,57.51
2010-07-30,55.74,56.51,55.37,56.10,973100,55.93
2010-07-29,57.46,58.00,55.80,56.26,890700,56.09
2010-07-28,57.05,57.57,56.83,57.03,772800,56.86
2010-07-27,57.45,57.77,56.94,57.11,846000,56.94
2010-07-26,56.25,57.11,56.25,57.06,703200,56.89
2010-07-23,54.28,56.29,54.28,56.23,1200500,56.06
2010-07-22,53.60,55.94,53.06,54.38,1320100,54.22
2010-07-21,54.19,54.50,52.86,53.43,707700,53.27
2010-07-20,52.83,54.13,52.71,54.12,690500,53.96
2010-07-19,53.26,53.69,52.95,53.45,444000,53.29
2010-07-16,54.45,54.45,53.06,53.16,1081300,53.00
2010-07-15,54.09,54.60,53.64,54.49,771100,54.33
2010-07-14,54.28,54.39,53.86,54.13,833400,53.97
2010-07-13,53.29,54.53,53.29,54.40,758500,54.24
2010-07-12,52.93,53.41,52.60,52.85,825100,52.69
2010-07-09,52.73,53.37,52.40,53.26,624400,53.10
2010-07-08,52.18,52.70,51.85,52.54,1121400,52.38
2010-07-07,49.92,51.94,49.83,51.90,1082300,51.74
2010-07-06,49.79,50.54,49.44,49.92,795100,49.77
2010-07-02,49.66,49.83,48.80,49.30,803000,49.15
2010-07-01,49.62,50.09,48.92,49.50,1121200,49.35
2010-06-30,50.27,50.99,49.73,49.83,782500,49.68
2010-06-29,51.59,51.63,50.12,50.47,581700,50.32
2010-06-28,52.07,52.10,51.13,51.66,571900,51.51
2010-06-25,51.79,52.30,51.30,51.78,1239600,51.63
2010-06-24,52.73,53.13,51.46,51.66,738800,51.51
2010-06-23,53.01,53.56,52.43,53.15,523800,52.99
2010-06-22,53.47,54.29,52.98,53.05,776800,52.89
2010-06-21,53.73,54.43,52.93,53.25,729900,53.09
2010-06-18,53.39,53.65,52.98,53.21,841800,53.05
2010-06-17,53.40,53.44,52.57,53.38,672500,53.22
2010-06-16,52.98,53.66,52.98,53.41,391900,53.25
2010-06-15,53.10,53.72,52.83,53.70,651800,53.54
2010-06-14,52.91,53.38,52.52,52.58,603800,52.42
2010-06-11,51.79,52.71,51.71,52.66,688900,52.50
2010-06-10,51.34,52.35,50.97,52.34,669000,52.18
2010-06-09,51.18,51.73,50.40,50.51,598200,50.36
2010-06-08,49.69,50.71,49.52,50.68,797800,50.53
2010-06-07,50.69,50.93,49.70,49.74,773800,49.59
2010-06-04,51.61,52.21,50.60,50.69,986500,50.54
2010-06-03,53.39,53.39,52.32,53.01,799700,52.85
2010-06-02,51.57,53.12,51.30,53.11,1141800,52.95
2010-06-01,53.05,53.57,51.68,51.68,937900,51.53
2010-05-28,53.52,53.77,52.58,53.32,997300,53.16
