Date,Open,High,Low,Close,Volume,Adj Close
2010-08-27,37.52,38.94,37.21,38.84,5565200,38.84
2010-08-26,38.41,38.56,37.16,37.16,11376400,37.16
2010-08-25,37.91,38.17,37.52,38.01,5005500,38.01
2010-08-24,38.08,39.21,38.00,38.13,8735300,38.13
2010-08-23,39.30,39.44,38.64,38.85,5408300,38.85
2010-08-20,39.77,39.94,38.82,39.24,2673700,39.24
2010-08-19,40.93,41.26,39.87,40.17,3464800,40.17
2010-08-18,41.76,41.80,40.84,41.18,2110000,41.18
2010-08-17,41.76,42.40,41.46,42.00,1983600,42.00
2010-08-16,40.63,41.57,40.57,41.26,2703200,41.26
2010-08-13,40.94,41.56,40.80,40.82,2331100,40.82
2010-08-12,41.02,41.61,40.72,41.17,4549500,41.17
2010-08-11,42.28,42.42,41.43,41.73,5099300,41.73
2010-08-10,42.82,43.44,42.51,43.23,3578300,43.23
2010-08-09,43.74,43.88,43.35,43.58,2225000,43.58
2010-08-06,43.46,43.98,42.68,43.35,2862500,43.35
2010-08-05,43.43,43.95,43.05,43.88,2238400,43.88
2010-08-04,43.77,44.25,43.31,43.68,2865700,43.68
2010-08-03,43.04,44.01,42.95,43.68,4623000,43.68
2010-08-02,42.41,44.02,42.30,43.61,6560900,43.61
2010-07-30,40.97,41.68,40.80,41.48,3206200,41.48
2010-07-29,41.81,42.36,40.79,41.59,4711600,41.59
2010-07-28,40.78,41.72,40.69,41.43,4706400,41.43
2010-07-27,40.92,41.11,39.88,40.85,5805300,40.85
2010-07-26,41.26,41.27,40.00,40.73,3576000,40.73
2010-07-23,41.04,41.50,40.30,41.06,5746800,41.06
2010-07-22,41.98,42.84,41.69,42.38,4930100,42.38
2010-07-21,42.39,42.55,40.75,41.17,5927400,41.17
2010-07-20,40.38,42.41,40.13,42.22,6669100,42.22
2010-07-19,39.78,41.26,39.59,40.92,7426500,40.92
2010-07-16,40.06,40.16,39.11,39.15,13287200,39.15
2010-07-15,40.24,40.43,39.42,40.29,4877700,40.29
2010-07-14,39.94,40.86,39.81,40.38,3415700,40.38
2010-07-13,40.59,40.98,40.24,40.33,2653400,40.33
2010-07-12,40.05,40.40,39.45,39.99,2816900,39.99
2010-07-09,40.08,40.27,39.59,40.06,2451200,40.06
2010-07-08,39.71,40.05,39.02,40.05,3982000,40.05
2010-07-07,37.93,39.33,37.88,39.30,5760800,39.30
2010-07-06,38.26,38.77,37.30,37.90,4764700,37.90
2010-07-02,37.79,38.33,37.02,37.52,3742000,37.52
2010-07-01,37.81,38.09,36.51,37.73,5902200,37.73
2010-06-30,37.58,38.58,37.47,37.65,5021700,37.65
2010-06-29,37.92,38.48,37.35,37.47,5742400,37.47
2010-06-28,39.52,39.70,38.91,39.07,4345100,39.07
2010-06-25,39.03,39.92,38.63,39.47,8460100,39.47
2010-06-24,39.43,39.74,38.75,38.82,4338800,38.82
2010-06-23,39.54,40.01,39.06,39.68,4937900,39.68
2010-06-22,41.06,41.23,39.55,39.62,6703700,39.62
2010-06-21,41.96,42.03,40.63,41.00,3058900,41.00
2010-06-18,41.44,41.46,40.28,41.18,5274200,41.18
2010-06-17,41.50,41.70,40.96,41.49,4964300,41.49
2010-06-16,40.44,41.75,40.44,41.15,3653700,41.15
2010-06-15,40.33,41.35,40.00,41.23,3275400,41.23
2010-06-14,40.90,41.18,39.56,39.68,5883100,39.68
2010-06-11,39.43,40.35,39.35,40.23,5175200,40.23
2010-06-10,38.85,40.15,38.78,40.09,4515600,40.09
2010-06-09,38.01,39.15,37.19,37.35,6171300,37.35
2010-06-08,36.54,37.62,36.15,37.52,7527900,37.40
2010-06-07,37.50,38.04,36.35,36.48,4974200,36.36
2010-06-04,37.38,38.82,37.04,37.38,6812300,37.26
2010-06-03,38.39,38.46,36.47,37.97,7732100,37.85
2010-06-02,35.56,37.75,35.42,37.70,7273700,37.58
2010-06-01,36.55,36.73,34.44,34.45,11234400,34.34
2010-05-28,39.75,39.89,37.19,37.56,9395700,37.44
2010-05-27,40.29,40.87,39.33,40.17,6671800,40.04
2010-05-26,39.63,40.40,39.15,39.28,5008500,39.15
2010-05-25,37.25,39.19,37.08,39.06,7294400,38.94
2010-05-24,40.24,40.37,38.24,38.31,6428200,38.19
2010-05-21,39.04,40.46,38.56,40.36,9975700,40.23
2010-05-20,40.69,40.91,39.39,39.40,13012300,39.27
