Date,Open,High,Low,Close,Volume,Adj Close
2010-11-05,64.46,64.73,64.16,64.41,463100,64.41
2010-11-04,64.48,64.79,64.24,64.54,453300,64.54
2010-11-03,64.20,64.54,63.40,63.93,438200,63.93
2010-11-02,64.54,64.88,64.00,64.08,403100,64.08
2010-11-01,64.35,64.89,63.71,64.00,530400,64.00
2010-10-29,63.53,64.55,63.34,64.28,758700,64.28
2010-10-28,62.86,63.53,62.65,63.50,719200,63.50
2010-10-27,62.64,62.66,62.00,62.56,374200,62.56
2010-10-26,63.09,63.13,62.50,62.94,537000,62.94
2010-10-25,63.28,63.82,63.12,63.17,504600,63.17
2010-10-22,63.04,63.18,62.78,63.03,293000,63.03
2010-10-21,62.94,63.72,62.84,63.07,730900,63.07
2010-10-20,62.34,63.29,62.34,62.83,529200,62.83
2010-10-19,62.74,63.05,62.05,62.16,695100,62.16
2010-10-18,62.86,63.28,62.71,63.11,393800,63.11
2010-10-15,63.36,63.45,62.66,62.95,666300,62.95
2010-10-14,62.95,63.44,62.76,62.97,775800,62.97
2010-10-13,62.24,62.93,62.01,62.83,634800,62.83
2010-10-12,61.99,62.15,61.45,62.04,567900,62.04
2010-10-11,61.85,62.17,61.53,62.00,282100,62.00
2010-10-08,62.19,62.19,61.40,61.90,687500,61.90
2010-10-07,62.24,62.41,61.88,62.04,638100,62.04
2010-10-06,61.71,62.09,61.52,61.98,717700,61.98
2010-10-05,60.96,61.77,60.78,61.77,907400,61.77
2010-10-04,60.28,61.26,60.13,60.76,841200,60.76
2010-10-01,60.66,61.14,59.71,60.27,760400,60.27
2010-09-30,60.83,61.69,60.29,60.53,560900,60.53
2010-09-29,61.17,61.25,60.53,60.75,383500,60.75
2010-09-28,61.22,61.38,60.36,61.27,454300,61.27
2010-09-27,61.30,61.31,60.80,61.05,468500,61.05
2010-09-24,61.14,61.55,60.82,61.18,647500,61.18
2010-09-23,61.58,61.71,60.58,60.65,490600,60.65
2010-09-22,61.85,62.35,61.71,61.93,564600,61.93
2010-09-21,61.74,61.88,61.37,61.81,492300,61.81
2010-09-20,61.30,61.73,61.15,61.59,441500,61.59
2010-09-17,61.01,61.30,60.60,61.07,630500,61.07
2010-09-16,60.50,60.82,60.41,60.77,303100,60.77
2010-09-15,60.28,61.00,60.17,60.68,627100,60.68
2010-09-14,60.79,60.79,60.19,60.41,531000,60.41
2010-09-13,61.46,61.57,60.58,61.00,466300,61.00
2010-09-10,61.29,61.45,60.90,61.29,653100,61.29
2010-09-09,61.05,61.21,60.60,61.11,583500,61.11
2010-09-08,60.25,60.77,60.25,60.61,619400,60.61
2010-09-07,60.18,60.54,60.00,60.23,503500,60.23
2010-09-03,59.80,60.38,59.64,60.38,462200,60.38
2010-09-02,60.00,60.02,59.41,59.63,554100,59.63
2010-09-01,58.96,59.80,58.79,59.75,581800,59.75
2010-08-31,58.18,58.62,57.80,58.48,998400,58.48
2010-08-30,58.46,59.07,58.10,58.15,700400,58.15
2010-08-27,58.42,58.56,57.71,58.33,1315500,58.33
2010-08-26,58.90,59.16,58.23,58.34,548900,58.34
2010-08-25,58.73,59.01,58.36,58.81,533100,58.81
2010-08-24,59.57,59.86,58.62,58.83,996700,58.83
2010-08-23,59.86,60.79,59.68,59.79,926800,59.79
2010-08-20,58.21,59.82,58.01,59.65,1458800,59.65
2010-08-19,58.49,58.49,57.37,58.03,1348500,58.03
2010-08-18,59.20,59.32,58.71,58.97,888400,58.97
2010-08-17,58.68,59.57,58.32,59.16,1063000,59.16
2010-08-16,57.82,58.51,57.44,58.36,638500,58.36
2010-08-13,57.87,58.40,57.87,58.15,1000500,58.15
2010-08-12,57.23,57.99,57.20,57.93,1074000,57.93
2010-08-11,57.80,57.88,57.23,57.82,896200,57.82
2010-08-10,58.46,59.00,58.24,58.65,873100,58.25
2010-08-09,58.85,58.86,58.13,58.55,830000,58.15
2010-08-06,58.48,59.13,58.40,58.80,849400,58.40
2010-08-05,59.62,59.62,58.40,58.81,775500,58.41
2010-08-04,59.51,59.97,59.40,59.57,611600,59.16
2010-08-03,59.29,59.79,59.11,59.50,787700,59.09
2010-08-02,61.02,61.02,59.58,59.71,1557900,59.30
2010-07-30,60.78,61.75,60.35,61.43,550300,61.01
2010-07-29,62.22,62.38,60.96,61.09,602500,60.67
2010-07-28,63.52,63.64,62.01,62.09,718200,61.67
2010-07-27,63.32,63.75,62.93,63.68,728300,63.25
2010-07-26,62.99,63.22,62.59,63.21,490500,62.78
2010-07-23,62.31,62.97,62.20,62.78,696100,62.35
2010-07-22,61.88,62.63,61.53,62.52,840300,62.09
2010-07-21,61.78,62.13,61.19,61.44,805100,61.02
2010-07-20,61.04,61.78,60.54,61.78,812300,61.36
2010-07-19,61.68,62.01,61.43,61.63,549300,61.21
2010-07-16,62.64,62.85,61.45,61.51,605000,61.09
2010-07-15,62.42,62.90,62.05,62.76,675700,62.33
2010-07-14,62.37,62.49,62.10,62.46,495900,62.03
2010-07-13,62.60,62.74,62.19,62.41,586400,61.98
2010-07-12,62.36,62.53,62.00,62.38,423300,61.95
2010-07-09,62.64,62.77,62.23,62.36,698000,61.93
2010-07-08,62.52,62.56,62.01,62.54,952700,62.11
2010-07-07,61.07,62.21,60.82,62.21,960600,61.79
2010-07-06,59.98,60.90,59.81,60.90,1370600,60.48
2010-07-02,59.93,60.20,59.35,59.68,710900,59.27
2010-07-01,60.00,60.05,59.34,59.90,1274100,59.49
2010-06-30,60.39,60.62,59.52,60.22,1668100,59.81
2010-06-29,61.68,61.94,60.25,60.68,1654200,60.27
2010-06-28,61.96,62.25,61.67,62.04,630900,61.62
2010-06-25,62.86,62.92,61.69,62.02,1450500,61.60
2010-06-24,61.18,62.83,61.18,62.62,1568700,62.19
2010-06-23,61.99,62.04,61.12,61.46,799300,61.04
2010-06-22,61.88,62.47,61.72,61.82,1015300,61.40
2010-06-21,62.70,62.70,61.60,61.87,826600,61.45
2010-06-18,62.60,63.33,61.90,62.10,1737800,61.68
2010-06-17,59.39,61.81,59.26,61.55,2760300,61.13
2010-06-16,57.10,57.95,56.78,57.75,871900,57.36
2010-06-15,57.16,57.63,57.11,57.54,998000,57.15
2010-06-14,56.38,57.17,56.32,56.86,844900,56.47
2010-06-11,56.24,56.24,55.55,56.07,1291800,55.69
2010-06-10,55.88,56.62,55.83,56.34,1020300,55.96
2010-06-09,55.37,56.04,55.20,55.38,724900,55.00
2010-06-08,55.01,55.30,54.62,55.28,1361600,54.90
2010-06-07,55.31,55.89,55.01,55.09,961300,54.71
2010-06-04,55.51,55.83,55.19,55.28,1261400,54.90
2010-06-03,56.14,56.42,56.01,56.23,611400,55.85
2010-06-02,54.82,55.76,54.74,55.76,1042300,55.38
2010-06-01,54.81,55.35,54.72,54.75,1374000,54.38
2010-05-28,56.21,56.21,55.19,55.22,1461800,54.84
2010-05-27,56.11,56.27,55.61,56.27,1075500,55.89
2010-05-26,55.69,55.90,55.12,55.40,1118500,55.02
2010-05-25,54.60,55.17,54.39,55.12,1203100,54.74
2010-05-24,55.67,56.03,55.23,55.60,959200,55.22
2010-05-21,53.27,55.95,53.27,55.95,1818400,55.57
2010-05-20,57.32,57.32,56.30,56.31,1025300,55.93
2010-05-19,57.94,58.20,57.54,57.93,1699700,57.53
2010-05-18,58.64,58.69,58.05,58.13,919500,57.73
2010-05-17,57.94,58.29,57.64,58.24,920400,57.84
2010-05-14,58.10,58.36,57.63,57.79,1011400,57.40
2010-05-13,57.91,58.67,57.86,58.21,1043800,57.81
2010-05-12,58.73,58.73,57.37,58.07,1698000,57.67
2010-05-11,58.50,59.40,58.13,58.68,1356100,57.88
2010-05-10,59.79,60.02,58.31,58.92,1578300,58.12
2010-05-07,58.96,59.06,57.89,58.43,1264300,57.64
2010-05-06,60.68,60.73,57.00,58.89,1215700,58.09
2010-05-05,60.19,60.74,60.07,60.62,530200,59.80
2010-05-04,60.35,61.01,60.32,60.59,658000,59.77
2010-05-03,61.13,61.42,60.33,61.06,710300,60.23
2010-04-30,61.58,61.94,61.04,61.07,754800,60.24
2010-04-29,61.89,62.29,61.31,61.71,820000,60.87
2010-04-28,61.43,62.07,60.93,61.70,581000,60.86
2010-04-27,62.41,62.64,61.27,61.38,533200,60.55
2010-04-26,63.17,63.20,62.41,62.62,532900,61.77
2010-04-23,62.94,63.30,62.60,63.24,741400,62.38
2010-04-22,62.63,63.13,62.58,63.01,553000,62.15
2010-04-21,63.39,63.50,62.94,63.05,908300,62.19
2010-04-20,62.86,63.40,62.59,63.26,1064100,62.40
2010-04-19,61.81,62.47,61.77,62.43,530600,61.58
2010-04-16,61.90,62.40,61.90,62.04,818600,61.20
2010-04-15,62.25,62.45,61.83,62.25,973300,61.40
2010-04-14,62.49,62.60,62.01,62.40,521100,61.55
2010-04-13,62.09,62.55,61.80,62.48,628200,61.63
2010-04-12,62.10,62.35,61.91,62.25,808600,61.40
2010-04-09,61.06,61.93,61.06,61.84,690200,61.00
2010-04-08,60.55,61.15,60.53,61.04,596100,60.21
2010-04-07,60.80,60.89,60.37,60.78,794100,59.95
2010-04-06,60.14,60.70,60.11,60.70,552700,59.88
2010-04-05,60.50,60.50,60.18,60.39,562700,59.57
2010-04-01,60.50,60.76,59.99,60.33,522300,59.51
2010-03-31,60.34,60.46,60.01,60.26,574300,59.44
2010-03-30,60.01,60.48,59.81,60.35,598700,59.53
2010-03-29,59.94,60.09,59.76,60.06,616100,59.24
2010-03-26,60.66,60.66,59.13,59.87,718100,59.06
2010-03-25,61.20,61.21,60.51,60.60,547800,59.78
2010-03-24,61.01,61.25,60.81,61.00,720000,60.17
2010-03-23,60.52,61.08,60.34,61.01,529100,60.18
2010-03-22,59.75,60.67,59.47,60.51,875000,59.69
2010-03-19,60.06,60.41,59.51,59.79,1236000,58.98
2010-03-18,60.17,60.23,59.85,60.00,676100,59.18
2010-03-17,59.60,60.34,59.53,60.23,586400,59.41
