Date,Open,High,Low,Close,Volume,Adj Close
2010-11-05,14.78,14.80,14.60,14.71,2870300,14.71
2010-11-04,14.68,14.87,14.66,14.80,3555200,14.80
2010-11-03,14.72,14.78,14.48,14.62,4158900,14.62
2010-11-02,14.36,14.78,14.36,14.73,6984100,14.73
2010-11-01,14.36,14.45,14.21,14.26,4996500,14.26
2010-10-29,14.51,14.73,14.33,14.33,5671700,14.33
2010-10-28,14.56,14.67,14.48,14.54,2548600,14.54
2010-10-27,14.67,14.68,14.48,14.51,5204200,14.51
2010-10-26,14.44,14.96,14.24,14.81,9542100,14.81
2010-10-25,14.53,14.67,14.47,14.50,2804500,14.50
2010-10-22,14.52,14.64,14.45,14.50,3786500,14.50
2010-10-21,14.54,14.65,14.44,14.53,3050900,14.53
2010-10-20,14.44,14.66,14.44,14.49,4218000,14.49
2010-10-19,14.51,14.65,14.38,14.40,3838500,14.40
2010-10-18,14.94,14.94,14.59,14.66,6369900,14.66
2010-10-15,14.85,14.97,14.68,14.87,7599900,14.87
2010-10-14,14.80,14.86,14.65,14.81,5613500,14.81
2010-10-13,14.59,14.86,14.55,14.80,8246500,14.80
2010-10-12,14.31,14.62,14.27,14.54,8112700,14.54
2010-10-11,14.30,14.58,14.27,14.42,8104700,14.42
2010-10-08,14.02,14.32,14.01,14.24,6772500,14.24
2010-10-07,14.30,14.33,14.00,14.03,6180500,14.03
2010-10-06,14.32,14.39,14.15,14.25,7405900,14.25
2010-10-05,14.43,14.45,14.23,14.37,11509200,14.37
2010-10-04,15.05,15.15,14.29,14.40,35148300,14.40
2010-10-01,13.44,13.52,13.22,13.43,9876100,13.43
2010-09-30,13.65,13.70,13.41,13.43,7223300,13.43
2010-09-29,13.56,13.70,13.55,13.63,5114700,13.63
2010-09-28,13.67,13.72,13.48,13.60,11036600,13.60
2010-09-27,13.79,13.83,13.63,13.68,7205000,13.68
2010-09-24,13.90,13.93,13.68,13.76,8940200,13.76
2010-09-23,13.98,13.98,13.78,13.79,5567400,13.79
2010-09-22,14.14,14.25,14.01,14.02,4948100,14.02
2010-09-21,14.15,14.23,14.07,14.15,7047700,14.15
2010-09-20,14.09,14.23,14.02,14.18,5969200,14.18
2010-09-17,14.12,14.21,13.96,14.08,4623500,14.08
2010-09-16,14.07,14.19,14.02,14.08,7334200,14.08
2010-09-15,13.92,14.20,13.86,14.13,6975100,14.13
2010-09-14,14.03,14.07,13.84,13.88,10335000,13.88
2010-09-13,14.40,14.40,13.97,14.10,9409800,14.10
2010-09-10,14.49,14.50,14.32,14.34,5215200,14.34
2010-09-09,14.39,14.49,14.31,14.41,6280100,14.41
2010-09-08,14.32,14.43,14.23,14.26,6553000,14.26
2010-09-07,14.44,14.48,14.23,14.23,12503700,14.23
2010-09-03,14.40,14.55,14.32,14.52,6831900,14.52
2010-09-02,14.59,14.61,14.37,14.45,7309900,14.45
2010-09-01,14.59,14.76,14.54,14.60,9002600,14.49
2010-08-31,14.33,14.65,14.28,14.44,11630900,14.33
2010-08-30,14.72,14.75,14.33,14.34,8442300,14.23
2010-08-27,14.68,14.76,14.54,14.75,6182100,14.64
2010-08-26,14.64,14.78,14.57,14.64,7215600,14.53
2010-08-25,14.61,14.72,14.53,14.62,10079300,14.51
2010-08-24,14.56,14.73,14.53,14.69,11298100,14.58
2010-08-23,14.85,14.94,14.74,14.74,8908900,14.63
2010-08-20,14.81,14.87,14.72,14.80,9830300,14.69
