Date,Open,High,Low,Close,Volume,Adj Close
2010-11-05,12.25,12.70,12.23,12.68,4524700,12.68
2010-11-04,11.97,12.27,11.83,12.25,4222900,12.25
2010-11-03,11.79,11.92,11.69,11.84,2361100,11.84
2010-11-02,11.95,11.98,11.74,11.81,2653900,11.81
2010-11-01,12.00,12.06,11.79,11.88,2058900,11.88
2010-10-29,11.98,12.07,11.88,11.90,4165900,11.90
2010-10-28,11.88,11.98,11.79,11.96,3073600,11.96
2010-10-27,11.64,11.83,11.57,11.81,2921500,11.81
2010-10-26,11.68,11.84,11.62,11.80,2383700,11.80
2010-10-25,11.61,11.82,11.57,11.75,3699100,11.75
2010-10-22,11.45,11.58,11.41,11.54,2267700,11.54
2010-10-21,11.44,11.55,11.35,11.40,2500800,11.40
2010-10-20,11.18,11.49,11.07,11.39,4591600,11.39
2010-10-19,11.02,11.19,10.92,11.06,4344600,11.06
2010-10-18,11.24,11.29,11.03,11.13,3878400,11.13
2010-10-15,11.45,11.50,11.17,11.22,2771800,11.22
2010-10-14,11.24,11.36,11.23,11.35,3287800,11.35
2010-10-13,11.33,11.39,11.19,11.28,3792500,11.28
2010-10-12,11.23,11.28,11.10,11.20,3303400,11.20
2010-10-11,11.31,11.38,11.16,11.24,1695500,11.24
2010-10-08,11.28,11.34,11.19,11.28,2831300,11.28
2010-10-07,11.48,11.48,11.19,11.25,3113100,11.25
2010-10-06,11.43,11.49,11.35,11.45,2746700,11.45
2010-10-05,11.31,11.52,11.18,11.41,4244600,11.41
2010-10-04,11.45,11.45,11.17,11.26,3246700,11.26
2010-10-01,11.55,11.66,11.32,11.47,3467500,11.47
2010-09-30,11.89,11.98,11.54,11.55,5367900,11.55
2010-09-29,11.81,11.89,11.74,11.80,2294900,11.80
2010-09-28,11.91,12.00,11.72,11.91,3583500,11.91
2010-09-27,11.98,12.02,11.84,11.84,3885200,11.84
2010-09-24,12.17,12.26,11.89,11.96,5759500,11.96
2010-09-23,11.82,12.18,11.65,12.00,3991400,12.00
2010-09-22,12.12,12.40,11.89,11.89,4973700,11.89
2010-09-21,12.08,12.31,12.03,12.15,3085600,12.15
2010-09-20,11.84,12.06,11.73,12.05,5372200,12.05
2010-09-17,11.39,11.87,11.38,11.72,7981800,11.72
2010-09-16,11.24,11.35,11.13,11.22,2926800,11.22
2010-09-15,11.38,11.46,11.25,11.29,5065200,11.29
2010-09-14,12.09,12.23,11.14,11.52,14077000,11.52
2010-09-13,12.05,12.23,11.98,12.12,3511900,12.12
2010-09-10,11.85,11.96,11.77,11.85,1700900,11.85
