Date,Open,High,Low,Close,Volume,Adj Close
2010-11-05,53.02,53.33,52.77,52.96,320500,52.96
2010-11-04,52.29,53.30,52.28,53.04,250700,53.04
2010-11-03,51.88,52.00,51.00,51.77,336800,51.77
2010-11-02,51.67,51.93,51.34,51.75,297200,51.75
2010-11-01,51.22,51.65,50.79,51.10,308300,51.10
2010-10-29,50.40,51.12,50.21,51.00,317700,51.00
2010-10-28,50.19,50.66,49.92,50.51,298700,50.51
2010-10-27,49.89,50.00,49.51,49.92,497000,49.92
2010-10-26,50.30,50.81,49.98,50.50,357200,50.50
2010-10-25,50.65,51.03,50.35,50.44,404100,50.44
2010-10-22,49.96,50.11,49.20,50.00,873600,50.00
2010-10-21,48.62,49.00,48.11,48.79,322500,48.79
2010-10-20,47.73,48.52,47.67,48.34,209000,48.34
2010-10-19,48.18,48.35,47.35,47.55,350200,47.55
2010-10-18,48.52,48.80,48.34,48.75,140500,48.75
2010-10-15,48.68,48.83,47.82,48.51,411200,48.51
2010-10-14,48.44,48.50,47.86,48.26,219900,48.26
2010-10-13,47.95,48.77,47.77,48.47,219000,48.47
2010-10-12,47.40,47.90,46.90,47.69,213800,47.69
2010-10-11,47.35,47.82,47.20,47.61,158900,47.61
2010-10-08,47.19,47.49,46.81,47.35,198900,47.35
2010-10-07,47.60,47.68,46.74,47.05,201400,47.05
2010-10-06,47.48,47.63,47.16,47.30,175000,47.30
2010-10-05,46.97,47.53,46.50,47.44,285000,47.44
2010-10-04,46.67,47.27,46.10,46.30,266500,46.30
2010-10-01,46.74,47.03,46.35,46.64,190500,46.64
2010-09-30,46.60,47.28,45.95,46.51,280400,46.51
2010-09-29,46.42,46.57,46.15,46.30,183600,46.30
2010-09-28,46.18,46.65,45.59,46.53,422600,46.53
2010-09-27,46.85,46.90,46.08,46.19,302500,46.19
2010-09-24,45.84,46.90,45.84,46.90,178500,46.90
2010-09-23,45.69,46.13,45.20,45.25,217200,45.25
2010-09-22,46.29,46.41,45.80,46.00,319600,46.00
2010-09-21,46.89,47.13,46.40,46.49,455900,46.49
2010-09-20,45.80,47.00,45.57,46.92,196100,46.92
2010-09-17,45.75,45.82,45.25,45.56,257900,45.56
2010-09-16,45.31,45.51,45.11,45.42,160500,45.42
2010-09-15,45.16,45.60,45.05,45.51,223600,45.51
2010-09-14,45.27,45.66,45.04,45.39,265200,45.39
2010-09-13,45.00,45.40,44.93,45.34,203700,45.34
2010-09-10,44.46,44.75,44.34,44.51,223200,44.51
2010-09-09,44.97,44.98,44.01,44.32,209000,44.32
2010-09-08,43.87,44.41,43.83,44.25,246000,44.25
2010-09-07,44.30,44.30,43.84,43.95,241300,43.95
2010-09-03,43.97,44.66,43.93,44.50,340200,44.50
2010-09-02,42.73,43.41,42.73,43.36,244900,43.36
2010-09-01,41.76,42.86,41.70,42.82,395600,42.82
2010-08-31,40.71,41.33,40.39,41.23,610600,41.23
2010-08-30,41.01,41.21,40.81,40.85,455700,40.85
2010-08-27,40.44,41.30,40.01,41.22,301500,41.22
2010-08-26,40.30,40.88,40.10,40.20,358000,40.20
2010-08-25,39.56,40.33,39.23,40.22,557200,40.22
2010-08-24,40.02,40.28,39.44,39.88,373200,39.88
2010-08-23,41.19,41.22,40.54,40.59,318400,40.59
2010-08-20,40.63,40.98,40.21,40.93,264100,40.93
2010-08-19,41.86,41.99,40.71,41.01,330500,41.01
2010-08-18,42.08,42.37,41.44,42.01,403700,42.01
2010-08-17,41.94,42.58,41.76,42.20,337200,41.90
2010-08-16,41.46,41.61,41.16,41.45,418300,41.16
2010-08-13,41.36,42.12,41.36,41.78,651800,41.48
2010-08-12,41.15,41.81,41.09,41.73,738400,41.43
2010-08-11,42.45,42.45,41.76,41.87,508500,41.57
2010-08-10,43.65,43.88,43.12,43.25,727200,42.94
2010-08-09,44.52,44.58,43.85,44.13,717000,43.82
2010-08-06,43.93,44.61,43.81,44.15,803900,43.84
2010-08-05,45.03,45.13,44.40,44.67,585500,44.35
2010-08-04,45.35,45.81,45.18,45.30,658600,44.98
2010-08-03,46.02,46.06,45.22,45.37,297200,45.05
2010-08-02,45.38,46.10,44.99,46.00,289400,45.67
2010-07-30,43.83,44.78,43.49,44.67,360300,44.35
2010-07-29,44.86,45.00,43.90,44.49,281000,44.17
2010-07-28,45.13,45.38,44.42,44.62,217200,44.30
2010-07-27,45.81,46.14,44.99,45.28,342100,44.96
2010-07-26,45.50,45.90,45.08,45.43,422500,45.11
2010-07-23,44.36,45.50,43.67,45.44,420400,45.12
2010-07-22,43.67,44.74,43.67,44.53,454000,44.21
2010-07-21,43.56,44.16,43.04,43.32,553700,43.01
2010-07-20,41.67,43.27,41.59,43.13,482100,42.82
2010-07-19,41.95,42.24,41.42,42.16,410400,41.86
2010-07-16,43.26,43.31,41.43,41.56,597200,41.26
2010-07-15,43.86,43.86,43.02,43.57,434800,43.26
2010-07-14,43.88,44.12,43.46,43.81,222200,43.50
2010-07-13,43.24,44.24,43.14,44.00,416200,43.69
2010-07-12,42.58,43.03,42.30,42.68,262900,42.38
2010-07-09,42.50,42.94,42.16,42.86,215500,42.56
2010-07-08,42.39,42.77,41.94,42.46,288900,42.16
2010-07-07,40.79,42.13,40.75,42.09,369000,41.79
2010-07-06,41.11,41.15,40.13,40.57,545200,40.28
2010-07-02,41.63,41.63,40.09,40.36,555500,40.07
2010-07-01,40.94,41.33,40.24,41.11,608800,40.82
2010-06-30,41.12,42.12,40.76,40.91,607700,40.62
2010-06-29,41.53,41.58,40.77,41.29,861400,41.00
2010-06-28,42.22,42.71,41.71,42.14,395900,41.84
2010-06-25,41.82,42.32,41.40,42.14,712000,41.84
2010-06-24,42.32,42.45,41.49,41.86,416300,41.56
2010-06-23,42.62,43.12,41.72,42.59,258400,42.29
2010-06-22,43.70,44.03,42.45,42.50,324700,42.20
2010-06-21,44.31,44.78,43.41,43.70,309600,43.39
2010-06-18,43.88,44.00,43.52,43.77,306600,43.46
2010-06-17,44.08,44.08,43.09,43.75,203400,43.44
2010-06-16,43.94,44.11,43.55,43.81,280200,43.50
2010-06-15,43.51,44.15,43.13,44.09,302900,43.78
2010-06-14,43.58,43.89,43.12,43.21,322800,42.90
2010-06-11,42.12,43.05,42.02,43.01,246000,42.70
2010-06-10,41.98,42.72,41.98,42.66,262900,42.36
2010-06-09,41.56,42.38,41.12,41.31,395800,41.02
2010-06-08,41.11,41.31,40.17,41.19,487600,40.90
2010-06-07,42.52,42.52,40.83,40.88,503400,40.59
2010-06-04,43.44,43.59,42.17,42.36,428000,42.06
2010-06-03,44.54,44.90,43.99,44.28,330900,43.97
2010-06-02,43.04,44.22,42.87,44.22,407200,43.91
2010-06-01,43.70,44.35,42.82,42.82,415400,42.52
2010-05-28,44.43,44.70,43.73,44.20,418300,43.89
2010-05-27,44.00,44.58,43.90,44.58,424600,44.26
2010-05-26,43.25,44.26,43.13,43.27,510200,42.96
2010-05-25,41.59,43.06,40.91,43.01,578300,42.70
2010-05-24,42.88,43.55,42.54,42.79,430200,42.49
2010-05-21,41.51,43.12,40.74,43.02,624100,42.71
2010-05-20,43.09,43.29,42.12,42.19,596600,41.89
2010-05-19,44.34,44.89,43.71,44.23,527300,43.92
2010-05-18,46.10,46.41,44.73,44.93,394500,44.61
2010-05-17,45.71,46.13,44.79,45.92,369100,45.30
2010-05-14,46.41,46.41,45.39,45.72,347800,45.10
2010-05-13,47.54,47.71,46.52,46.71,285100,46.07
2010-05-12,46.63,47.69,46.55,47.57,269700,46.92
2010-05-11,46.04,47.14,45.73,46.54,382000,45.91
2010-05-10,45.54,46.51,45.24,46.51,429200,45.88
2010-05-07,44.32,44.81,43.15,43.50,634300,42.91
2010-05-06,46.17,46.86,42.20,44.60,1041200,43.99
2010-05-05,46.76,47.21,46.17,46.31,694000,45.68
2010-05-04,48.08,48.08,47.06,47.24,516400,46.60
2010-05-03,48.34,48.87,48.20,48.76,322900,48.10
2010-04-30,49.52,49.93,48.11,48.18,415700,47.52
2010-04-29,48.81,49.59,48.63,49.54,343400,48.87
2010-04-28,48.25,48.83,48.05,48.46,369300,47.80
2010-04-27,48.56,48.87,47.79,47.94,487100,47.29
2010-04-26,49.40,49.98,48.83,48.87,377400,48.21
2010-04-23,49.42,49.61,48.49,49.22,466200,48.55
2010-04-22,48.02,49.37,47.61,49.36,373900,48.69
2010-04-21,48.72,48.93,48.32,48.42,492400,47.76
2010-04-20,47.87,49.00,46.51,48.59,1184900,47.93
2010-04-19,44.73,44.90,44.34,44.80,364500,44.19
2010-04-16,45.31,45.81,44.59,44.94,326600,44.33
2010-04-15,45.38,45.66,45.11,45.43,178800,44.81
2010-04-14,45.49,45.59,45.13,45.57,181100,44.95
2010-04-13,45.20,45.38,44.78,45.30,206000,44.68
2010-04-12,44.95,45.23,44.81,45.16,280200,44.55
2010-04-09,44.61,44.91,44.38,44.90,247100,44.29
2010-04-08,44.35,44.64,43.93,44.58,185300,43.97
2010-04-07,44.36,44.60,44.18,44.56,396100,43.95
2010-04-06,44.31,44.57,44.19,44.47,197300,43.87
2010-04-05,43.81,44.54,43.63,44.42,210600,43.82
2010-04-01,43.66,43.88,43.30,43.67,145000,43.08
2010-03-31,43.54,43.75,43.14,43.34,268200,42.75
2010-03-30,43.03,43.74,43.03,43.59,290800,43.00
2010-03-29,42.99,43.35,42.76,43.06,259300,42.47
2010-03-26,42.77,43.05,42.61,42.80,312300,42.22
2010-03-25,43.13,43.26,42.56,42.61,208700,42.03
2010-03-24,43.23,43.24,42.70,42.93,259600,42.35
2010-03-23,43.02,43.51,42.84,43.38,391400,42.79
2010-03-22,42.58,43.12,42.56,43.03,338100,42.44
2010-03-19,44.02,44.02,42.78,42.88,492300,42.30
2010-03-18,43.42,43.88,43.42,43.74,433100,43.15
2010-03-17,43.35,43.69,43.13,43.53,414100,42.94
2010-03-16,43.24,43.38,42.93,43.31,359800,42.72
2010-03-15,43.17,43.32,42.86,43.17,190700,42.58
2010-03-12,43.70,43.70,43.08,43.31,346900,42.72
2010-03-11,43.59,43.59,43.19,43.52,312600,42.93
2010-03-10,43.18,43.82,43.03,43.65,328500,43.06
2010-03-09,43.06,43.39,42.98,43.18,255400,42.59
2010-03-08,43.59,43.59,42.94,43.17,253900,42.58
2010-03-05,43.46,43.67,43.21,43.45,251600,42.86
2010-03-04,43.15,43.29,42.75,43.07,149500,42.48
2010-03-03,43.33,43.54,42.82,42.96,233500,42.38
2010-03-02,43.18,43.48,42.94,43.02,244900,42.44
2010-03-01,42.50,42.98,42.16,42.81,315800,42.23
2010-02-26,42.12,42.29,41.82,42.22,357500,41.65
2010-02-25,41.64,42.21,41.20,42.12,264900,41.55
2010-02-24,42.40,42.56,41.80,42.27,484500,41.70
2010-02-23,42.57,42.81,41.78,42.16,266300,41.59
2010-02-22,43.12,43.12,42.54,42.87,191800,41.99
2010-02-19,42.54,43.03,42.38,42.90,325900,42.02
