Date,Open,High,Low,Close,Volume,Adj Close
2010-11-05,38.37,38.48,38.24,38.47,2565100,38.47
2010-11-04,38.12,38.47,37.95,38.45,4297900,38.45
2010-11-03,38.09,38.09,37.67,37.91,3044000,37.91
2010-11-02,37.76,38.04,37.65,37.98,3040000,37.98
2010-11-01,37.93,38.04,37.42,37.58,3369400,37.58
2010-10-29,37.67,37.90,37.59,37.87,4005900,37.87
2010-10-28,37.97,37.97,37.58,37.81,3849600,37.81
2010-10-27,38.12,38.31,37.77,38.30,5815000,37.84
2010-10-26,38.19,38.40,38.03,38.28,3336000,37.83
2010-10-25,38.44,38.62,38.15,38.18,7727300,37.73
2010-10-22,38.18,38.48,38.14,38.32,9210700,37.86
2010-10-21,38.14,38.28,37.96,38.13,7215000,37.68
2010-10-20,37.91,38.24,37.84,38.01,3968400,37.56
2010-10-19,37.74,37.99,37.73,37.87,3872000,37.42
2010-10-18,37.72,37.99,37.65,37.95,3586100,37.50
2010-10-15,37.66,37.79,37.51,37.68,3372100,37.23
2010-10-14,37.39,37.70,37.39,37.55,3256300,37.10
2010-10-13,37.61,37.63,37.40,37.51,3426300,37.06
2010-10-12,37.55,37.61,37.30,37.49,2961900,37.04
2010-10-11,37.55,37.78,37.47,37.54,2491000,37.09
2010-10-08,37.78,37.87,37.52,37.71,2601700,37.26
2010-10-07,37.73,37.87,37.68,37.79,2645900,37.34
2010-10-06,37.89,37.89,37.55,37.74,2720900,37.29
2010-10-05,37.61,37.79,37.47,37.79,3067000,37.34
2010-10-04,37.15,37.42,37.14,37.41,3925400,36.97
2010-10-01,37.32,37.39,37.10,37.14,4786700,36.70
2010-09-30,37.45,37.57,37.18,37.24,4318500,36.80
2010-09-29,37.48,37.48,37.25,37.42,3042800,36.98
2010-09-28,37.65,37.65,37.32,37.52,3725200,37.07
2010-09-27,37.49,37.73,37.38,37.52,2685700,37.07
2010-09-24,37.23,37.60,37.17,37.49,3268100,37.04
2010-09-23,37.38,37.40,36.92,37.00,3602800,36.56
2010-09-22,37.22,37.59,37.13,37.47,3790800,37.02
2010-09-21,37.41,37.42,37.04,37.19,4077800,36.75
2010-09-20,37.09,37.50,37.03,37.47,3195600,37.02
2010-09-17,37.16,37.19,36.89,37.06,4401300,36.62
2010-09-16,37.15,37.17,36.85,37.01,3081500,36.57
2010-09-15,37.26,37.33,37.06,37.16,3210400,36.72
2010-09-14,37.13,37.43,37.07,37.22,2587300,36.78
2010-09-13,37.25,37.34,37.06,37.25,2921100,36.81
2010-09-10,37.01,37.13,36.85,37.11,2314500,36.67
2010-09-09,37.13,37.27,36.96,37.13,2687000,36.69
2010-09-08,36.96,37.16,36.86,36.96,2786600,36.52
2010-09-07,36.97,37.23,36.90,36.90,3407400,36.46
2010-09-03,36.86,37.00,36.63,36.99,3280900,36.55
2010-09-02,36.88,36.90,36.54,36.84,3076700,36.40
