Date,Open,High,Low,Close,Volume,Adj Close
2010-11-05,20.81,20.97,20.66,20.79,4292100,20.79
2010-11-04,20.65,20.90,20.63,20.74,9683100,20.74
2010-11-03,20.30,20.43,20.09,20.40,7473400,20.40
2010-11-02,20.37,20.45,20.24,20.30,4641900,20.30
2010-11-01,20.18,20.44,20.10,20.22,7650100,20.22
2010-10-29,20.56,20.67,20.41,20.52,10063100,20.52
2010-10-28,20.38,20.68,20.27,20.62,7074800,20.62
2010-10-27,20.24,20.45,20.10,20.40,8244600,20.40
2010-10-26,20.68,20.82,20.30,20.56,12689600,20.56
2010-10-25,20.77,21.17,20.69,21.00,11343300,21.00
2010-10-22,20.54,20.64,20.38,20.60,3575200,20.60
2010-10-21,20.37,20.85,20.31,20.54,7007800,20.54
2010-10-20,20.08,20.35,20.00,20.27,6306800,20.27
2010-10-19,20.40,20.47,19.87,20.00,12033100,20.00
2010-10-18,20.88,20.89,20.56,20.61,4567300,20.61
2010-10-15,20.81,20.83,20.41,20.81,10079600,20.81
2010-10-14,20.76,20.98,20.63,20.74,6042500,20.74
2010-10-13,20.81,20.95,20.62,20.78,5680800,20.78
2010-10-12,20.81,20.84,20.57,20.70,5936800,20.70
2010-10-11,20.56,20.90,20.45,20.79,6896400,20.79
2010-10-08,20.54,20.69,20.23,20.58,10644800,20.58
2010-10-07,20.99,21.04,20.40,20.60,11421200,20.60
2010-10-06,20.97,21.05,20.74,20.93,9389200,20.93
2010-10-05,20.99,21.17,20.90,21.02,9871800,21.02
2010-10-04,20.72,20.86,20.40,20.69,11417100,20.69
2010-10-01,21.12,21.25,20.70,20.72,8604000,20.72
2010-09-30,20.81,21.01,20.55,20.92,10782900,20.92
2010-09-29,20.72,20.82,20.60,20.65,6076500,20.65
2010-09-28,20.66,20.91,20.34,20.82,8071500,20.82
2010-09-27,20.49,20.74,20.41,20.56,7746600,20.56
2010-09-24,20.24,20.62,20.14,20.59,8047700,20.59
2010-09-23,19.62,20.27,19.60,20.02,7984800,20.02
2010-09-22,19.73,19.94,19.69,19.81,6538600,19.81
2010-09-21,19.67,20.00,19.50,19.81,6856800,19.72
2010-09-20,19.62,19.86,19.52,19.68,6783500,19.59
2010-09-17,19.37,19.56,19.30,19.49,8638600,19.40
2010-09-16,19.63,19.75,19.38,19.39,7333300,19.30
2010-09-15,19.52,19.74,19.29,19.71,5868700,19.62
2010-09-14,19.51,19.88,19.51,19.66,6388500,19.57
2010-09-13,19.56,19.76,19.47,19.55,6857500,19.46
2010-09-10,19.06,19.49,19.02,19.44,10040500,19.35
2010-09-09,19.30,19.31,18.96,19.07,4988600,18.98
2010-09-08,19.18,19.34,18.98,19.04,7104300,18.95
2010-09-07,18.99,19.12,18.63,18.67,6737000,18.59
2010-09-03,18.90,19.44,18.90,19.14,10185300,19.05
2010-09-02,18.37,18.80,18.24,18.74,6857100,18.65
2010-09-01,17.99,18.49,17.81,18.41,15588300,18.33
2010-08-31,17.54,17.89,17.45,17.77,14351900,17.69
2010-08-30,18.00,18.02,17.64,17.64,8005100,17.56
2010-08-27,18.01,18.22,17.65,18.04,7444000,17.96
2010-08-26,18.24,18.37,17.90,17.90,8000600,17.82
2010-08-25,18.00,18.30,17.95,18.21,8540900,18.13
2010-08-24,18.37,18.42,17.96,18.15,8475400,18.07
2010-08-23,18.95,19.07,18.53,18.54,6105700,18.46
2010-08-20,18.82,19.04,18.62,18.93,7255900,18.84
2010-08-19,19.23,19.52,18.87,18.94,15547900,18.85
2010-08-18,19.32,19.81,19.22,19.65,6121800,19.56
2010-08-17,19.32,19.77,19.20,19.45,4601900,19.36
2010-08-16,19.00,19.35,18.88,19.10,5504700,19.01
2010-08-13,19.24,19.33,19.06,19.11,4082400,19.02
2010-08-12,19.10,19.52,19.08,19.32,6663500,19.23
2010-08-11,19.64,19.73,19.36,19.40,5977400,19.31
2010-08-10,19.90,20.21,19.73,20.04,7373600,19.95
2010-08-09,20.23,20.41,19.94,20.05,6846400,19.96
2010-08-06,20.01,20.19,19.80,20.17,5364700,20.08
2010-08-05,20.01,20.22,19.75,20.20,3974900,20.11
2010-08-04,19.92,20.35,19.90,20.14,5144800,20.05
2010-08-03,20.69,20.83,19.84,19.94,9768600,19.85
2010-08-02,20.66,20.97,20.47,20.87,14161300,20.78
2010-07-30,19.59,20.43,19.53,20.33,9644400,20.24
2010-07-29,20.03,20.28,19.52,19.85,6358400,19.76
2010-07-28,20.06,20.21,19.88,19.98,5757500,19.89
2010-07-27,20.51,20.66,20.08,20.17,5357800,20.08
2010-07-26,19.95,20.31,19.85,20.31,5432500,20.22
2010-07-23,19.98,20.06,19.77,20.00,7067400,19.91
2010-07-22,19.62,20.16,19.62,20.08,7031900,19.99
2010-07-21,19.81,19.94,19.36,19.39,6849700,19.30
2010-07-20,19.39,19.81,19.24,19.78,4584600,19.69
2010-07-19,19.32,19.71,19.30,19.59,7140800,19.50
2010-07-16,20.30,20.42,19.29,19.31,9686800,19.22
2010-07-15,20.02,20.37,19.90,20.30,7402400,20.21
2010-07-14,20.26,20.31,19.89,20.01,6660900,19.92
2010-07-13,19.84,20.32,19.78,20.24,6891500,20.15
2010-07-12,19.63,19.82,19.53,19.63,6476900,19.54
2010-07-09,19.46,19.68,19.24,19.67,4803000,19.58
2010-07-08,19.47,19.50,19.19,19.40,7979400,19.31
2010-07-07,19.01,19.46,18.92,19.43,13744100,19.34
2010-07-06,19.27,19.59,18.88,19.12,8535600,19.03
2010-07-02,19.36,19.47,19.10,19.19,6790700,19.10
2010-07-01,18.97,19.42,18.82,19.27,9279000,19.18
2010-06-30,19.22,19.50,18.99,19.05,8758300,18.96
2010-06-29,19.66,19.68,19.13,19.29,11415400,19.20
2010-06-28,20.20,20.24,19.83,19.86,8454200,19.77
2010-06-25,20.07,20.28,19.83,20.09,10619000,20.00
