Date,Open,High,Low,Close,Volume,Adj Close
2010-11-05,26.53,27.72,26.34,26.47,10540500,26.47
2010-11-04,25.38,26.52,25.38,26.41,8306800,26.41
2010-11-03,24.49,25.17,24.49,25.15,6859500,25.15
2010-11-02,24.92,25.07,24.28,24.41,5171200,24.41
2010-11-01,25.13,25.30,24.23,24.65,8313700,24.65
2010-10-29,25.18,25.38,25.01,25.01,3692900,25.01
2010-10-28,25.60,25.78,24.87,25.34,6227000,25.34
2010-10-27,25.37,25.85,25.23,25.38,6275300,25.38
2010-10-26,25.42,25.71,24.99,25.60,6725500,25.60
2010-10-25,26.55,26.57,25.34,25.51,6811200,25.51
2010-10-22,26.25,26.75,26.01,26.20,5134400,26.20
2010-10-21,26.05,26.93,25.98,26.59,14618700,26.59
2010-10-20,24.70,25.56,23.89,25.45,15506200,25.45
2010-10-19,24.34,25.43,24.34,24.74,10871600,24.74
2010-10-18,24.27,24.90,24.03,24.68,10548300,24.68
2010-10-15,25.82,25.90,24.19,24.38,14150600,24.38
2010-10-14,26.31,26.40,24.97,25.58,11744100,25.58
2010-10-13,27.52,27.77,26.58,26.71,6978700,26.71
2010-10-12,26.87,27.46,26.67,27.37,5300200,27.37
2010-10-11,26.82,27.02,26.66,26.93,4100800,26.93
2010-10-08,26.98,27.18,26.57,26.83,6110400,26.83
2010-10-07,27.76,28.06,26.78,26.90,7540700,26.90
2010-10-06,27.30,27.75,27.30,27.64,8529700,27.64
2010-10-05,26.33,27.39,26.13,27.26,10098300,27.26
2010-10-04,26.03,26.43,25.82,26.13,6245100,26.13
2010-10-01,26.13,26.33,25.88,26.10,5390300,26.10
2010-09-30,26.04,26.51,25.76,25.83,6938300,25.83
2010-09-29,25.71,26.02,25.40,25.80,5393000,25.80
2010-09-28,25.87,26.12,25.51,25.96,4196600,25.96
2010-09-27,26.02,26.26,25.78,25.83,6311600,25.83
2010-09-24,25.34,26.04,25.18,26.04,5286300,26.04
2010-09-23,25.18,25.65,24.72,24.86,5038200,24.86
2010-09-22,25.76,26.19,25.40,25.47,4541100,25.47
2010-09-21,26.47,26.55,25.79,25.84,6743200,25.84
2010-09-20,26.02,26.38,25.88,26.28,6367200,26.28
2010-09-17,25.90,26.10,25.69,25.96,6769300,25.96
2010-09-16,26.18,26.18,25.64,25.84,5734100,25.84
2010-09-15,25.68,26.31,25.36,26.26,9961500,26.26
2010-09-14,25.23,26.48,24.80,25.91,15399600,25.91
2010-09-13,25.04,25.57,24.98,25.31,7157900,25.31
2010-09-10,24.83,24.90,24.40,24.52,4892600,24.52
2010-09-09,24.53,24.97,24.42,24.77,6480800,24.77
2010-09-08,23.56,24.28,23.55,24.07,4774600,24.07
2010-09-07,23.85,23.97,23.37,23.40,4127100,23.40
2010-09-03,24.34,24.54,23.88,24.18,4297200,24.18
2010-09-02,23.61,23.98,23.34,23.95,5391300,23.95
2010-09-01,22.89,23.69,22.62,23.65,7128400,23.65
2010-08-31,22.28,22.78,22.05,22.51,6821200,22.51
2010-08-30,22.62,22.84,22.37,22.39,6018000,22.39
2010-08-27,22.50,22.71,21.94,22.67,6151400,22.66
2010-08-26,22.99,23.33,22.15,22.35,7092800,22.34
2010-08-25,23.00,23.10,22.33,22.88,7042700,22.87
2010-08-24,23.57,23.72,23.14,23.18,5057000,23.17
2010-08-23,24.23,24.60,24.00,24.02,3864600,24.01
2010-08-20,24.00,24.24,23.59,24.00,5304100,23.99
2010-08-19,24.52,25.10,24.19,24.22,7064400,24.21
2010-08-18,24.14,24.94,23.86,24.67,6239600,24.66
2010-08-17,24.71,24.76,24.11,24.14,4773500,24.13
2010-08-16,24.24,24.46,24.02,24.36,3863000,24.35
2010-08-13,24.26,24.73,24.23,24.39,3953900,24.38
2010-08-12,24.05,24.56,23.94,24.30,5942900,24.29
2010-08-11,25.43,25.56,24.38,24.46,7481900,24.45
2010-08-10,25.55,26.26,25.37,25.99,5869000,25.98
2010-08-09,26.00,26.15,25.49,25.88,4833100,25.87
2010-08-06,26.08,26.12,25.17,25.85,4949600,25.84
2010-08-05,26.06,26.42,25.75,26.34,4580300,26.33
2010-08-04,26.43,26.58,26.00,26.19,3966400,26.18
2010-08-03,26.49,26.77,26.25,26.37,5246700,26.36
2010-08-02,26.50,26.76,26.19,26.63,4755300,26.62
2010-07-30,25.53,26.13,25.42,25.95,4405100,25.94
2010-07-29,26.25,26.42,25.51,25.96,5931600,25.95
2010-07-28,26.10,26.30,25.83,25.99,4776300,25.98
2010-07-27,26.68,27.05,26.16,26.27,7230300,26.26
2010-07-26,25.18,26.42,24.88,26.38,8780200,26.37
2010-07-23,24.36,25.15,24.02,25.04,7169100,25.03
2010-07-22,24.01,24.89,23.65,24.58,12281100,24.57
2010-07-21,23.46,23.86,22.32,22.42,9265600,22.41
2010-07-20,22.81,23.08,22.44,23.07,9666900,23.06
2010-07-19,23.38,23.53,22.59,23.37,6442600,23.36
2010-07-16,24.82,24.82,23.13,23.31,10861800,23.30
2010-07-15,25.58,25.58,24.42,25.19,6879400,25.18
2010-07-14,25.93,25.93,24.98,25.46,6956200,25.45
2010-07-13,25.54,26.37,25.50,26.18,6304600,26.17
2010-07-12,25.12,25.48,24.80,25.18,3314300,25.17
2010-07-09,24.55,25.54,24.46,25.46,5418900,25.45
2010-07-08,24.96,24.96,24.05,24.67,8224100,24.66
2010-07-07,22.84,24.56,22.71,24.48,14179300,24.47
2010-07-06,22.97,23.00,22.37,22.62,9352600,22.61
2010-07-02,23.03,23.03,22.11,22.44,6596200,22.43
2010-07-01,23.26,23.50,21.79,22.80,13868400,22.79
2010-06-30,23.50,24.04,23.12,23.30,7704100,23.29
2010-06-29,24.60,24.81,23.28,23.44,10280200,23.43
2010-06-28,25.67,25.70,24.92,25.16,5520800,25.15
2010-06-25,24.74,25.97,24.51,25.51,10215000,25.50
2010-06-24,25.08,25.14,24.28,24.37,7481700,24.36
2010-06-23,25.30,25.71,24.66,25.27,5731500,25.26
2010-06-22,25.90,25.93,25.19,25.24,6468200,25.23
2010-06-21,26.62,26.63,25.71,25.85,5786800,25.84
2010-06-18,26.32,26.54,26.09,26.20,5317100,26.19
2010-06-17,26.28,26.57,25.97,26.24,4528300,26.23
2010-06-16,26.23,26.50,26.00,26.36,5834000,26.35
2010-06-15,26.13,26.44,25.81,26.37,6261100,26.36
2010-06-14,25.98,26.32,25.51,25.69,4824200,25.68
2010-06-11,25.39,25.92,25.16,25.89,5028600,25.88
2010-06-10,25.10,25.92,24.94,25.83,6372300,25.82
2010-06-09,25.40,25.53,24.64,24.73,6938500,24.72
2010-06-08,24.67,25.26,24.30,25.11,9766800,25.10
2010-06-07,25.16,25.52,24.41,24.43,7112200,24.42
