Date,Open,High,Low,Close,Volume,Adj Close
2010-11-05,17.50,17.72,17.44,17.56,827800,17.56
2010-11-04,17.57,17.72,17.49,17.52,1528100,17.52
2010-11-03,17.44,17.48,17.11,17.35,1581100,17.35
2010-11-02,17.26,17.49,17.24,17.40,1647200,17.40
2010-11-01,17.13,17.19,17.07,17.15,2314100,17.15
2010-10-29,16.87,17.10,16.82,16.97,2202200,16.97
2010-10-28,16.87,17.02,16.79,17.00,2296100,17.00
2010-10-27,16.62,16.84,16.58,16.74,1873400,16.74
2010-10-26,16.84,16.84,16.69,16.75,3166200,16.75
2010-10-25,17.15,17.20,16.84,16.87,1619800,16.87
2010-10-22,17.18,17.23,16.95,17.02,1091200,17.02
2010-10-21,17.26,17.29,17.01,17.10,888900,17.10
2010-10-20,17.24,17.36,17.12,17.20,1371700,17.20
2010-10-19,17.02,17.24,17.02,17.17,1834100,17.17
2010-10-18,17.25,17.33,17.15,17.27,933900,17.27
2010-10-15,17.33,17.47,17.00,17.22,1443000,17.22
2010-10-14,17.46,17.56,17.02,17.21,3398700,17.21
2010-10-13,17.49,17.63,17.43,17.50,1567900,17.50
2010-10-12,17.58,17.58,17.20,17.35,1400400,17.35
2010-10-11,17.42,17.68,17.31,17.58,1192800,17.58
2010-10-08,17.30,17.44,17.27,17.38,1377300,17.38
2010-10-07,17.44,17.50,17.19,17.28,1722600,17.28
2010-10-06,17.48,17.58,17.27,17.40,1508600,17.40
2010-10-05,17.50,17.55,17.35,17.51,1244100,17.51
2010-10-04,17.41,17.44,17.14,17.26,1916500,17.26
2010-10-01,17.68,17.76,17.40,17.66,1534200,17.66
2010-09-30,17.47,17.62,17.30,17.53,1725500,17.53
2010-09-29,17.23,17.43,17.20,17.37,1397400,17.37
2010-09-28,17.43,17.50,17.19,17.26,1340100,17.26
2010-09-27,17.28,17.57,17.17,17.46,1359900,17.46
2010-09-24,17.09,17.32,17.05,17.24,1387100,17.24
2010-09-23,16.81,17.11,16.77,16.83,1245000,16.83
2010-09-22,17.04,17.33,16.96,16.97,2182000,16.97
2010-09-21,17.38,17.38,17.07,17.13,1634500,17.13
2010-09-20,17.23,17.45,17.04,17.38,981400,17.38
2010-09-17,17.12,17.17,16.85,17.14,1203100,17.14
2010-09-16,17.11,17.18,16.87,17.05,1257100,17.05
2010-09-15,17.21,17.30,17.05,17.13,1255200,17.13
2010-09-14,17.33,17.46,17.21,17.31,1252900,17.31
2010-09-13,17.38,17.51,17.29,17.32,1582700,17.32
2010-09-10,17.02,17.26,17.00,17.16,1784400,17.16
2010-09-09,17.17,17.19,16.88,17.00,1449100,17.00
2010-09-08,16.78,17.07,16.78,16.92,1931200,16.92
2010-09-07,16.86,16.92,16.70,16.77,879400,16.77
2010-09-03,17.08,17.17,16.90,16.95,1355200,16.95
2010-09-02,16.75,17.00,16.61,16.89,1579500,16.89
2010-09-01,16.56,16.75,16.54,16.68,1647600,16.68
2010-08-31,16.08,16.37,16.03,16.28,2250400,16.28
2010-08-30,16.48,16.60,16.21,16.23,1063200,16.23
2010-08-27,16.34,16.56,16.11,16.51,2109400,16.51
2010-08-26,16.49,16.49,16.16,16.20,2198000,16.20
2010-08-25,16.36,16.41,16.13,16.38,1608300,16.38
2010-08-24,16.28,16.61,16.28,16.46,2150400,16.46
2010-08-23,16.57,16.68,16.39,16.55,1703200,16.55
2010-08-20,16.42,16.49,16.33,16.45,1502500,16.45
2010-08-19,16.89,16.89,16.41,16.53,1693100,16.53
2010-08-18,17.03,17.05,16.84,16.95,1409700,16.95
2010-08-17,16.94,17.17,16.79,17.08,2243600,16.94
2010-08-16,16.80,17.01,16.60,16.97,1279500,16.83
2010-08-13,16.75,16.95,16.72,16.88,1170300,16.74
2010-08-12,16.69,16.91,16.61,16.80,2211000,16.66
2010-08-11,16.69,17.00,16.56,16.91,3133100,16.77
2010-08-10,16.79,17.05,16.65,17.00,2013500,16.86
2010-08-09,17.17,17.17,16.96,16.98,1127400,16.84
