Date,Open,High,Low,Close,Volume,Adj Close
2010-11-05,44.69,45.97,44.50,45.47,7906500,45.47
2010-11-04,42.64,44.00,42.61,43.95,5122400,43.95
2010-11-03,42.09,42.28,41.40,42.28,3855100,42.28
2010-11-02,42.13,42.17,41.75,41.93,3176600,41.93
2010-11-01,41.95,42.05,41.22,41.77,3448300,41.77
2010-10-29,41.10,41.80,40.90,41.76,3443900,41.76
2010-10-28,41.60,41.75,41.10,41.11,5979100,41.11
2010-10-27,40.66,41.43,40.33,41.42,4114400,41.42
2010-10-26,40.14,41.00,40.10,40.98,3522200,40.98
2010-10-25,40.83,40.87,40.10,40.26,3101300,40.26
2010-10-22,40.27,40.87,40.14,40.40,2450600,40.40
2010-10-21,40.75,41.00,39.87,40.24,3218400,40.24
2010-10-20,40.35,40.72,40.10,40.53,4179600,40.53
2010-10-19,39.75,41.31,39.18,40.30,9071500,40.30
2010-10-18,40.14,41.21,40.05,41.21,6228000,41.21
2010-10-15,40.10,40.51,39.47,40.05,5098200,40.05
2010-10-14,40.10,40.22,39.52,39.84,5039600,39.84
2010-10-13,39.92,40.45,39.57,40.16,5054400,40.16
2010-10-12,39.35,39.73,38.85,39.66,3542700,39.66
2010-10-11,39.00,39.70,38.96,39.50,2795300,39.50
2010-10-08,38.86,39.11,38.53,38.99,3540800,38.99
2010-10-07,39.23,39.34,38.56,38.67,2596100,38.67
2010-10-06,38.73,39.06,38.58,39.04,2961200,39.04
2010-10-05,38.00,38.82,37.65,38.70,4128600,38.70
2010-10-04,38.17,38.35,37.31,37.54,2720700,37.54
2010-10-01,38.13,38.66,37.90,38.21,3601600,38.21
2010-09-30,37.61,38.78,37.61,37.66,5802600,37.66
2010-09-29,37.68,37.81,37.10,37.34,4160900,37.34
2010-09-28,38.29,38.31,37.40,37.97,3451700,37.96
2010-09-27,38.28,38.62,37.92,38.18,3729700,38.17
2010-09-24,37.91,38.42,37.83,38.32,3714000,38.31
2010-09-23,37.32,37.74,37.05,37.18,4115400,37.17
2010-09-22,38.42,38.77,37.47,37.75,4040800,37.74
2010-09-21,39.77,39.82,38.51,38.64,3299400,38.63
2010-09-20,38.39,39.68,38.29,39.52,3851200,39.51
2010-09-17,38.97,38.98,38.01,38.21,4132300,38.20
2010-09-16,38.59,38.75,38.35,38.64,2598800,38.63
2010-09-15,37.97,38.95,37.75,38.85,2670600,38.84
2010-09-14,38.70,38.70,37.92,38.23,3741200,38.22
2010-09-13,38.90,39.16,38.48,38.82,3503400,38.81
2010-09-10,38.25,38.64,37.88,37.93,3249900,37.92
2010-09-09,37.99,38.45,37.64,38.26,4668100,38.25
2010-09-08,36.78,37.67,36.78,37.30,2476700,37.29
2010-09-07,37.63,37.66,36.68,36.70,2787600,36.69
2010-09-03,36.84,37.99,36.84,37.92,4211500,37.91
2010-09-02,36.39,36.51,35.96,36.43,3517300,36.42
2010-09-01,35.58,36.54,35.40,36.50,5519800,36.49
2010-08-31,34.73,35.21,34.37,35.08,4158000,35.07
2010-08-30,35.63,35.85,34.86,34.89,3325400,34.88
2010-08-27,35.16,35.87,34.68,35.85,5619500,35.84
2010-08-26,35.37,35.63,34.51,34.87,5864300,34.86
2010-08-25,35.13,35.48,34.73,35.41,4862700,35.40
2010-08-24,36.02,36.19,35.03,35.32,7716600,35.31
2010-08-23,37.18,37.30,36.42,36.43,2194900,36.42
2010-08-20,36.81,37.05,36.39,36.89,3097100,36.88
2010-08-19,38.14,38.23,36.79,37.01,4991500,37.00
2010-08-18,38.35,38.85,38.11,38.41,3723800,38.40
2010-08-17,37.56,38.71,37.31,38.29,5573800,38.28
2010-08-16,37.11,37.31,36.65,37.11,3020900,37.10
2010-08-13,37.24,37.77,37.21,37.28,3190500,37.27
2010-08-12,37.10,37.48,36.95,37.30,3406200,37.29
2010-08-11,38.50,38.65,37.17,37.35,5539500,37.34
2010-08-10,39.19,39.55,38.94,39.15,3155800,39.14
2010-08-09,39.33,39.75,38.85,39.59,3156700,39.58
2010-08-06,39.44,39.56,38.47,39.08,4862200,39.07
2010-08-05,39.69,40.00,39.45,39.95,2458900,39.94
2010-08-04,39.91,40.00,39.40,39.97,3515400,39.96
2010-08-03,40.00,40.25,39.56,39.86,3587400,39.85
2010-08-02,39.54,40.22,39.34,40.11,3343200,40.10
2010-07-30,38.57,39.18,38.43,38.92,3408500,38.91
2010-07-29,39.25,39.66,38.70,39.02,3019000,39.01
2010-07-28,38.93,39.47,38.61,38.87,3379300,38.86
2010-07-27,39.88,40.18,38.96,39.00,5277600,38.99
2010-07-26,39.79,39.91,39.36,39.70,3821800,39.69
2010-07-23,38.94,40.06,38.63,39.79,4661400,39.78
2010-07-22,38.29,39.17,38.29,39.06,5106000,39.05
