Date,Open,High,Low,Close,Volume,Adj Close
2010-11-05,38.34,38.57,37.89,38.22,1568200,38.22
2010-11-04,38.17,38.64,38.03,38.43,1453900,38.43
2010-11-03,37.27,38.00,36.95,37.64,1611100,37.64
2010-11-02,37.44,37.50,36.87,37.14,1692400,37.14
2010-11-01,37.88,38.18,36.90,37.07,2371000,37.07
2010-10-29,38.49,38.63,37.09,37.47,5651600,37.47
2010-10-28,39.90,40.38,39.55,39.72,2193200,39.72
2010-10-27,38.92,39.75,38.81,39.69,1806600,39.69
2010-10-26,39.24,39.68,38.92,39.25,1777300,39.25
2010-10-25,39.57,40.24,39.36,39.52,1616300,39.52
2010-10-22,39.53,39.62,38.95,39.20,1542500,39.20
2010-10-21,39.92,40.06,39.04,39.34,2027700,39.34
2010-10-20,39.54,40.05,39.36,39.85,2363800,39.85
2010-10-19,39.76,40.25,39.33,39.61,2046800,39.61
2010-10-18,39.79,40.63,39.43,40.39,1698300,40.39
2010-10-15,40.12,40.19,39.36,39.83,1052400,39.83
2010-10-14,39.85,40.32,39.43,39.75,1871000,39.75
2010-10-13,39.24,40.35,39.15,39.83,2771900,39.83
2010-10-12,38.91,39.18,38.41,39.00,1554000,39.00
2010-10-11,39.23,39.74,38.96,39.06,1436500,39.06
2010-10-08,38.14,39.31,38.00,39.23,1941400,39.23
2010-10-07,37.99,38.26,37.57,38.24,1403600,38.24
2010-10-06,37.73,38.73,37.45,37.87,2339700,37.87
2010-10-05,36.65,38.26,36.65,37.89,3536400,37.89
2010-10-04,36.44,36.79,35.72,36.24,1583800,36.24
2010-10-01,36.74,36.84,35.95,36.59,1942400,36.59
2010-09-30,36.48,36.87,35.84,36.50,2652700,36.50
2010-09-29,34.88,36.50,34.84,36.26,3222900,36.26
2010-09-28,34.36,35.15,34.17,35.08,2505700,35.08
2010-09-27,34.51,34.71,34.17,34.19,1614800,34.19
2010-09-24,34.02,34.71,33.80,34.65,1466200,34.65
2010-09-23,33.75,34.02,33.52,33.70,1764600,33.70
2010-09-22,34.71,35.17,34.00,34.10,1523200,34.10
