Date,Open,High,Low,Close,Volume,Adj Close
2010-11-05,62.92,63.10,62.53,63.02,1801000,63.02
2010-11-04,62.51,63.37,62.26,62.80,2212800,62.80
2010-11-03,61.60,61.85,60.78,61.81,2252900,61.81
2010-11-02,62.02,62.35,61.23,61.57,4840600,61.57
2010-11-01,60.55,61.50,60.23,61.22,3861600,61.22
2010-10-29,60.94,62.04,60.94,61.97,2617300,61.97
2010-10-28,60.51,61.04,60.22,60.87,1696900,60.87
2010-10-27,59.59,60.08,58.88,60.05,1166800,60.05
2010-10-26,60.50,61.15,60.00,60.06,1083200,60.06
2010-10-25,61.69,62.29,60.65,60.80,1234600,60.80
2010-10-22,60.20,61.26,60.14,61.11,2235500,61.11
2010-10-21,61.69,61.83,59.63,60.14,3346700,60.14
2010-10-20,62.86,63.21,60.75,61.32,4748600,61.32
2010-10-19,62.59,63.67,62.19,62.36,1864200,62.36
2010-10-18,62.34,63.90,62.34,63.54,1834700,63.54
2010-10-15,63.26,63.67,61.20,62.13,2154700,62.13
2010-10-14,63.74,63.75,62.68,62.99,1394900,62.99
2010-10-13,63.30,64.21,63.04,63.77,1550000,63.77
2010-10-12,62.65,63.18,61.94,62.97,800300,62.97
2010-10-11,62.76,62.94,62.49,62.73,783100,62.73
2010-10-08,62.11,62.90,61.81,62.70,1273500,62.70
2010-10-07,62.41,62.53,61.12,61.90,1045700,61.90
2010-10-06,62.62,62.89,61.70,62.14,1356300,62.14
2010-10-05,62.22,63.23,62.21,62.64,1760300,62.64
2010-10-04,61.68,62.68,61.22,61.96,1292400,61.96
2010-10-01,61.95,62.34,61.27,62.02,1509600,62.02
2010-09-30,61.25,61.76,60.54,61.28,1663000,61.28
2010-09-29,60.79,61.18,60.47,60.75,865400,60.75
2010-09-28,59.98,61.39,59.62,61.23,1409300,61.23
2010-09-27,60.19,60.36,59.67,59.97,1454100,59.97
2010-09-24,59.36,60.81,59.21,60.51,1409200,60.51
2010-09-23,59.54,59.80,58.34,58.50,1299600,58.50
2010-09-22,60.58,60.75,59.68,60.03,1053300,60.03
2010-09-21,60.55,61.00,60.20,60.44,1518600,60.44
2010-09-20,59.65,60.82,59.39,60.65,1205700,60.65
2010-09-17,59.44,59.70,58.99,59.59,2109800,59.59
2010-09-16,59.82,60.67,58.90,59.30,2245800,59.30
2010-09-15,60.80,60.84,60.11,60.50,1495800,60.50
2010-09-14,60.51,61.11,60.33,60.97,1901700,60.97
2010-09-13,59.78,60.96,59.65,60.82,1705500,60.82
2010-09-10,59.20,59.81,58.99,59.29,1582000,59.29
2010-09-09,59.46,59.64,58.61,58.96,1476300,58.96
2010-09-08,57.50,58.67,57.50,58.58,1257600,58.58
2010-09-07,57.71,58.02,57.30,57.45,818800,57.45
2010-09-03,57.89,58.96,57.89,58.16,1376600,58.16
2010-09-02,57.09,57.70,56.97,57.35,1493200,57.35
2010-09-01,54.35,56.75,54.16,56.75,2453600,56.75
2010-08-31,53.26,54.05,52.75,53.64,1507400,53.30
2010-08-30,54.36,54.78,53.41,53.43,673700,53.09
2010-08-27,53.56,54.55,52.80,54.51,916300,54.16
2010-08-26,53.76,54.55,53.08,53.11,1458400,52.77
2010-08-25,52.89,53.86,52.32,53.66,1315000,53.32
2010-08-24,53.67,54.00,52.45,53.39,1512000,53.05
2010-08-23,55.44,55.67,54.38,54.51,660800,54.16
2010-08-20,54.64,55.22,54.50,55.05,1096700,54.70
