Date,Open,High,Low,Close,Volume,Adj Close
2010-11-05,23.81,24.00,23.56,23.74,3824100,23.74
2010-11-04,23.44,23.99,23.44,23.92,6512100,23.92
2010-11-03,23.03,23.39,22.87,23.24,4406600,23.24
2010-11-02,22.92,23.19,22.82,23.02,3454800,23.02
2010-11-01,22.94,23.00,22.62,22.75,3241600,22.75
2010-10-29,22.62,22.99,22.53,22.90,6593700,22.90
2010-10-28,22.76,22.76,22.28,22.71,6194600,22.71
2010-10-27,22.54,22.70,22.14,22.64,4822500,22.64
2010-10-26,22.38,22.75,22.17,22.68,6087900,22.68
2010-10-25,22.25,22.57,22.23,22.50,5665300,22.50
2010-10-22,21.82,22.38,21.77,22.29,5204400,22.29
2010-10-21,21.94,22.00,21.55,21.76,6235100,21.76
2010-10-20,21.94,22.21,21.78,21.81,4530600,21.81
2010-10-19,22.17,22.23,21.66,21.88,8874300,21.88
2010-10-18,21.80,22.65,21.64,22.44,15280600,22.44
2010-10-15,21.74,22.01,21.59,21.76,5237000,21.76
2010-10-14,21.19,22.26,21.02,21.66,8451900,21.66
2010-10-13,20.82,21.55,20.63,21.32,9552000,21.32
2010-10-12,20.73,20.91,20.64,20.69,7026500,20.69
2010-10-11,21.15,21.27,20.93,20.95,5051900,20.95
2010-10-08,21.23,21.27,20.79,21.19,3518100,21.19
2010-10-07,21.40,21.48,21.16,21.24,2500100,21.24
2010-10-06,21.28,21.58,21.23,21.32,4105100,21.32
2010-10-05,21.12,21.79,21.12,21.30,6009700,21.30
2010-10-04,21.12,21.26,20.81,20.94,2869700,20.94
2010-10-01,21.29,21.34,20.96,21.21,3135100,21.21
2010-09-30,21.19,21.36,21.01,21.16,3430800,21.16
2010-09-29,20.77,21.18,20.63,21.05,3437300,21.05
2010-09-28,20.98,21.02,20.33,20.86,5935400,20.86
2010-09-27,21.10,21.24,20.98,20.98,2068800,20.98
2010-09-24,21.18,21.34,20.94,21.19,2238500,21.19
2010-09-23,20.64,21.12,20.57,20.92,2572200,20.92
2010-09-22,20.76,20.89,20.50,20.82,3948400,20.82
2010-09-21,20.72,20.89,20.50,20.79,3765700,20.79
2010-09-20,20.36,21.02,20.26,20.97,4176100,20.85
2010-09-17,20.35,20.59,20.18,20.35,5885600,20.23
2010-09-16,20.42,20.47,20.25,20.32,4487100,20.20
2010-09-15,20.20,20.45,20.11,20.43,3415200,20.31
2010-09-14,20.32,20.53,20.15,20.21,7177800,20.09
2010-09-13,20.00,20.20,19.89,20.16,4251500,20.04
2010-09-10,19.77,19.97,19.74,19.92,2521400,19.81
2010-09-09,19.67,19.94,19.61,19.70,3664700,19.59
2010-09-08,19.44,19.55,19.31,19.47,3131900,19.36
2010-09-07,19.60,19.71,19.38,19.40,2501700,19.29
2010-09-03,19.45,19.72,19.38,19.63,3425200,19.52
2010-09-02,19.14,19.50,19.04,19.39,3823400,19.28
2010-09-01,19.01,19.33,18.96,19.09,5527600,18.98
2010-08-31,18.96,19.10,18.73,18.79,5324800,18.68
2010-08-30,19.50,19.52,19.05,19.05,3854800,18.94
2010-08-27,19.64,19.71,19.32,19.45,4601900,19.34
2010-08-26,19.80,20.10,19.59,19.59,6247700,19.48
2010-08-25,19.62,19.88,19.53,19.80,4033400,19.69
2010-08-24,19.67,19.85,19.55,19.65,6143800,19.54
2010-08-23,20.15,20.29,19.83,19.88,4627200,19.77
2010-08-20,19.87,20.02,19.69,20.01,5846200,19.90
2010-08-19,20.37,20.41,19.91,20.03,6275100,19.92
2010-08-18,21.10,21.10,20.39,20.47,10027400,20.35
2010-08-17,21.17,21.53,21.17,21.44,5054300,21.32
2010-08-16,21.07,21.15,20.85,21.05,2571000,20.93
2010-08-13,21.10,21.22,20.78,21.18,5449200,21.06
2010-08-12,21.06,21.35,20.99,21.19,5971300,21.07
2010-08-11,21.24,21.51,21.18,21.25,4884700,21.13
2010-08-10,21.57,21.91,21.48,21.66,7283900,21.54
2010-08-09,21.30,21.79,21.28,21.73,5422700,21.61
