Date,Open,High,Low,Close,Volume,Adj Close
2010-11-05,51.61,52.76,51.58,52.43,2418200,52.43
2010-11-04,51.72,52.15,51.50,51.76,2445900,51.76
2010-11-03,50.01,51.49,50.00,51.25,4618600,51.25
2010-11-02,49.74,50.21,49.55,49.90,1631100,49.90
2010-11-01,49.63,49.88,48.98,49.31,2726500,49.31
2010-10-29,50.19,50.19,49.29,49.49,3189300,49.49
2010-10-28,49.15,50.79,48.70,50.20,3533800,50.20
2010-10-27,50.84,50.95,50.05,50.90,1880000,50.90
2010-10-26,50.96,51.35,50.47,51.23,2016400,51.23
2010-10-25,50.84,51.49,50.80,51.27,1919500,51.27
2010-10-22,51.31,51.42,50.50,50.59,1964500,50.59
2010-10-21,50.82,51.42,50.69,51.32,3604800,51.32
2010-10-20,52.83,53.00,50.03,50.57,5839700,50.57
2010-10-19,48.69,50.41,48.61,50.07,5012500,50.07
2010-10-18,49.30,50.65,49.30,50.51,3212700,50.51
2010-10-15,49.12,49.41,48.35,49.04,2844200,49.04
2010-10-14,49.31,49.63,48.55,48.83,2247500,48.83
2010-10-13,49.19,49.45,48.76,49.29,2813700,49.29
2010-10-12,49.51,49.67,48.13,49.05,6077300,49.05
2010-10-11,49.64,50.00,49.38,49.79,1514100,49.79
2010-10-08,49.76,50.10,49.47,49.68,2249900,49.68
2010-10-07,50.64,50.64,49.17,49.78,3061300,49.78
2010-10-06,50.56,50.80,50.28,50.45,1112000,50.45
2010-10-05,49.87,50.98,49.80,50.57,2204900,50.57
2010-10-04,49.85,50.29,49.11,49.37,1567800,49.37
2010-10-01,50.26,50.40,49.36,50.01,2476000,50.01
2010-09-30,50.30,50.88,49.91,50.05,2431900,50.05
2010-09-29,49.76,50.54,49.45,50.24,3454900,50.24
2010-09-28,49.03,50.22,48.59,50.11,3012500,50.11
2010-09-27,49.83,49.83,49.05,49.15,2027800,49.00
2010-09-24,48.31,49.71,48.25,49.70,2761800,49.55
2010-09-23,47.74,48.45,47.54,47.93,1696000,47.78
2010-09-22,48.47,48.75,47.84,48.02,2590200,47.87
