Date,Open,High,Low,Close,Volume,Adj Close
2010-11-05,30.06,30.17,29.91,30.03,3087100,30.03
2010-11-04,30.07,30.18,29.81,30.13,3346200,30.13
2010-11-03,29.79,29.97,29.66,29.91,2414000,29.91
2010-11-02,29.83,29.99,29.76,29.80,2218500,29.80
2010-11-01,29.59,29.96,29.42,29.59,3097300,29.59
2010-10-29,29.66,29.75,29.34,29.46,3610300,29.46
2010-10-28,29.59,29.78,29.43,29.72,2709000,29.72
2010-10-27,29.42,29.54,29.13,29.41,2620300,29.41
2010-10-26,29.44,29.54,29.32,29.50,2118500,29.50
2010-10-25,29.75,29.85,29.46,29.55,2265000,29.55
2010-10-22,29.44,29.71,29.27,29.56,1998200,29.56
2010-10-21,29.13,29.47,29.06,29.35,3804400,29.35
2010-10-20,28.88,29.32,28.87,29.04,2405300,29.04
2010-10-19,28.94,29.08,28.65,28.78,2942500,28.78
2010-10-18,29.18,29.27,29.02,29.20,2012400,29.20
2010-10-15,29.30,29.44,29.14,29.20,3664400,29.20
2010-10-14,28.85,29.24,28.85,29.09,3964900,29.09
2010-10-13,28.65,28.99,28.61,28.90,3220800,28.90
2010-10-12,28.54,28.68,28.39,28.58,1891900,28.58
2010-10-11,28.53,28.71,28.49,28.60,2455700,28.60
2010-10-08,28.59,28.63,28.33,28.53,2433600,28.53
2010-10-07,28.64,28.68,28.43,28.61,2343700,28.61
2010-10-06,28.84,28.84,28.48,28.52,2396000,28.52
2010-10-05,28.48,28.83,28.40,28.75,4020400,28.75
2010-10-04,28.53,28.71,28.22,28.33,3372100,28.33
2010-10-01,28.75,28.75,28.02,28.58,4841400,28.58
2010-09-30,28.75,28.84,28.21,28.52,6643400,28.52
2010-09-29,29.15,29.35,28.85,28.98,3459400,28.98
2010-09-28,29.61,29.63,29.16,29.55,3102500,29.30
2010-09-27,30.05,30.05,29.54,29.55,2462300,29.30
2010-09-24,29.68,30.10,29.68,29.98,2572600,29.73
2010-09-23,29.56,29.76,29.39,29.54,4437400,29.29
2010-09-22,29.69,29.95,29.59,29.77,4494500,29.52
2010-09-21,29.55,29.85,29.35,29.72,8557200,29.47
2010-09-20,29.18,29.64,29.17,29.59,2660700,29.34
2010-09-17,29.26,29.43,29.14,29.17,3257400,28.92
2010-09-16,29.01,29.15,28.90,29.10,2064400,28.85
2010-09-15,28.77,29.08,28.63,29.01,2709200,28.76
2010-09-14,28.96,28.99,28.69,28.74,3409700,28.50
2010-09-13,28.94,29.09,28.66,28.96,2981000,28.71
2010-09-10,28.51,28.83,28.46,28.77,2905100,28.53
2010-09-09,28.58,28.74,28.45,28.49,2343100,28.25
2010-09-08,28.33,28.46,28.25,28.39,2031400,28.15
2010-09-07,28.48,28.59,28.26,28.33,2776800,28.09
2010-09-03,28.54,28.67,28.25,28.56,2534400,28.32
2010-09-02,28.03,28.47,28.01,28.44,3150900,28.20
2010-09-01,27.75,28.17,27.54,28.14,4095000,27.90
2010-08-31,27.26,27.62,27.13,27.49,5315000,27.26
2010-08-30,27.99,28.06,27.27,27.29,5471500,27.06
2010-08-27,27.91,28.29,27.61,28.05,3227900,27.81
2010-08-26,28.26,28.29,27.82,27.84,2561900,27.60
2010-08-25,27.77,28.34,27.77,28.23,2706400,27.99
2010-08-24,28.33,28.41,27.92,27.97,4493600,27.73
2010-08-23,28.65,28.87,28.49,28.63,3748500,28.39
2010-08-20,28.12,28.53,28.00,28.48,5220100,28.24
2010-08-19,28.88,28.89,28.18,28.30,4772000,28.06
2010-08-18,29.18,29.25,28.72,28.90,3883200,28.66
2010-08-17,29.55,29.85,28.99,29.20,5365400,28.95
2010-08-16,29.83,29.83,28.94,29.28,6279300,29.03
2010-08-13,30.09,30.13,29.89,29.98,3217000,29.73
2010-08-12,29.81,30.34,29.81,30.21,3217200,29.95
2010-08-11,30.55,30.67,30.09,30.18,4159300,29.92
2010-08-10,30.87,31.14,30.81,30.95,3183500,30.69
2010-08-09,30.67,31.20,30.67,31.05,2820400,30.79
2010-08-06,30.61,30.75,30.37,30.61,4305000,30.35
2010-08-05,31.19,31.19,30.84,30.88,3675300,30.62
2010-08-04,31.43,31.43,30.91,31.28,3867600,31.02
2010-08-03,31.19,31.55,31.19,31.44,2106100,31.17
2010-08-02,31.29,31.48,31.15,31.37,2564400,31.10
2010-07-30,30.47,31.09,30.42,30.97,2137100,30.71
2010-07-29,31.08,31.09,30.61,30.78,2215600,30.52
2010-07-28,30.85,31.06,30.84,30.85,2172700,30.59
2010-07-27,31.21,31.27,30.89,30.95,3397500,30.69
2010-07-26,31.00,31.15,30.77,31.15,2143900,30.89
2010-07-23,30.59,30.94,30.40,30.94,2759300,30.68
2010-07-22,30.08,30.74,30.01,30.58,3029400,30.32
2010-07-21,30.46,30.46,29.93,30.01,3058000,29.76
2010-07-20,29.63,30.42,29.63,30.37,3882700,30.11
2010-07-19,29.94,29.99,29.60,29.85,2844000,29.60
2010-07-16,30.15,30.18,29.57,29.87,4462600,29.62
2010-07-15,29.91,30.23,29.75,30.18,2854200,29.92
2010-07-14,29.84,30.09,29.68,29.97,2599700,29.72
2010-07-13,29.82,30.12,29.66,29.94,2992500,29.69
