Date,Open,High,Low,Close,Volume,Adj Close
2010-11-05,49.82,50.42,49.79,50.25,1650100,50.25
2010-11-04,49.20,49.87,48.88,49.83,1298900,49.83
2010-11-03,47.55,49.30,47.24,49.08,2507600,49.08
2010-11-02,47.94,48.25,47.09,47.22,1218100,47.22
2010-11-01,47.29,47.78,47.17,47.64,912600,47.64
2010-10-29,46.53,47.25,46.53,47.23,1073400,47.23
2010-10-28,46.96,47.08,46.36,46.48,730000,46.48
2010-10-27,47.39,47.47,46.17,46.80,1197100,46.80
2010-10-26,48.43,48.44,47.66,47.69,921300,47.69
2010-10-25,48.80,48.94,48.35,48.51,752600,48.51
2010-10-22,47.67,48.98,47.67,48.53,1372100,48.53
2010-10-21,47.19,48.08,46.97,47.64,1327800,47.64
2010-10-20,47.07,47.28,46.91,47.01,965300,47.01
2010-10-19,47.49,47.63,46.70,46.97,2086300,46.97
2010-10-18,48.79,48.84,47.65,47.78,1549200,47.78
2010-10-15,49.14,49.18,48.46,48.71,1276700,48.71
2010-10-14,48.88,49.45,48.63,48.78,821100,48.78
2010-10-13,48.93,49.16,48.81,48.85,879300,48.85
2010-10-12,49.16,49.16,48.64,48.69,1025200,48.69
2010-10-11,49.14,49.24,48.91,49.17,462500,49.17
2010-10-08,48.92,49.24,48.75,49.16,1018700,49.16
2010-10-07,48.96,48.97,48.34,48.71,906300,48.71
2010-10-06,48.37,48.92,48.37,48.87,1605100,48.87
2010-10-05,47.81,48.37,47.75,48.33,1157700,48.33
2010-10-04,47.77,47.77,47.44,47.60,943700,47.60
2010-10-01,47.61,47.86,47.38,47.78,966200,47.78
2010-09-30,47.54,47.77,46.41,47.22,932400,47.22
2010-09-29,47.14,47.55,47.02,47.27,618000,47.27
2010-09-28,46.94,47.25,46.29,47.22,630400,47.22
2010-09-27,46.87,46.95,46.44,46.68,1016200,46.68
2010-09-24,46.10,47.08,46.00,46.89,867400,46.89
2010-09-23,45.72,46.13,45.51,45.85,782600,45.85
2010-09-22,45.57,45.99,45.46,45.97,986500,45.97
2010-09-21,45.92,46.16,45.49,45.52,921500,45.52
2010-09-20,45.50,45.94,45.32,45.93,784500,45.93
2010-09-17,45.36,45.57,45.31,45.50,1769600,45.50
2010-09-16,45.13,45.36,44.89,45.18,937000,45.18
2010-09-15,44.58,45.15,44.47,45.13,915300,45.13
2010-09-14,44.25,44.85,44.20,44.66,977400,44.66
2010-09-13,44.26,44.42,44.19,44.36,707800,44.36
2010-09-10,44.51,44.51,44.04,44.08,839100,44.08
2010-09-09,45.13,45.21,44.34,44.40,606400,44.40
2010-09-08,44.49,44.95,44.49,44.76,1030000,44.76
2010-09-07,44.58,44.60,44.38,44.38,1149800,44.38
2010-09-03,44.99,45.06,44.44,44.59,918800,44.59
2010-09-02,44.76,44.82,44.55,44.75,1026100,44.75
2010-09-01,43.81,44.84,43.72,44.73,1191600,44.73
2010-08-31,43.27,43.79,43.10,43.56,947500,43.56
2010-08-30,43.70,44.03,43.32,43.35,848700,43.35
2010-08-27,44.16,44.29,43.40,43.81,1219800,43.81
2010-08-26,44.75,44.89,43.93,44.11,986400,43.83
2010-08-25,44.93,44.95,44.46,44.62,2745300,44.34
2010-08-24,45.30,45.68,45.02,45.10,857300,44.81
2010-08-23,46.18,46.18,45.69,45.75,484700,45.46
2010-08-20,45.70,46.16,45.47,45.92,717600,45.63
2010-08-19,46.43,46.43,45.57,46.04,602300,45.75
2010-08-18,46.38,46.61,45.98,46.54,808200,46.24
2010-08-17,45.81,46.88,45.78,46.41,969100,46.12
2010-08-16,45.58,45.81,45.07,45.66,717600,45.37
2010-08-13,45.55,45.89,45.43,45.62,856500,45.33
2010-08-12,45.34,45.78,44.97,45.77,810400,45.48
