Date,Open,High,Low,Close,Volume,Adj Close
2010-11-05,17.62,17.67,17.52,17.59,2843200,17.59
2010-11-04,17.53,17.63,17.42,17.61,2597000,17.61
2010-11-03,17.47,17.55,17.23,17.35,1702100,17.35
2010-11-02,17.54,17.60,17.40,17.45,2606100,17.45
2010-11-01,17.71,17.78,17.29,17.42,1579100,17.42
2010-10-29,17.32,17.66,17.18,17.59,2498400,17.59
2010-10-28,17.60,17.60,17.07,17.33,2608300,17.33
2010-10-27,17.47,17.59,17.26,17.56,2411900,17.56
2010-10-26,17.58,17.69,17.25,17.60,1571300,17.60
2010-10-25,17.85,17.93,17.69,17.70,1120700,17.70
2010-10-22,17.82,17.97,17.66,17.75,1471900,17.75
2010-10-21,17.84,18.11,17.67,17.73,1627800,17.73
2010-10-20,17.50,17.84,17.47,17.77,1927000,17.77
2010-10-19,17.43,17.70,17.38,17.45,1737500,17.45
2010-10-18,17.54,17.70,17.53,17.59,928300,17.59
2010-10-15,17.63,17.67,17.47,17.53,1460400,17.53
2010-10-14,17.42,17.63,17.34,17.45,1388000,17.45
2010-10-13,17.57,17.65,17.46,17.53,1301700,17.53
2010-10-12,17.65,17.65,17.35,17.51,1645600,17.51
2010-10-11,17.58,17.73,17.58,17.66,593000,17.66
2010-10-08,17.50,17.65,17.42,17.62,889300,17.62
2010-10-07,17.53,17.56,17.36,17.47,819900,17.47
2010-10-06,17.50,17.53,17.32,17.45,937200,17.45
2010-10-05,17.45,17.53,17.39,17.52,1199900,17.52
2010-10-04,17.49,17.53,17.18,17.33,1786900,17.33
2010-10-01,17.44,17.50,17.26,17.50,1638500,17.50
2010-09-30,17.43,17.53,17.15,17.32,2930500,17.32
2010-09-29,17.36,17.44,17.28,17.31,1585700,17.31
2010-09-28,17.47,17.49,17.26,17.40,1864700,17.40
2010-09-27,17.52,17.56,17.42,17.46,1527100,17.46
2010-09-24,17.30,17.52,17.26,17.48,1359000,17.48
2010-09-23,17.15,17.28,17.09,17.10,1295200,17.10
2010-09-22,17.14,17.45,17.14,17.28,1966700,17.28
2010-09-21,17.30,17.36,17.11,17.18,2026300,17.18
2010-09-20,17.01,17.32,16.95,17.31,1203900,17.31
2010-09-17,17.14,17.14,16.87,16.96,1665600,16.96
2010-09-16,17.04,17.12,16.98,17.04,1278800,17.04
2010-09-15,17.22,17.27,17.00,17.14,1508100,17.14
2010-09-14,17.17,17.37,17.08,17.26,1969700,17.26
2010-09-13,17.20,17.25,17.11,17.24,1378900,17.24
2010-09-10,17.04,17.12,16.96,17.05,1279700,17.05
2010-09-09,17.37,17.42,16.90,17.06,6384400,17.06
2010-09-08,17.32,17.45,17.23,17.23,1639800,17.23
2010-09-07,17.36,17.42,17.22,17.26,1067300,17.26
2010-09-03,17.30,17.45,17.27,17.45,1141000,17.45
2010-09-02,17.44,17.45,17.18,17.30,1259900,17.30
2010-09-01,17.09,17.41,17.00,17.38,2017900,17.38
2010-08-31,16.80,17.02,16.63,16.88,2370400,16.88
2010-08-30,17.01,17.13,16.77,16.85,1990700,16.85
2010-08-27,16.82,17.13,16.69,17.09,2101700,17.09
2010-08-26,16.70,16.80,16.56,16.72,2814500,16.72
2010-08-25,16.43,16.69,16.43,16.66,2669600,16.66
2010-08-24,16.23,16.60,16.21,16.47,2304200,16.47
2010-08-23,16.46,16.64,16.33,16.38,2799600,16.38
2010-08-20,16.25,16.46,16.15,16.41,1760200,16.41
2010-08-19,16.65,16.66,16.27,16.38,1700400,16.38
2010-08-18,16.79,16.91,16.65,16.69,2822300,16.69
2010-08-17,16.47,16.99,16.47,16.76,2488500,16.76
2010-08-16,16.09,16.44,15.96,16.39,2856200,16.39
2010-08-13,16.25,16.42,16.14,16.14,3284800,16.14
2010-08-12,16.55,16.76,16.22,16.24,5847200,16.24
2010-08-11,17.16,17.34,16.98,16.98,2612900,16.77
2010-08-10,17.24,17.65,17.13,17.48,3016700,17.27
2010-08-09,16.99,17.47,16.94,17.39,2434700,17.18
2010-08-06,16.80,17.20,16.76,17.17,2375300,16.96
2010-08-05,17.01,17.15,16.72,16.96,2761800,16.76
2010-08-04,17.03,17.06,16.77,16.96,1868200,16.76
2010-08-03,16.98,17.11,16.91,16.96,1386500,16.76
2010-08-02,16.52,17.03,16.52,17.00,3400400,16.79
