Date,Open,High,Low,Close,Volume,Adj Close
2010-11-05,53.73,53.97,53.13,53.32,396400,53.32
2010-11-04,53.95,54.45,53.44,53.70,522300,53.70
2010-11-03,53.49,53.49,52.76,53.30,471600,53.30
2010-11-02,53.27,53.77,53.27,53.50,407200,53.50
2010-11-01,53.57,53.72,52.40,52.84,349500,52.84
2010-10-29,52.30,53.22,52.20,53.19,403000,53.19
2010-10-28,52.87,53.26,52.74,53.03,377900,53.03
2010-10-27,52.62,52.62,51.77,52.53,526000,52.53
2010-10-26,52.80,53.08,52.46,52.79,475500,52.79
2010-10-25,53.64,53.89,53.14,53.18,339800,53.18
2010-10-22,53.50,53.76,53.04,53.39,273800,53.39
2010-10-21,53.60,53.92,52.96,53.35,245500,53.35
2010-10-20,53.08,53.80,52.87,53.48,350000,53.48
2010-10-19,52.97,53.28,52.60,52.93,561400,52.93
2010-10-18,53.00,53.58,52.98,53.31,274800,53.31
2010-10-15,52.87,53.22,52.71,53.19,416700,53.19
2010-10-14,52.54,52.71,52.28,52.62,484000,52.62
2010-10-13,52.63,52.69,52.28,52.45,687500,52.45
2010-10-12,52.89,52.96,52.43,52.58,401700,52.58
2010-10-11,53.04,53.33,52.91,53.07,239400,53.07
2010-10-08,52.80,53.16,52.55,53.07,288900,53.07
2010-10-07,52.74,53.07,52.46,52.72,341600,52.72
2010-10-06,52.72,52.98,52.20,52.63,401700,52.63
2010-10-05,52.39,53.08,52.25,52.97,479400,52.97
2010-10-04,52.11,52.50,51.67,52.03,461300,52.03
2010-10-01,52.25,52.45,51.95,52.32,387100,52.32
2010-09-30,52.50,52.74,51.94,52.06,511900,52.06
2010-09-29,52.11,52.35,51.78,52.15,540400,52.15
2010-09-28,51.80,52.39,51.56,52.27,729700,52.27
2010-09-27,51.35,52.00,51.15,51.81,431100,51.81
2010-09-24,50.68,51.40,50.57,51.40,456800,51.40
2010-09-23,50.27,50.65,50.02,50.12,358800,50.12
2010-09-22,50.78,51.24,50.47,50.73,458800,50.73
2010-09-21,50.84,51.13,50.50,50.64,524800,50.64
2010-09-20,50.11,50.93,50.11,50.82,366900,50.82
2010-09-17,50.36,50.49,49.70,49.97,542400,49.97
2010-09-16,50.57,50.63,49.97,50.09,331800,50.09
2010-09-15,50.56,50.84,50.21,50.75,406400,50.75
2010-09-14,50.29,50.89,50.11,50.62,454400,50.62
2010-09-13,50.17,50.50,49.92,50.32,346000,50.32
2010-09-10,49.79,49.95,49.24,49.72,398100,49.72
2010-09-09,49.82,50.03,49.67,49.80,577500,49.80
2010-09-08,50.18,50.46,49.36,49.36,1100700,49.36
2010-09-07,49.80,50.35,49.80,50.19,351600,50.19
2010-09-03,49.93,50.23,49.42,50.21,642300,50.21
2010-09-02,49.92,50.05,49.39,49.66,626600,49.66
2010-09-01,48.94,50.05,48.81,49.97,700600,49.97
2010-08-31,48.08,48.70,47.96,48.45,651300,48.45
2010-08-30,48.91,49.30,48.36,48.40,396800,48.40
2010-08-27,49.08,49.30,48.42,49.25,837200,49.25
2010-08-26,49.46,49.75,49.05,49.38,851700,48.70
2010-08-25,48.67,49.44,48.51,49.34,736100,48.66
2010-08-24,48.49,49.38,48.34,49.03,753700,48.35
2010-08-23,49.20,49.56,48.76,48.77,565300,48.10
2010-08-20,48.31,49.09,48.05,48.93,574700,48.26
2010-08-19,49.05,49.38,48.29,48.71,438600,48.04
2010-08-18,49.24,49.31,48.61,49.20,458700,48.52
2010-08-17,49.03,49.65,48.73,49.35,583200,48.67
2010-08-16,48.31,48.78,47.82,48.62,513600,47.95
2010-08-13,47.96,48.88,47.88,48.44,650400,47.77
2010-08-12,48.08,48.30,47.70,48.09,977700,47.43
2010-08-11,49.00,49.39,48.54,48.58,865600,47.91
2010-08-10,49.43,50.29,49.11,50.07,755400,49.38
2010-08-09,49.44,49.86,49.32,49.65,591800,48.97
2010-08-06,49.08,49.43,48.57,49.13,634400,48.45
2010-08-05,48.68,49.63,48.60,49.44,566400,48.76
2010-08-04,48.54,48.88,48.20,48.80,578600,48.13
2010-08-03,48.31,48.76,48.18,48.63,589100,47.96
2010-08-02,47.82,48.49,47.82,48.34,791100,47.67
2010-07-30,47.62,47.62,46.90,47.35,747100,46.70
2010-07-29,49.11,49.21,47.67,48.02,638400,47.36
2010-07-28,49.11,49.11,48.61,48.77,415200,48.10
2010-07-27,48.60,49.26,48.46,49.14,769000,48.46
2010-07-26,47.74,48.40,47.73,48.40,399200,47.73
2010-07-23,47.25,47.79,46.90,47.73,458900,47.07
2010-07-22,46.56,47.41,46.46,47.32,478400,46.67
2010-07-21,47.00,47.00,45.87,46.06,626800,45.43
2010-07-20,45.58,46.97,45.54,46.96,658000,46.31
2010-07-19,45.69,46.24,45.54,46.11,519800,45.48
2010-07-16,46.84,46.84,45.54,45.60,454800,44.97
2010-07-15,46.89,47.12,46.41,47.02,387800,46.37
2010-07-14,46.87,46.96,46.38,46.96,690200,46.31
2010-07-13,46.79,47.33,46.72,46.92,561500,46.27
2010-07-12,46.15,46.76,45.98,46.59,461700,45.95
2010-07-09,46.04,46.43,45.81,46.41,539500,45.77
2010-07-08,45.95,46.20,45.63,46.17,632700,45.53
2010-07-07,43.99,45.80,43.99,45.80,867600,45.17
2010-07-06,43.80,44.58,43.58,44.12,703400,43.51
2010-07-02,43.45,44.04,43.42,43.61,523100,43.01
2010-07-01,43.62,43.72,42.92,43.37,887400,42.77
2010-06-30,43.64,44.72,43.56,43.74,835900,43.14
2010-06-29,44.51,44.51,43.67,43.84,741900,43.24
2010-06-28,44.57,45.22,44.35,44.96,332900,44.34
2010-06-25,44.65,44.94,44.10,44.68,964100,44.06
2010-06-24,44.45,44.94,44.31,44.53,538900,43.92
2010-06-23,45.38,45.38,44.18,44.51,727300,43.90
2010-06-22,46.64,46.66,45.27,45.43,487700,44.80
2010-06-21,47.05,47.45,46.15,46.44,639700,45.80
2010-06-18,47.00,47.00,46.46,46.76,641200,46.12
2010-06-17,46.38,46.95,46.05,46.92,749400,46.27
2010-06-16,45.62,46.46,45.37,46.16,707400,45.52
2010-06-15,44.83,45.73,44.75,45.73,660200,45.10
2010-06-14,45.00,45.01,44.47,44.55,492400,43.94
2010-06-11,44.26,44.72,44.03,44.68,632300,44.06
2010-06-10,43.88,44.58,43.88,44.55,758100,43.94
2010-06-09,43.75,43.99,43.08,43.25,893100,42.65
2010-06-08,43.09,43.53,42.81,43.48,882100,42.88
2010-06-07,43.92,43.92,43.09,43.09,1225400,42.50
2010-06-04,44.62,44.68,43.22,43.34,782200,42.74
2010-06-03,45.11,45.58,44.89,45.20,871700,44.58
2010-06-02,44.49,45.14,44.13,45.14,774000,44.52
2010-06-01,44.75,45.41,44.18,44.18,788600,43.57
2010-05-28,45.04,45.59,44.95,45.22,1249900,44.60
2010-05-27,44.90,45.19,44.62,45.14,905400,44.52
2010-05-26,45.11,45.11,43.96,44.26,1246000,43.65
2010-05-25,44.77,45.43,43.91,45.42,1211000,44.12
2010-05-24,45.77,46.76,45.41,45.89,777000,44.58
2010-05-21,45.30,45.98,44.54,45.98,1317100,44.67
2010-05-20,46.93,47.07,45.93,45.94,1081300,44.63
2010-05-19,48.20,48.23,46.97,47.76,918400,46.40
