Date,Open,High,Low,Close,Volume,Adj Close
2010-11-05,55.97,57.38,55.80,56.95,1624200,56.95
2010-11-04,54.44,55.94,54.26,55.87,2475700,55.87
2010-11-03,54.17,54.29,53.18,53.90,1725600,53.90
2010-11-02,53.74,54.48,53.71,54.10,2536000,54.10
2010-11-01,53.12,53.97,52.96,53.48,2297600,53.48
2010-10-29,51.54,53.00,51.46,53.00,1982300,53.00
2010-10-28,51.85,52.17,50.85,51.50,1478600,51.50
2010-10-27,51.94,52.28,50.99,51.59,1968900,51.59
2010-10-26,51.10,52.88,51.10,52.41,2337100,52.41
2010-10-25,51.00,51.79,50.99,51.50,1400200,51.50
2010-10-22,50.58,50.88,50.20,50.48,1001100,50.48
2010-10-21,50.16,51.45,49.94,50.54,1811000,50.54
2010-10-20,49.42,50.14,49.38,49.85,1341400,49.85
2010-10-19,49.99,50.24,49.19,49.40,2613400,49.40
2010-10-18,50.33,50.83,50.18,50.61,1537100,50.61
2010-10-15,50.01,50.59,49.53,50.54,2090600,50.54
2010-10-14,49.83,49.87,48.97,49.44,1983000,49.44
2010-10-13,50.27,50.56,49.51,49.90,1867000,49.90
2010-10-12,49.01,50.19,48.67,49.83,2280000,49.83
2010-10-11,48.63,49.61,48.63,49.26,1362400,49.26
2010-10-08,47.94,49.05,47.88,48.51,1875700,48.51
2010-10-07,47.80,48.23,47.15,47.79,1799600,47.79
2010-10-06,47.67,47.85,47.11,47.46,1254400,47.46
2010-10-05,46.98,48.00,46.73,47.74,2004500,47.74
2010-10-04,46.77,46.89,45.92,46.45,2072300,46.45
2010-10-01,47.72,47.72,46.48,46.97,1495100,46.97
2010-09-30,46.88,47.20,46.27,46.99,1637400,46.99
2010-09-29,47.01,47.01,46.50,46.71,1639300,46.71
2010-09-28,46.04,47.17,45.32,47.11,2813800,47.11
2010-09-27,45.62,46.12,45.33,45.86,1635200,45.86
2010-09-24,45.39,45.65,45.21,45.51,2492900,45.51
2010-09-23,43.47,45.07,43.20,44.69,4078800,44.69
2010-09-22,45.35,45.90,45.14,45.56,2054100,45.56
2010-09-21,46.24,46.27,45.00,45.57,2944100,45.57
2010-09-20,45.12,46.33,44.97,46.18,2440300,46.18
2010-09-17,44.58,45.06,44.24,44.98,2171800,44.98
2010-09-16,43.34,44.43,43.33,44.42,2073000,44.42
2010-09-15,43.54,43.91,43.31,43.87,1324800,43.62
2010-09-14,43.51,44.54,43.30,43.80,1783300,43.55
2010-09-13,43.00,43.64,42.97,43.55,2362200,43.30
2010-09-10,42.19,42.66,42.14,42.50,1544500,42.26
2010-09-09,43.10,43.10,41.91,42.15,1698600,41.91
2010-09-08,42.11,42.71,42.03,42.50,1919600,42.26
2010-09-07,42.67,42.78,41.99,42.08,1738600,41.84
2010-09-03,42.54,43.15,42.10,42.80,2396400,42.56
2010-09-02,41.36,42.11,41.30,42.05,1879600,41.81
2010-09-01,40.07,41.35,40.06,41.13,2660100,40.90
2010-08-31,39.67,40.66,39.43,39.63,3262000,39.40
2010-08-30,40.69,40.87,39.78,39.84,3436100,39.61
2010-08-27,42.15,42.49,39.51,40.71,7814200,40.48
2010-08-26,42.38,43.06,42.03,42.04,3494800,41.80
2010-08-25,41.64,42.48,41.19,42.21,3581000,41.97
2010-08-24,42.37,42.77,41.50,41.98,3021200,41.74
2010-08-23,43.65,44.12,42.93,43.05,2193600,42.80
2010-08-20,42.73,43.34,42.19,43.30,2159300,43.05
2010-08-19,43.48,43.94,42.51,43.21,3127200,42.96
2010-08-18,42.75,43.82,42.23,43.51,2363100,43.26
2010-08-17,42.23,43.17,42.14,42.76,2146000,42.52
2010-08-16,41.51,42.09,41.35,41.68,2024300,41.44
2010-08-13,42.30,42.60,41.78,41.79,3404000,41.55
2010-08-12,41.70,42.62,41.25,42.44,3126300,42.20
2010-08-11,43.13,43.33,42.19,42.48,3114000,42.24
2010-08-10,43.94,44.20,43.24,44.01,2939800,43.76
2010-08-09,43.36,44.57,43.36,44.40,3682500,44.15
2010-08-06,42.62,43.34,42.19,43.34,5317300,43.09
2010-08-05,42.02,43.40,41.63,43.26,3122200,43.01
2010-08-04,42.38,42.86,42.19,42.45,1997600,42.21
2010-08-03,43.49,43.55,41.69,42.25,3447400,42.01
2010-08-02,42.75,43.95,42.53,43.55,3009500,43.30
2010-07-30,40.81,42.28,40.13,42.07,2753600,41.83
2010-07-29,42.14,42.40,40.68,41.51,2512200,41.27
2010-07-28,41.83,42.22,41.41,41.73,2346200,41.49
2010-07-27,42.19,42.71,41.67,42.01,3038600,41.77
2010-07-26,41.70,42.14,41.23,42.09,1444600,41.85
2010-07-23,40.81,41.58,40.46,41.50,1835100,41.26
2010-07-22,39.79,40.97,39.78,40.71,2163300,40.48
2010-07-21,40.08,40.33,39.11,39.21,2635900,38.99
2010-07-20,38.25,39.70,37.98,39.56,2743600,39.33
2010-07-19,39.36,39.52,38.47,38.80,3520500,38.58
2010-07-16,40.49,40.57,39.14,39.18,4360600,38.96
2010-07-15,40.91,41.04,39.93,40.79,2701000,40.56
2010-07-14,40.08,41.10,39.60,41.04,3652600,40.81
2010-07-13,39.24,40.50,39.21,40.17,2617800,39.94
2010-07-12,38.79,39.07,38.31,38.77,1281400,38.55
