Date,Open,High,Low,Close,Volume,Adj Close
2010-11-05,47.21,47.21,46.64,47.09,6061400,47.09
2010-11-04,46.98,47.15,46.72,46.87,3997500,46.87
2010-11-03,46.45,46.87,46.36,46.82,3364600,46.82
2010-11-02,46.14,46.51,46.03,46.34,2624000,46.34
2010-11-01,46.04,46.22,45.61,45.85,2910100,45.85
2010-10-29,46.27,46.36,45.77,45.89,3056800,45.89
2010-10-28,46.47,46.61,45.58,46.44,2876400,46.44
2010-10-27,45.92,46.32,45.41,46.28,4179300,46.28
2010-10-26,45.52,46.27,45.40,46.11,2864700,46.11
2010-10-25,45.16,45.78,45.14,45.69,2920100,45.69
2010-10-22,44.91,45.33,44.65,44.86,1948100,44.86
2010-10-21,45.29,45.31,44.44,44.86,2510300,44.86
2010-10-20,44.56,45.29,44.48,44.96,2412800,44.96
2010-10-19,44.77,45.09,44.35,44.56,3755000,44.56
2010-10-18,45.03,45.33,44.73,45.20,2492300,45.20
2010-10-15,44.64,45.15,44.54,45.03,3469100,45.03
2010-10-14,44.49,44.96,44.25,44.53,2327800,44.53
2010-10-13,44.97,45.00,44.40,44.44,2903000,44.44
2010-10-12,44.84,45.00,44.62,44.82,2190100,44.82
2010-10-11,44.64,45.39,44.64,44.99,2122300,44.99
2010-10-08,44.13,45.07,44.13,44.67,3077600,44.67
2010-10-07,44.15,44.83,43.74,44.15,4963800,44.15
2010-10-06,44.50,44.78,44.12,44.56,3031400,44.56
2010-10-05,44.82,44.95,43.59,44.71,4624600,44.71
2010-10-04,44.27,45.11,44.27,44.55,2998400,44.55
2010-10-01,44.98,45.17,44.28,44.54,2884700,44.54
2010-09-30,45.02,45.23,44.25,44.63,4148900,44.63
2010-09-29,44.81,45.19,44.67,44.95,2650900,44.95
2010-09-28,44.75,45.37,44.53,45.22,2920000,45.22
2010-09-27,44.96,45.12,44.77,44.83,2176500,44.83
2010-09-24,44.58,45.14,44.27,45.05,2608500,45.05
2010-09-23,43.32,44.48,43.20,44.16,4231800,44.16
2010-09-22,43.02,43.79,42.94,43.51,4326400,43.51
2010-09-21,43.16,43.24,42.49,42.93,3182500,42.93
2010-09-20,42.81,43.22,42.49,43.14,3583000,43.14
2010-09-17,42.83,42.96,42.45,42.81,3228800,42.81
2010-09-16,42.29,42.97,42.24,42.79,2866200,42.79
2010-09-15,42.17,42.59,42.00,42.53,2840100,42.53
2010-09-14,41.35,42.48,41.29,42.22,3846300,42.22
2010-09-13,41.32,41.50,41.11,41.23,3407500,41.23
2010-09-10,41.06,41.51,40.99,41.11,1748400,41.11
2010-09-09,41.62,41.64,40.95,41.13,2527700,41.13
2010-09-08,40.99,41.44,40.77,41.26,2655700,41.26
2010-09-07,41.77,41.84,40.87,40.94,3040400,40.94
2010-09-03,41.65,42.00,41.41,41.89,2827100,41.89
2010-09-02,40.74,41.70,40.74,41.45,3252700,41.45
2010-09-01,40.16,41.22,40.03,40.89,5092500,40.89
2010-08-31,40.16,40.42,39.56,39.69,5977000,39.69
2010-08-30,40.93,41.22,40.39,40.40,2620400,40.40
2010-08-27,40.74,41.47,40.27,41.13,3437600,41.13
2010-08-26,41.11,41.21,40.46,40.56,3314800,40.56
2010-08-25,40.65,41.29,40.30,41.09,3721000,41.09
2010-08-24,41.02,41.53,40.67,40.74,4272300,40.74
2010-08-23,41.83,42.16,41.42,41.42,3366800,41.42
2010-08-20,41.58,42.19,41.55,41.78,3682600,41.78
2010-08-19,41.88,42.38,41.38,41.93,5431600,41.93
2010-08-18,41.78,42.25,41.37,42.09,3997100,42.09
2010-08-17,41.72,42.50,41.64,41.78,4665900,41.78
2010-08-16,40.69,41.98,40.60,41.37,4934500,41.37
2010-08-13,41.55,41.65,40.86,40.90,3163200,40.90
2010-08-12,41.37,41.86,41.13,41.74,3302500,41.74
2010-08-11,42.03,42.29,41.54,41.80,3328300,41.80
2010-08-10,42.63,43.00,42.33,42.68,3436100,42.68
2010-08-09,41.77,43.07,41.77,42.98,4079400,42.83
2010-08-06,41.72,41.72,40.95,41.68,3706900,41.53
2010-08-05,40.86,42.39,40.62,42.00,8263900,41.85
2010-08-04,41.33,41.60,41.03,41.14,5164600,41.00
2010-08-03,41.81,41.91,40.65,41.02,4521000,40.88
2010-08-02,41.93,42.37,41.72,41.99,5459400,41.84
2010-07-30,40.69,41.62,40.43,41.52,5667400,41.38
2010-07-29,41.82,41.95,40.08,40.93,7812800,40.79
2010-07-28,42.29,42.82,41.50,41.63,3478200,41.48
2010-07-27,43.06,43.06,41.81,42.26,5355100,42.11
2010-07-26,42.74,42.98,42.35,42.96,2966600,42.81
2010-07-23,42.29,42.90,42.00,42.88,2787300,42.73
2010-07-22,42.05,42.55,41.99,42.25,4407100,42.10
2010-07-21,42.23,42.40,41.51,41.71,4024800,41.56
2010-07-20,41.01,42.06,40.60,42.04,6066300,41.89
2010-07-19,41.21,41.81,41.19,41.40,4063100,41.26
2010-07-16,42.76,42.76,41.10,41.24,5661100,41.10
2010-07-15,42.42,42.95,42.04,42.88,4361800,42.73
2010-07-14,42.71,42.71,42.03,42.47,3914500,42.32
2010-07-13,42.50,42.93,42.14,42.77,4019400,42.62
2010-07-12,41.71,42.08,41.60,41.99,4293400,41.84
2010-07-09,41.59,41.74,41.18,41.72,5335600,41.57
2010-07-08,42.86,43.02,40.93,41.53,15075000,41.39
2010-07-07,42.60,43.53,42.36,43.51,5257500,43.36
2010-07-06,43.33,43.51,42.08,42.42,5096200,42.27
2010-07-02,42.95,43.19,42.22,42.37,4132700,42.22
2010-07-01,41.93,42.98,41.52,42.91,6376200,42.76
2010-06-30,42.09,42.72,41.81,41.95,5714100,41.80
2010-06-29,42.58,43.00,41.83,42.03,9446800,41.88
2010-06-28,43.27,43.73,43.09,43.22,5592900,43.07
2010-06-25,44.15,44.15,43.12,43.14,10523700,42.99
2010-06-24,44.82,44.82,43.92,44.14,4221200,43.99
2010-06-23,44.35,45.04,44.01,44.71,3708800,44.55
2010-06-22,45.17,45.67,44.44,44.48,3775800,44.32
2010-06-21,46.21,46.32,44.85,45.08,3980800,44.92
2010-06-18,45.95,46.69,45.77,45.96,5814500,45.80
2010-06-17,46.32,46.32,45.46,45.90,3679000,45.74
2010-06-16,46.45,46.74,46.09,46.30,2937000,46.14
2010-06-15,46.11,46.62,45.89,46.62,3827200,46.46
