Date,Open,High,Low,Close,Volume,Adj Close
2010-11-05,59.05,59.87,58.67,59.25,614600,59.25
2010-11-04,58.28,59.24,58.24,59.17,674300,59.17
2010-11-03,57.49,57.89,57.09,57.70,604400,57.70
2010-11-02,57.20,57.77,57.17,57.44,402100,57.44
2010-11-01,57.50,57.79,56.14,56.57,701300,56.57
2010-10-29,57.26,57.50,56.82,57.28,477200,57.28
2010-10-28,56.18,57.91,56.18,57.32,979100,57.32
2010-10-27,55.13,55.74,54.62,55.57,634800,55.57
2010-10-26,55.19,55.89,55.05,55.75,637700,55.75
2010-10-25,55.80,56.13,55.41,55.51,380200,55.51
2010-10-22,55.47,55.61,55.22,55.37,428300,55.37
2010-10-21,55.38,55.91,54.83,55.38,394800,55.38
2010-10-20,54.20,55.13,53.97,54.98,648600,54.98
2010-10-19,54.40,55.11,53.87,54.16,632200,54.16
2010-10-18,54.60,55.34,54.56,55.25,372700,55.25
2010-10-15,55.03,55.19,53.96,54.50,569100,54.50
2010-10-14,54.65,55.63,54.12,54.60,544800,54.60
2010-10-13,54.99,55.32,54.71,54.89,494300,54.89
2010-10-12,54.15,54.78,53.64,54.67,584800,54.67
2010-10-11,54.32,54.60,54.25,54.41,212300,54.41
2010-10-08,53.89,54.62,53.72,54.43,355100,54.43
2010-10-07,54.64,54.65,53.70,53.97,421000,53.97
2010-10-06,54.67,54.78,54.06,54.49,654400,54.49
2010-10-05,53.34,54.88,52.60,54.84,1071300,54.84
2010-10-04,53.24,53.33,52.42,52.87,661500,52.87
2010-10-01,53.52,53.80,53.00,53.33,726700,53.33
2010-09-30,53.85,53.98,52.98,53.14,774900,53.14
2010-09-29,53.58,53.74,53.11,53.36,698700,53.36
2010-09-28,53.49,54.18,52.75,54.03,769500,53.87
2010-09-27,54.22,54.22,53.35,53.52,609800,53.36
2010-09-24,53.57,54.55,53.42,54.37,896000,54.21
2010-09-23,53.37,53.67,52.68,52.82,686800,52.66
2010-09-22,54.97,55.15,53.66,54.01,825200,53.85
2010-09-21,54.78,55.82,54.61,55.16,682000,55.00
2010-09-20,54.11,55.05,53.97,54.75,695300,54.59
2010-09-17,54.02,54.43,53.70,53.80,863200,53.64
2010-09-16,54.11,54.19,53.36,53.88,650900,53.72
2010-09-15,53.70,54.38,53.32,54.30,716400,54.14
2010-09-14,53.62,54.99,53.16,54.21,1074500,54.05
2010-09-13,53.29,53.87,53.04,53.73,626800,53.57
2010-09-10,52.17,52.78,51.69,52.66,643300,52.50
2010-09-09,52.38,52.56,51.83,52.09,786400,51.94
2010-09-08,51.28,51.95,51.23,51.57,624100,51.42
2010-09-07,51.85,51.94,51.17,51.19,556100,51.04
2010-09-03,52.00,52.37,51.72,52.25,715800,52.10
2010-09-02,51.40,51.56,50.80,51.35,1020800,51.20
2010-09-01,50.11,51.32,49.90,51.29,726500,51.14
2010-08-31,48.54,49.55,48.33,49.35,901400,49.20
2010-08-30,50.00,50.04,48.66,48.72,700000,48.58
2010-08-27,48.81,50.27,48.15,50.27,1014400,50.12
2010-08-26,49.07,49.31,48.48,48.59,862100,48.45
2010-08-25,47.89,48.89,47.30,48.75,1113300,48.61
2010-08-24,48.88,49.00,47.95,48.33,1203000,48.19
2010-08-23,49.67,50.08,49.42,49.61,761100,49.46
2010-08-20,49.49,49.68,48.97,49.49,995100,49.34
2010-08-19,51.16,51.34,49.76,49.87,949700,49.72
2010-08-18,51.14,51.70,50.54,51.44,523200,51.29
2010-08-17,50.93,51.47,50.62,51.15,1350800,51.00
2010-08-16,50.40,50.67,50.09,50.34,826900,50.19
2010-08-13,51.02,51.47,50.58,50.63,669000,50.48
2010-08-12,51.09,51.27,50.62,51.04,749000,50.89
2010-08-11,52.80,52.80,51.63,51.65,887300,51.50
2010-08-10,53.39,53.81,53.11,53.50,752100,53.34
2010-08-09,53.51,54.15,53.45,53.99,620200,53.83
2010-08-06,52.73,53.30,52.38,53.26,618100,53.10
2010-08-05,52.80,53.47,52.51,53.35,613000,53.19
2010-08-04,53.50,53.54,52.45,53.15,1264500,52.99
2010-08-03,54.16,54.19,53.35,53.42,671800,53.26
2010-08-02,54.20,54.75,53.65,54.38,963200,54.22
2010-07-30,52.92,53.79,52.55,53.07,1122600,52.91
2010-07-29,52.79,54.98,51.71,53.35,2930200,53.19
2010-07-28,51.90,52.07,51.49,51.96,1072200,51.81
2010-07-27,52.15,52.23,51.58,52.00,846600,51.85
2010-07-26,51.41,51.71,50.99,51.59,410800,51.44
2010-07-23,50.47,51.41,50.06,51.23,703500,51.08
2010-07-22,49.84,50.66,49.60,50.47,860200,50.32
2010-07-21,50.90,50.90,49.00,49.10,825200,48.95
2010-07-20,48.22,50.32,48.22,50.31,641600,50.16
2010-07-19,49.19,49.66,48.47,49.31,568600,49.16
2010-07-16,49.95,49.95,48.84,48.99,1040700,48.84
2010-07-15,50.99,51.01,49.62,50.42,955500,50.27
2010-07-14,51.47,51.50,50.36,50.93,642300,50.78
2010-07-13,51.94,52.11,51.57,51.79,867500,51.64
2010-07-12,51.66,51.69,50.89,51.30,587300,51.15
2010-07-09,51.13,51.98,50.80,51.89,578700,51.74
2010-07-08,51.70,51.83,50.83,51.68,586800,51.53
2010-07-07,49.26,51.24,49.12,51.19,791400,51.04
2010-07-06,49.65,50.32,48.38,49.05,1011300,48.90
2010-07-02,49.10,49.45,48.42,49.04,788300,48.89
2010-07-01,49.58,49.83,47.61,48.89,2094100,48.75
2010-06-30,51.14,51.42,49.44,49.51,1202400,49.36
2010-06-29,51.55,51.74,50.77,51.20,1147600,50.90
2010-06-28,52.07,52.76,51.65,52.30,1354300,51.99
2010-06-25,50.70,52.07,49.86,52.05,1561700,51.74
2010-06-24,50.80,51.20,50.06,50.20,789000,49.90
2010-06-23,51.28,51.73,50.70,51.18,767200,50.88
2010-06-22,52.69,52.98,51.20,51.29,1013000,50.99
2010-06-21,53.50,54.18,52.43,52.69,588200,52.38
2010-06-18,52.73,52.88,52.45,52.86,682800,52.55
2010-06-17,52.87,52.97,51.98,52.66,943200,52.35
2010-06-16,52.34,53.21,52.34,52.60,848000,52.29
2010-06-15,52.28,53.15,52.02,53.01,1005200,52.70
2010-06-14,52.43,52.88,51.68,51.70,660100,51.40
2010-06-11,51.06,51.96,50.90,51.90,542300,51.59
2010-06-10,51.15,51.83,50.82,51.77,766000,51.47
2010-06-09,50.66,51.48,50.10,50.29,831300,49.99
2010-06-08,48.92,50.43,48.28,50.28,814000,49.98
2010-06-07,49.72,50.13,48.66,48.74,756300,48.45
2010-06-04,50.73,51.07,49.27,49.54,727800,49.25
2010-06-03,52.24,52.75,51.60,52.05,379700,51.74
2010-06-02,50.82,52.32,50.29,52.31,647100,52.00
2010-06-01,51.01,51.79,50.28,50.36,621200,50.06
2010-05-28,52.77,52.77,51.30,51.53,722200,51.23
2010-05-27,50.97,52.79,50.86,52.77,719600,52.46
2010-05-26,50.27,50.97,49.56,49.85,809800,49.56
2010-05-25,48.19,49.74,47.66,49.69,1168000,49.40
2010-05-24,50.52,50.70,49.45,49.49,768100,49.20
2010-05-21,48.51,50.66,48.31,50.62,1189200,50.32
2010-05-20,50.03,50.75,48.96,49.44,1526700,49.15
2010-05-19,50.84,51.70,50.03,51.36,1212000,51.06
2010-05-18,52.37,52.60,50.70,50.90,933300,50.60
2010-05-17,51.15,51.89,50.38,51.74,807600,51.44
2010-05-14,52.09,52.17,50.31,51.03,729800,50.73
2010-05-13,53.55,53.55,52.54,52.66,556500,52.35
2010-05-12,52.98,53.78,52.47,53.67,582200,53.35
2010-05-11,52.31,53.78,52.09,52.71,633600,52.40
2010-05-10,51.76,53.18,51.23,53.15,1143800,52.84
2010-05-07,50.57,51.29,48.64,49.10,1302600,48.81
2010-05-06,52.39,53.31,48.21,50.77,1435900,50.47
2010-05-05,51.98,53.38,51.75,52.58,752200,52.27
2010-05-04,52.80,53.64,52.04,52.60,904800,52.29
2010-05-03,53.87,54.04,53.21,53.64,565200,53.32
2010-04-30,54.68,55.09,53.51,53.54,647900,53.23
2010-04-29,53.34,55.13,53.34,54.82,703300,54.50
2010-04-28,53.92,54.36,52.46,52.68,1124100,52.37
2010-04-27,55.50,55.62,53.21,53.38,602900,53.07
2010-04-26,56.22,56.54,55.70,55.80,471200,55.47
2010-04-23,55.14,56.32,54.82,56.22,467300,55.89
2010-04-22,54.73,55.21,54.03,55.16,387000,54.84
2010-04-21,55.73,55.99,54.50,55.26,522400,54.93
2010-04-20,55.27,55.84,55.00,55.84,287900,55.51
2010-04-19,54.03,54.89,53.68,54.83,399500,54.51
2010-04-16,55.56,55.83,54.09,54.50,816000,54.18
2010-04-15,56.04,56.04,55.09,55.74,501000,55.41
2010-04-14,54.94,56.05,54.82,56.05,661400,55.72
2010-04-13,54.16,54.78,53.73,54.70,409700,54.38
2010-04-12,54.08,54.41,53.95,54.38,546600,54.06
2010-04-09,53.84,53.92,53.40,53.88,372100,53.56
2010-04-08,53.72,53.84,53.12,53.81,710800,53.49
2010-04-07,54.63,54.68,53.54,53.94,609200,53.62
2010-04-06,54.42,54.87,54.28,54.71,739700,54.39
2010-04-05,54.28,54.69,54.11,54.64,378100,54.32
2010-04-01,53.80,54.34,53.76,54.13,564700,53.81
2010-03-31,52.60,53.54,52.43,53.51,1062600,53.20
2010-03-30,52.95,53.35,52.69,52.80,379000,52.49
2010-03-29,52.99,53.32,52.42,53.11,503400,52.65
2010-03-26,52.80,53.61,52.45,52.66,685800,52.20
2010-03-25,53.40,53.62,52.63,52.75,658300,52.29
2010-03-24,53.19,53.29,52.73,52.90,739800,52.44
2010-03-23,53.08,53.37,52.50,53.37,608600,52.91
2010-03-22,53.15,53.62,52.52,53.15,550500,52.69
2010-03-19,53.96,54.19,53.15,53.18,711500,52.72
