Date,Open,High,Low,Close,Volume,Adj Close
2010-11-05,52.77,53.05,52.09,52.38,2978700,52.38
2010-11-04,52.61,52.92,52.25,52.88,2469500,52.88
2010-11-03,51.50,52.10,51.43,52.03,3466700,52.03
2010-11-02,52.00,52.00,51.22,51.46,2611900,51.46
2010-11-01,51.58,51.88,51.01,51.57,3078200,51.57
2010-10-29,50.87,51.50,50.81,51.42,3111200,51.42
2010-10-28,51.79,52.04,50.51,50.98,3243900,50.98
2010-10-27,51.29,52.08,50.65,51.31,6863200,51.31
2010-10-26,50.08,50.34,49.52,50.32,2858500,50.32
2010-10-25,50.04,50.72,49.96,50.23,1939700,50.23
2010-10-22,49.67,49.76,49.30,49.66,1836400,49.66
2010-10-21,49.04,50.56,48.88,49.68,4216400,49.68
2010-10-20,48.09,49.22,48.09,48.86,2500600,48.86
2010-10-19,48.03,48.85,47.79,47.92,4209700,47.92
2010-10-18,48.87,49.49,48.79,49.49,2356300,49.49
2010-10-15,48.89,48.98,48.08,48.79,2776300,48.79
2010-10-14,49.18,49.38,48.02,48.32,3647900,48.32
2010-10-13,48.78,49.49,48.55,49.36,3997800,49.36
2010-10-12,47.59,48.76,47.27,48.46,3965000,48.46
2010-10-11,47.38,47.90,47.38,47.59,2322600,47.59
2010-10-08,47.61,47.92,47.20,47.46,2748300,47.46
2010-10-07,48.20,48.35,47.55,47.60,2164300,47.60
2010-10-06,48.27,48.49,47.69,47.92,1795100,47.92
2010-10-05,47.89,48.51,47.89,48.40,3191700,48.40
2010-10-04,47.57,47.89,47.17,47.38,2637500,47.38
2010-10-01,48.16,48.43,47.43,47.82,1927000,47.82
2010-09-30,48.20,48.90,47.85,47.88,2562600,47.88
2010-09-29,47.93,48.21,47.69,47.85,2337500,47.85
2010-09-28,47.87,48.29,47.50,48.18,2746100,48.18
2010-09-27,48.08,48.22,47.55,47.72,2758700,47.72
2010-09-24,48.34,48.62,47.85,47.90,3900000,47.90
2010-09-23,47.79,48.47,47.71,47.82,3091000,47.82
2010-09-22,48.00,48.74,47.97,48.15,2499400,48.15
2010-09-21,47.07,48.08,46.68,47.92,3251600,47.92
2010-09-20,47.49,47.88,47.13,47.59,2474500,47.59
2010-09-17,47.40,47.73,47.12,47.31,3448200,47.31
2010-09-16,46.67,47.20,46.67,47.03,2502700,47.03
2010-09-15,46.84,47.09,46.50,46.99,2638100,46.99
2010-09-14,46.80,47.92,46.40,46.88,3393400,46.88
2010-09-13,46.18,46.74,45.96,46.70,2839400,46.70
2010-09-10,45.98,46.38,45.66,45.88,2377100,45.88
2010-09-09,45.16,46.02,45.16,45.79,3473500,45.79
2010-09-08,44.60,44.73,44.41,44.52,2752900,44.52
2010-09-07,45.04,45.16,44.60,44.65,2071100,44.65
2010-09-03,44.61,45.24,44.61,45.19,2708000,45.19
2010-09-02,43.88,44.25,43.67,44.21,2216100,44.21
2010-09-01,42.76,44.01,42.70,43.87,2798200,43.87
2010-08-31,42.22,42.38,41.74,42.12,3834800,42.12
2010-08-30,43.20,43.28,42.35,42.35,2300400,42.35
2010-08-27,43.03,43.25,42.67,43.18,4314100,43.18
2010-08-26,43.54,43.98,42.80,42.88,3141800,42.88
2010-08-25,42.52,43.53,42.11,43.34,4556700,43.34
2010-08-24,43.53,43.83,42.59,42.65,5360200,42.65
2010-08-23,44.35,44.52,43.95,44.02,2437900,44.02
2010-08-20,44.07,44.36,43.81,44.20,2615700,44.20
2010-08-19,45.00,45.28,44.12,44.35,2723800,44.35
2010-08-18,45.14,45.63,44.90,45.17,2603500,45.17
2010-08-17,44.70,45.80,44.64,45.52,3584900,45.52
2010-08-16,44.01,44.49,43.80,44.26,2227600,44.26
2010-08-13,44.31,44.72,44.14,44.30,2219500,44.30
2010-08-12,44.38,44.93,44.38,44.50,3545300,44.50
2010-08-11,45.34,45.38,44.80,45.04,4728300,45.04
2010-08-10,45.59,46.20,45.43,45.84,3685900,45.84
2010-08-09,45.85,46.18,45.41,46.00,2857000,46.00
2010-08-06,44.80,45.84,44.61,45.77,3562500,45.77
2010-08-05,45.14,45.39,44.88,44.99,4336400,44.99
2010-08-04,44.54,45.79,44.53,45.46,6017900,45.46
2010-08-03,44.93,45.08,44.25,44.55,8399000,44.55
2010-08-02,45.39,45.73,44.88,45.01,9136600,45.01
2010-07-30,44.67,45.25,44.56,44.86,7800100,44.86
2010-07-29,46.12,46.22,44.84,44.97,9162700,44.97
2010-07-28,46.37,46.71,45.83,46.00,8067700,46.00
2010-07-27,48.74,48.76,45.95,46.17,19242700,46.17
2010-07-26,50.94,51.36,50.49,50.99,4479900,50.99
2010-07-23,50.23,51.30,50.09,51.09,4562900,51.09
2010-07-22,49.13,50.44,49.11,50.38,3220500,50.38
2010-07-21,49.65,49.68,48.36,48.71,2494400,48.71
2010-07-20,48.50,49.46,48.14,49.45,2196400,49.45
2010-07-19,49.33,49.54,48.94,49.07,1985400,49.07
2010-07-16,49.67,50.04,48.95,49.06,3323700,49.06
2010-07-15,49.68,50.28,49.28,50.16,3486600,50.16
2010-07-14,49.44,50.14,49.06,49.74,3788800,49.74
2010-07-13,48.52,49.78,48.27,49.54,4657900,49.54
2010-07-12,49.05,49.14,48.01,48.22,5552800,48.22
2010-07-09,49.01,49.45,48.83,49.28,3241900,49.28
2010-07-08,48.87,49.25,48.57,48.88,4846400,48.88
2010-07-07,48.94,48.94,47.40,48.64,6164700,48.64
2010-07-06,48.17,49.44,48.07,48.97,4473200,48.97
2010-07-02,48.23,48.35,47.21,47.58,3506900,47.58
2010-07-01,49.05,49.05,47.25,48.16,5789300,48.16
2010-06-30,49.58,50.11,48.97,49.05,6938200,49.05
2010-06-29,50.30,50.62,49.08,49.75,4913500,49.75
2010-06-28,51.15,51.38,50.44,51.05,2795200,51.05
2010-06-25,51.07,51.44,50.73,50.90,4181700,50.90
2010-06-24,52.10,52.26,50.76,50.97,4061500,50.97
2010-06-23,52.38,52.69,51.82,52.35,2085300,52.35
2010-06-22,53.80,53.89,52.33,52.41,2271800,52.41
2010-06-21,54.10,54.87,53.37,53.63,2496800,53.63
2010-06-18,53.48,53.86,53.33,53.66,2485400,53.66
2010-06-17,53.33,53.56,52.65,53.44,2090500,53.44
2010-06-16,53.03,53.68,52.68,53.43,2230800,53.43
2010-06-15,52.59,53.48,52.55,53.48,3759200,53.48
2010-06-14,52.17,52.76,52.14,52.16,2106800,52.16
