Date,Open,High,Low,Close,Volume,Adj Close
2010-11-05,57.03,57.55,56.58,57.44,4445600,57.44
2010-11-04,56.31,57.37,56.01,57.24,4565300,57.24
2010-11-03,55.61,56.03,55.48,55.91,3730500,55.91
2010-11-02,56.19,56.25,55.50,55.52,3583400,55.52
2010-11-01,55.48,56.40,55.41,55.77,4992400,55.77
2010-10-29,54.73,55.29,54.63,55.20,3680700,55.20
2010-10-28,55.16,55.37,54.57,54.74,3610300,54.74
2010-10-27,54.65,54.99,54.18,54.73,4771100,54.73
2010-10-26,54.54,55.25,54.52,55.03,5847400,55.03
2010-10-25,55.26,55.90,55.12,55.59,4602500,55.59
2010-10-22,55.09,55.49,54.82,55.10,3258600,55.10
2010-10-21,55.22,55.70,54.52,54.98,3864800,54.98
2010-10-20,53.79,54.75,53.75,54.64,3701700,54.64
2010-10-19,54.00,54.49,53.51,53.76,3424400,53.76
2010-10-18,53.75,54.40,53.52,54.40,3248600,54.40
2010-10-15,53.77,53.99,53.55,53.63,3615000,53.63
2010-10-14,53.23,53.90,53.14,53.46,3142200,53.46
2010-10-13,53.19,53.91,52.79,53.41,4008700,53.41
2010-10-12,53.10,53.18,52.60,52.82,3973900,52.82
2010-10-11,53.03,53.03,52.62,52.95,1552600,52.95
2010-10-08,52.81,52.91,52.23,52.81,2212700,52.81
2010-10-07,52.64,53.09,52.14,52.61,2221900,52.61
2010-10-06,53.14,53.15,52.45,52.82,2484100,52.82
2010-10-05,52.30,53.02,51.79,52.87,3646100,52.87
2010-10-04,52.00,52.32,51.59,52.12,2487600,52.12
2010-10-01,52.67,52.67,51.68,52.12,3211400,52.12
2010-09-30,52.23,52.83,52.00,52.10,3280300,52.10
2010-09-29,52.42,52.52,51.85,51.99,3179100,51.99
2010-09-28,52.25,52.96,52.08,52.69,3080500,52.69
2010-09-27,53.05,53.05,52.12,52.16,4022000,52.16
2010-09-24,53.23,53.50,52.88,53.12,3291400,53.12
2010-09-23,52.09,53.06,52.06,52.40,4685400,52.40
2010-09-22,52.78,53.03,52.32,52.33,4314000,52.33
2010-09-21,53.30,53.39,52.72,52.93,3248800,52.93
2010-09-20,52.95,53.67,52.58,53.56,4551300,53.56
2010-09-17,52.59,52.95,52.43,52.67,7193300,52.67
2010-09-16,52.50,52.88,52.30,52.70,5763700,52.70
2010-09-15,50.93,52.63,50.92,52.49,8112300,52.49
2010-09-14,50.40,51.28,50.26,51.02,4636200,51.02
2010-09-13,50.41,50.64,50.00,50.44,2998800,50.44
2010-09-10,49.89,50.11,49.53,50.06,2624900,50.06
2010-09-09,50.36,50.56,49.98,50.27,2830300,50.27
2010-09-08,50.15,50.42,49.76,49.86,3597600,49.86
2010-09-07,50.79,50.88,50.08,50.13,2519100,49.77
2010-09-03,50.71,51.05,50.25,51.03,3405700,50.66
2010-09-02,50.31,50.48,49.66,50.22,3595900,49.86
2010-09-01,49.31,50.36,49.06,50.31,4922300,49.95
2010-08-31,48.80,49.29,48.46,48.99,4577100,48.64
2010-08-30,49.64,49.71,48.92,48.95,2966400,48.60
2010-08-27,49.19,49.87,49.19,49.87,4437700,49.51
2010-08-26,49.70,49.91,48.89,49.03,3792200,48.68
2010-08-25,49.20,49.73,48.96,49.52,3636600,49.16
2010-08-24,49.51,49.71,49.14,49.26,3826400,48.91
2010-08-23,49.77,50.19,49.51,49.74,3939100,49.38
2010-08-20,49.97,50.41,49.66,50.09,4564000,49.73
2010-08-19,49.87,50.07,49.49,49.84,4068800,49.48
2010-08-18,49.92,50.30,49.61,50.08,3837800,49.72
2010-08-17,50.32,50.32,49.83,49.91,4761200,49.55
2010-08-16,49.81,49.92,49.50,49.91,3513400,49.55
2010-08-13,49.68,50.58,49.41,50.14,5029200,49.78
2010-08-12,48.70,49.87,48.64,49.63,5021300,49.27
2010-08-11,49.02,49.56,48.86,48.96,6571500,48.61
2010-08-10,50.15,50.29,49.31,49.40,5991600,49.05
2010-08-09,50.61,50.70,50.20,50.61,2244800,50.25
2010-08-06,50.38,50.45,49.48,50.27,3140800,49.91
2010-08-05,50.50,50.71,50.32,50.67,1966300,50.31
2010-08-04,50.32,50.76,50.30,50.68,6729900,50.32
2010-08-03,50.56,50.83,50.03,50.12,4927100,49.76
2010-08-02,51.04,51.22,50.51,50.85,4957900,50.48
2010-07-30,50.03,50.61,50.02,50.45,5752000,50.09
2010-07-29,50.61,50.95,50.10,50.52,6845100,50.16
2010-07-28,50.56,50.81,50.15,50.29,4455100,49.93
2010-07-27,50.75,50.75,50.14,50.58,6312000,50.22
2010-07-26,50.28,50.47,49.96,50.45,4814400,50.09
2010-07-23,48.88,50.14,48.60,50.14,7008600,49.78
2010-07-22,48.77,50.19,48.77,49.29,6956500,48.94
2010-07-21,50.31,50.72,49.80,49.87,3961700,49.51
2010-07-20,49.20,50.39,49.20,50.35,3801300,49.99
2010-07-19,49.79,50.00,49.27,49.71,2667200,49.35
2010-07-16,50.11,50.50,49.51,49.62,5952700,49.26
2010-07-15,51.35,51.35,49.99,50.30,7023600,49.94
2010-07-14,51.13,51.48,50.83,51.39,3866000,51.02
2010-07-13,51.48,51.64,51.14,51.20,5224200,50.83
2010-07-12,50.92,51.43,50.79,51.12,3025800,50.75
2010-07-09,50.15,51.16,50.11,51.15,3095900,50.78
2010-07-08,50.04,50.15,49.51,50.09,3231500,49.73
2010-07-07,48.90,49.99,48.42,49.95,4668200,49.59
2010-07-06,48.95,49.10,48.17,48.58,3858700,48.23
2010-07-02,48.80,49.15,48.23,48.54,2722200,48.19
2010-07-01,49.43,49.49,48.38,48.93,4621100,48.58
2010-06-30,49.46,49.93,49.20,49.25,4426300,48.90
2010-06-29,50.70,50.92,49.47,49.73,5661600,49.37
2010-06-28,51.24,51.37,50.98,51.07,3219600,50.70
2010-06-25,50.82,51.27,50.32,51.12,7527900,50.75
2010-06-24,51.06,51.20,50.43,50.54,4200000,50.18
2010-06-23,51.03,51.40,50.88,51.11,4276100,50.74
2010-06-22,51.40,51.84,50.99,51.01,3883400,50.64
2010-06-21,51.75,52.00,51.02,51.17,3336200,50.80
2010-06-18,51.80,51.91,51.26,51.35,8521800,50.98
2010-06-17,51.04,51.73,50.82,51.71,4518100,51.34
2010-06-16,50.97,51.05,50.41,50.83,4817600,50.46
2010-06-15,50.50,51.29,50.15,51.23,4132700,50.86
2010-06-14,50.80,50.80,50.03,50.05,4118000,49.69
2010-06-11,49.76,50.42,49.63,50.41,3916300,50.05
2010-06-10,49.26,50.03,49.19,49.99,4964600,49.63
2010-06-09,49.39,49.54,48.72,48.79,6338100,48.44
2010-06-08,47.77,49.12,47.77,49.09,5964900,48.74
2010-06-07,48.62,48.82,48.26,48.27,5780500,47.57
2010-06-04,49.10,49.54,48.43,48.61,6378300,47.90
2010-06-03,49.81,49.99,49.39,49.72,3679300,48.99
2010-06-02,48.81,49.78,48.54,49.78,5062800,49.05
2010-06-01,49.12,49.64,48.54,48.60,4961100,47.89
2010-05-28,49.91,50.05,49.28,49.47,5474600,48.75
2010-05-27,48.48,49.77,48.46,49.73,6247100,49.00
2010-05-26,48.66,48.80,47.87,48.00,6973300,47.30
2010-05-25,47.69,48.72,47.69,48.67,6596100,47.96
2010-05-24,49.23,49.37,48.43,48.49,5255600,47.78
2010-05-21,48.00,49.26,47.91,49.23,8400600,48.51
2010-05-20,49.15,50.19,48.38,48.42,7953900,47.71
2010-05-19,49.74,50.37,49.41,50.14,5241000,49.41
2010-05-18,50.37,50.78,49.69,49.83,4367800,49.10
2010-05-17,50.20,50.48,49.35,50.12,6006800,49.39
2010-05-14,49.87,50.83,49.87,50.12,6948500,49.39
2010-05-13,50.10,50.82,50.01,50.17,3797500,49.44
2010-05-12,50.01,50.25,49.38,50.19,5782100,49.46
2010-05-11,49.60,50.20,49.52,49.78,4672000,49.05
2010-05-10,50.58,50.73,49.46,50.09,6336400,49.36
2010-05-07,49.67,50.23,48.82,49.26,7935600,48.54
2010-05-06,50.58,51.16,48.53,49.80,9027100,49.07
2010-05-05,49.78,51.05,49.75,50.62,4062800,49.88
2010-05-04,50.60,50.74,49.81,50.00,6098700,49.27
2010-05-03,50.88,51.28,50.76,51.21,4037800,50.46
2010-04-30,51.23,51.35,50.49,50.74,5243100,50.00
2010-04-29,51.32,51.42,50.70,51.42,4907800,50.67
2010-04-28,50.38,51.26,50.34,51.12,6420800,50.37
2010-04-27,51.59,51.83,50.48,50.53,6430300,49.79
2010-04-26,53.20,53.38,51.86,51.92,6322800,51.16
