Date,Open,High,Low,Close,Volume,Adj Close
2010-11-05,62.13,62.50,61.75,62.05,2516100,62.05
2010-11-04,62.15,63.98,62.10,62.33,6492700,62.33
2010-11-03,58.53,59.68,58.15,59.66,3173500,59.66
2010-11-02,58.39,58.80,57.64,58.44,2485700,58.44
2010-11-01,58.05,58.68,57.19,57.62,1718600,57.62
2010-10-29,58.26,58.36,57.35,57.87,1492600,57.87
2010-10-28,58.15,58.61,57.77,58.45,2908300,58.45
2010-10-27,57.08,57.91,56.84,57.81,3199800,57.81
2010-10-26,57.47,58.07,56.88,57.63,2834000,57.63
2010-10-25,57.76,58.34,57.67,57.88,1753400,57.88
2010-10-22,58.02,58.02,57.12,57.39,987800,57.39
2010-10-21,57.84,58.25,57.25,57.54,1567200,57.54
2010-10-20,57.29,58.46,57.07,57.60,2988300,57.60
2010-10-19,56.89,57.69,56.88,57.25,3314300,57.25
2010-10-18,56.65,57.59,56.30,57.59,2557600,57.59
2010-10-15,56.90,57.00,56.06,56.60,2013900,56.60
2010-10-14,56.04,56.68,55.72,56.18,1450000,56.18
2010-10-13,56.30,56.84,56.13,56.21,1107100,56.21
2010-10-12,56.04,56.25,55.43,56.06,1352100,56.06
2010-10-11,55.49,56.27,55.30,56.16,1573300,56.16
2010-10-08,55.02,55.69,54.96,55.51,1907100,55.51
2010-10-07,55.97,56.04,54.61,55.04,5228000,55.04
2010-10-06,55.77,56.00,55.17,55.63,2661100,55.63
2010-10-05,55.63,56.05,55.33,56.03,3246400,56.03
2010-10-04,54.51,55.14,54.42,55.00,3261100,55.00
2010-10-01,53.99,54.77,53.86,54.66,2743700,54.66
2010-09-30,54.49,54.70,53.65,53.99,3009300,53.99
2010-09-29,54.27,54.63,53.85,54.42,2374100,54.42
2010-09-28,53.37,54.79,52.99,54.73,4248500,54.73
2010-09-27,53.20,53.41,52.16,53.17,2183000,53.17
2010-09-24,52.45,53.48,52.12,53.11,2243300,53.11
2010-09-23,50.50,52.45,50.41,51.65,3150800,51.65
2010-09-22,52.75,52.86,50.98,51.11,3361100,51.11
2010-09-21,52.28,53.06,52.12,52.66,2264400,52.66
2010-09-20,51.05,52.96,51.04,52.79,3902100,52.79
2010-09-17,51.10,52.32,50.53,50.96,5885200,50.96
2010-09-16,52.30,52.30,50.79,50.96,5997100,50.96
2010-09-15,54.93,55.73,52.27,52.43,6678300,52.43
2010-09-14,56.20,56.36,54.88,55.17,3244500,55.17
2010-09-13,56.18,57.16,55.85,56.47,1871900,56.47
2010-09-10,55.09,55.88,55.00,55.75,844500,55.75
2010-09-09,55.54,55.54,54.79,54.92,934700,54.92
2010-09-08,53.87,55.40,53.87,54.91,1789700,54.91
2010-09-07,55.23,55.23,53.83,53.93,2012400,53.93
2010-09-03,55.18,55.74,54.59,55.74,1200300,55.74
2010-09-02,54.18,54.77,53.77,54.70,1799600,54.70
2010-09-01,52.27,54.36,52.27,53.98,4868300,53.98
2010-08-31,51.45,52.37,51.27,51.57,2426900,51.57
2010-08-30,51.53,52.13,51.22,51.82,2461900,51.82
