Date,Open,High,Low,Close,Volume,Adj Close
2010-11-05,30.78,31.47,30.70,31.47,17664000,31.47
2010-11-04,30.07,30.79,29.95,30.75,15003400,30.75
2010-11-03,29.68,30.00,29.52,30.00,13185500,30.00
2010-11-02,29.74,29.90,29.56,29.60,10739400,29.60
2010-11-01,29.77,29.84,29.16,29.44,12181700,29.44
2010-10-29,29.17,29.75,29.05,29.57,15745700,29.57
2010-10-28,29.26,29.43,28.99,29.24,14399700,29.24
2010-10-27,28.64,29.48,28.52,29.44,16822600,29.31
2010-10-26,28.71,28.91,28.30,28.88,17814300,28.75
2010-10-25,28.90,29.19,28.82,28.98,15464900,28.85
2010-10-22,28.21,28.71,28.17,28.66,9318700,28.53
2010-10-21,28.25,28.31,27.92,28.22,10824000,28.10
2010-10-20,28.23,28.24,27.77,28.09,14047900,27.97
2010-10-19,27.95,28.52,27.53,28.03,13135700,27.91
2010-10-18,28.64,28.71,28.04,28.36,11535100,28.23
2010-10-15,28.49,28.81,28.23,28.72,13427500,28.59
2010-10-14,28.17,28.54,27.93,28.31,13072100,28.18
2010-10-13,28.35,28.45,28.03,28.12,20238400,28.00
2010-10-12,28.62,28.85,28.33,28.68,14847700,28.55
2010-10-11,28.76,28.98,28.60,28.77,11592500,28.64
2010-10-08,28.12,28.86,27.80,28.73,16244800,28.60
2010-10-07,28.38,28.40,27.86,28.14,16897300,28.02
2010-10-06,28.23,28.56,27.86,28.31,18289700,28.18
2010-10-05,27.44,28.50,27.41,28.33,23034400,28.20
2010-10-04,27.20,27.58,27.01,27.21,15091800,27.09
2010-10-01,27.31,27.61,26.92,27.25,12156000,27.13
2010-09-30,26.89,27.40,26.74,27.14,19052400,27.02
2010-09-29,26.91,27.08,26.72,26.84,12016400,26.72
2010-09-28,26.64,27.17,26.44,27.06,12484500,26.94
2010-09-27,26.85,27.00,26.66,26.68,9673700,26.56
2010-09-24,26.08,26.94,26.08,26.93,14901500,26.81
2010-09-23,25.36,26.25,25.12,25.77,13297600,25.66
2010-09-22,25.61,25.97,25.32,25.44,10210100,25.33
2010-09-21,25.88,26.08,25.61,25.80,15808400,25.69
2010-09-20,25.70,25.93,25.22,25.86,16572300,25.75
2010-09-17,25.59,25.85,25.24,25.72,25212100,25.61
2010-09-16,24.70,24.99,24.45,24.98,12517500,24.87
2010-09-15,24.50,24.71,24.26,24.67,11457300,24.56
2010-09-14,24.37,24.93,24.11,24.69,14274900,24.58
2010-09-13,24.01,24.49,23.98,24.46,12710300,24.35
2010-09-10,23.57,23.89,23.26,23.70,17328700,23.60
2010-09-09,23.93,24.16,23.71,23.84,13149200,23.73
2010-09-08,23.61,23.77,23.35,23.68,12763600,23.58
2010-09-07,24.07,24.12,23.55,23.62,11004700,23.52
2010-09-03,24.27,24.49,23.94,24.33,11599200,24.22
