Date,Open,High,Low,Close,Volume,Adj Close
2010-11-05,91.18,92.50,90.56,91.22,2985000,91.22
2010-11-04,92.49,92.71,90.82,91.72,5529000,91.72
2010-11-03,90.04,91.13,89.81,91.03,3083300,91.03
2010-11-02,89.84,90.00,89.11,89.95,2593200,89.95
2010-11-01,88.66,89.57,88.35,88.90,3295600,88.90
2010-10-29,85.75,88.04,85.54,87.68,2654600,87.68
2010-10-28,86.11,86.70,84.93,86.05,2482000,86.05
2010-10-27,86.36,86.60,84.38,85.43,3245500,85.43
2010-10-26,86.68,87.92,86.32,87.36,2647100,87.36
2010-10-25,87.09,88.06,86.81,87.19,3440500,87.19
2010-10-22,85.07,86.38,84.81,86.31,3002600,86.31
2010-10-21,84.29,85.41,81.84,85.26,7247300,85.26
2010-10-20,84.45,86.07,84.45,85.79,2715900,85.79
2010-10-19,84.51,85.03,83.16,84.31,2697300,84.31
2010-10-18,85.58,85.60,84.88,85.43,1762300,85.43
2010-10-15,86.76,86.97,85.00,85.21,2884800,85.21
2010-10-14,86.40,86.53,84.97,86.13,3964700,86.13
2010-10-13,85.17,87.32,85.17,86.82,4681600,86.82
2010-10-12,84.48,84.48,82.76,83.46,3947200,83.46
2010-10-11,85.23,85.75,84.60,85.06,1619100,85.06
2010-10-08,83.90,85.23,83.25,84.86,2755500,84.86
2010-10-07,83.69,83.89,82.83,83.63,2833900,83.63
2010-10-06,82.40,83.29,82.23,83.29,2204600,83.29
2010-10-05,81.25,82.57,80.65,82.42,2440900,82.42
2010-10-04,80.86,81.69,79.32,80.03,2103600,80.03
2010-10-01,81.61,81.81,80.36,81.03,3504700,81.03
2010-09-30,82.69,82.96,81.11,81.80,2724100,81.80
2010-09-29,81.90,83.08,81.58,82.25,2284200,82.25
2010-09-28,81.74,82.46,80.71,82.30,2779500,82.30
2010-09-27,82.23,82.50,81.52,81.65,2700600,81.65
2010-09-24,79.97,82.15,79.64,82.10,2743800,82.10
2010-09-23,79.90,80.71,78.78,79.17,2682200,79.17
2010-09-22,80.90,81.38,80.27,80.60,2268500,80.60
2010-09-21,81.26,82.32,80.93,81.23,2930900,81.23
2010-09-20,80.19,81.64,80.01,80.74,3493300,80.74
2010-09-17,79.32,80.02,78.67,79.96,4242000,79.96
2010-09-16,78.91,79.47,78.45,78.92,2203800,78.92
2010-09-15,79.14,80.15,78.87,79.08,3513800,79.08
2010-09-14,78.91,80.17,78.66,79.70,2785300,79.70
2010-09-13,79.64,79.78,78.75,79.25,2644200,79.25
2010-09-10,78.85,79.50,78.53,78.73,2055700,78.73
2010-09-09,79.97,80.00,78.13,78.66,2883300,78.66
2010-09-08,78.61,79.80,78.42,79.01,3050700,79.01
2010-09-07,78.16,79.18,78.00,78.36,2788200,78.36
2010-09-03,77.82,79.61,77.82,78.80,3150400,78.80
2010-09-02,76.49,77.41,76.33,77.31,2355700,77.31
2010-09-01,74.13,76.69,73.90,76.38,3588500,76.38
2010-08-31,71.93,73.53,71.69,72.94,2369200,72.94
2010-08-30,73.60,74.39,72.31,72.35,1921700,72.35
2010-08-27,72.78,73.85,71.90,73.69,4506400,73.69
2010-08-26,72.66,73.70,72.14,72.41,2937600,72.08
2010-08-25,71.16,73.05,70.57,72.17,4727700,71.84
2010-08-24,72.00,72.40,70.34,71.94,4088500,71.61
2010-08-23,74.54,74.89,72.69,72.86,2811000,72.53
2010-08-20,73.72,74.36,72.91,74.26,2753900,73.92
2010-08-19,75.45,75.84,73.56,74.50,3064400,74.16
2010-08-18,74.85,76.44,74.40,76.00,3190200,75.65
2010-08-17,73.98,75.68,73.98,74.85,2569300,74.51
2010-08-16,72.23,73.43,72.23,73.09,2041900,72.76
2010-08-13,73.42,74.62,73.25,73.45,2093400,73.12
2010-08-12,73.38,74.05,72.51,73.82,2552900,73.48
2010-08-11,76.42,76.44,73.65,74.28,3609300,73.94
2010-08-10,77.36,77.91,76.42,77.66,2001700,77.31
2010-08-09,77.59,78.23,76.98,78.13,2583900,77.77
