Date,Open,High,Low,Close,Volume,Adj Close
2010-11-05,69.34,69.96,69.28,69.79,3685200,69.79
2010-11-04,69.09,69.64,68.68,69.37,4203400,69.37
2010-11-03,68.31,68.70,67.70,68.63,2704500,68.63
2010-11-02,67.98,68.54,67.91,68.30,3069000,68.30
2010-11-01,67.38,68.03,66.93,67.34,2841000,67.34
2010-10-29,67.46,67.54,67.00,67.34,4329100,67.34
2010-10-28,68.25,68.40,66.97,67.66,5237100,67.66
2010-10-27,68.94,69.10,67.45,67.98,5387700,67.98
2010-10-26,69.04,69.63,68.67,69.42,2869300,69.42
2010-10-25,69.94,69.99,69.25,69.32,4036000,69.32
2010-10-22,69.61,69.95,69.12,69.83,2969600,69.83
2010-10-21,69.95,70.00,68.61,69.59,6156100,69.59
2010-10-20,68.74,69.89,68.74,69.65,4773000,69.65
2010-10-19,68.83,69.09,67.69,68.74,4388600,68.74
2010-10-18,69.44,69.75,68.73,69.50,3982700,69.50
2010-10-15,69.71,69.91,69.00,69.31,5733000,69.31
2010-10-14,68.55,69.40,68.53,69.40,5099000,69.40
2010-10-13,67.91,69.45,67.73,68.66,8406100,68.66
2010-10-12,67.10,67.45,66.26,67.24,3010600,67.24
2010-10-11,67.45,67.60,66.96,67.35,2811700,67.35
2010-10-08,67.56,67.75,66.92,67.53,4287200,67.53
2010-10-07,68.19,68.28,67.02,67.37,3442600,67.37
2010-10-06,68.00,68.15,67.70,67.81,3600600,67.81
2010-10-05,66.88,68.28,66.51,67.88,7262300,67.88
2010-10-04,66.25,66.63,65.44,66.12,3936300,66.12
2010-10-01,67.16,67.43,66.17,66.44,3910900,66.44
2010-09-30,67.11,68.00,66.65,66.69,4538900,66.69
2010-09-29,66.83,67.07,66.24,66.74,4560200,66.74
2010-09-28,67.34,67.53,66.38,67.18,3699700,67.18
2010-09-27,67.42,67.68,67.08,67.08,3187800,67.08
2010-09-24,66.93,67.54,66.93,67.27,4637500,67.27
2010-09-23,66.88,67.24,66.04,66.39,4042800,66.39
2010-09-22,66.97,67.98,66.97,67.52,6831000,67.52
2010-09-21,67.45,67.45,66.79,66.99,3937400,66.99
2010-09-20,67.06,67.30,66.57,66.90,3417500,66.90
2010-09-17,66.85,67.04,66.10,66.68,5438000,66.68
2010-09-16,66.87,66.99,66.22,66.72,5561000,66.72
2010-09-15,67.31,67.77,66.97,67.66,4227300,67.66
2010-09-14,67.54,67.82,67.40,67.45,3912000,67.45
2010-09-13,68.39,69.50,67.27,67.53,4532000,67.53
2010-09-10,67.85,68.09,67.55,67.76,3600200,67.76
2010-09-09,68.42,68.64,67.47,67.65,3312000,67.65
2010-09-08,67.10,68.33,67.10,67.56,3622200,67.56
2010-09-07,67.22,67.48,66.73,67.08,3024600,67.08
2010-09-03,67.50,68.34,67.31,67.64,4317900,67.64
2010-09-02,66.52,67.45,66.52,67.12,4991400,67.12
2010-09-01,64.84,66.50,64.40,66.19,6207400,66.19
2010-08-31,63.61,64.26,63.28,63.80,3966400,63.80
2010-08-30,64.20,64.87,63.89,63.94,3007100,63.94
2010-08-27,63.92,64.69,63.32,64.47,3802800,64.47
2010-08-26,63.55,64.26,63.32,63.43,3493900,63.43
2010-08-25,63.34,63.65,62.61,63.35,4544700,63.35
2010-08-24,64.44,64.80,63.71,63.85,6716100,63.85
2010-08-23,65.69,66.18,65.19,65.22,3380500,65.22
2010-08-20,64.91,65.17,64.38,65.10,4976900,65.10
2010-08-19,65.82,66.18,64.83,65.42,5560200,65.42
2010-08-18,65.93,66.60,65.38,66.17,3845400,66.17
2010-08-17,65.11,66.55,65.04,66.02,4400400,66.02
2010-08-16,64.03,64.94,63.73,64.65,2895800,64.65
2010-08-13,64.22,64.80,64.12,64.44,3299900,64.44
2010-08-12,63.98,64.73,63.56,64.48,3950500,64.48
2010-08-11,66.32,66.62,64.79,65.21,5524900,64.74
2010-08-10,66.99,67.54,66.68,67.21,4724800,66.73
2010-08-09,67.08,67.72,66.95,67.42,2623300,66.93
2010-08-06,66.67,67.49,66.00,66.70,4663600,66.22
2010-08-05,66.87,67.72,66.62,67.42,4357700,66.93
2010-08-04,66.68,67.70,66.57,67.38,4940100,66.89
2010-08-03,66.48,66.76,65.81,66.60,5170600,66.12
2010-08-02,65.73,66.65,65.22,66.60,5489500,66.12
2010-07-30,63.95,65.35,63.64,65.00,5191500,64.53
2010-07-29,65.10,65.32,64.15,64.39,3781200,63.93
2010-07-28,64.60,65.29,64.28,64.80,4010300,64.33
2010-07-27,65.06,65.25,64.55,64.66,4474000,64.19
2010-07-26,64.72,65.00,64.17,64.88,4998000,64.41
2010-07-23,63.36,64.00,62.90,63.67,4716200,63.21
2010-07-22,63.00,64.31,62.60,63.15,11500700,62.69
2010-07-21,61.44,61.44,59.37,60.01,4417600,59.58
2010-07-20,59.86,60.95,59.27,60.88,3071100,60.44
2010-07-19,59.85,60.64,59.23,60.46,4435000,60.02
2010-07-16,60.99,61.29,59.45,59.68,6274700,59.25
2010-07-15,61.81,61.85,60.42,61.34,3607000,60.90
