Date,Open,High,Low,Close,Volume,Adj Close
2010-11-05,25.24,26.39,25.18,26.10,29951100,26.10
2010-11-04,24.21,25.25,24.11,25.16,24115400,25.16
2010-11-03,23.89,24.11,23.60,24.05,12975800,24.05
2010-11-02,24.16,24.22,23.69,23.80,10003800,23.80
2010-11-01,24.20,24.27,23.57,23.93,11456200,23.93
2010-10-29,24.07,24.26,23.90,24.20,9853500,24.20
2010-10-28,24.47,24.54,23.84,24.18,14388900,24.18
2010-10-27,24.03,24.41,23.99,24.34,21334900,24.34
2010-10-26,23.16,23.98,23.15,23.94,15886000,23.94
2010-10-25,23.78,23.78,23.42,23.47,18468500,23.47
2010-10-22,23.57,23.69,23.07,23.59,18854800,23.59
2010-10-21,22.97,23.59,22.94,23.36,17393700,23.36
2010-10-20,22.96,23.10,22.66,22.83,21013700,22.83
2010-10-19,22.94,23.12,22.46,22.81,17575000,22.81
2010-10-18,22.51,23.16,22.51,23.16,11134600,23.16
2010-10-15,22.71,22.93,22.06,22.54,26105000,22.54
2010-10-14,22.77,22.77,22.16,22.57,17150000,22.57
2010-10-13,23.04,23.23,22.55,22.86,17978400,22.86
2010-10-12,22.16,22.93,22.16,22.88,14252100,22.88
2010-10-11,22.35,22.48,22.14,22.25,5717400,22.25
2010-10-08,22.37,22.47,22.10,22.31,9128800,22.31
2010-10-07,22.52,22.52,21.98,22.36,11971000,22.36
2010-10-06,22.33,22.52,22.28,22.41,12511000,22.41
2010-10-05,21.90,22.44,21.59,22.34,19687900,22.34
2010-10-04,21.63,21.87,21.58,21.62,10412200,21.62
2010-10-01,21.77,22.00,21.61,21.71,13477300,21.71
2010-09-30,21.86,21.99,21.51,21.62,12751500,21.62
2010-09-29,21.69,21.91,21.60,21.67,13279300,21.67
2010-09-28,21.87,21.90,21.55,21.83,17634900,21.83
2010-09-27,22.45,22.54,21.84,21.86,12543100,21.81
2010-09-24,22.04,22.42,22.00,22.41,25738000,22.36
2010-09-23,22.21,22.41,21.79,21.82,29937400,21.77
2010-09-22,22.77,23.05,22.34,22.52,18374200,22.47
2010-09-21,23.29,23.60,22.80,22.87,11389600,22.82
2010-09-20,22.85,23.36,22.77,23.28,9894900,23.23
2010-09-17,22.77,22.98,22.69,22.81,11505400,22.76
2010-09-16,22.62,22.74,22.41,22.70,9130800,22.65
2010-09-15,22.89,22.97,22.49,22.67,17107500,22.62
2010-09-14,23.25,23.44,22.98,23.26,9033500,23.21
2010-09-13,23.09,23.52,23.06,23.37,10568300,23.32
2010-09-10,22.63,22.76,22.42,22.63,8050000,22.58
2010-09-09,22.68,22.97,22.41,22.65,10092600,22.60
2010-09-08,22.26,22.50,22.13,22.32,7871900,22.27
2010-09-07,22.42,22.57,22.22,22.23,9017100,22.18
2010-09-03,22.28,22.70,22.28,22.67,10663900,22.62
2010-09-02,21.92,22.12,21.79,22.12,9972100,22.07
2010-09-01,21.10,21.83,21.05,21.81,13381100,21.76
2010-08-31,20.56,21.00,20.44,20.80,13834900,20.75
2010-08-30,21.53,21.63,20.69,20.71,10872700,20.66
2010-08-27,21.09,21.66,20.92,21.66,12039800,21.61
2010-08-26,21.28,21.50,20.91,20.97,8045500,20.92
2010-08-25,21.22,21.32,20.89,21.22,14179400,21.17
2010-08-24,21.34,21.54,21.19,21.31,11798800,21.26
2010-08-23,21.85,22.02,21.61,21.63,7427200,21.58
2010-08-20,21.63,21.84,21.56,21.74,11082000,21.69
2010-08-19,22.30,22.40,21.70,21.72,12930900,21.67
2010-08-18,22.27,22.52,22.24,22.40,5950000,22.35
2010-08-17,22.30,22.58,22.06,22.31,7271800,22.26
2010-08-16,22.10,22.26,21.92,22.13,6543700,22.08
2010-08-13,22.43,22.63,22.22,22.22,5535300,22.17
2010-08-12,22.17,22.55,22.10,22.44,7256300,22.39
2010-08-11,23.04,23.10,22.47,22.48,10425100,22.43
2010-08-10,23.37,23.63,23.23,23.44,8597000,23.39
2010-08-09,23.37,23.71,22.98,23.64,9930300,23.59
2010-08-06,23.38,23.47,22.87,23.22,11184300,23.17
2010-08-05,23.75,23.80,23.38,23.68,10154500,23.63
2010-08-04,24.35,24.35,23.86,23.93,11159000,23.88
2010-08-03,24.34,24.51,24.17,24.22,8987900,24.16
2010-08-02,24.20,24.52,24.03,24.51,10428100,24.45
2010-07-30,23.80,24.06,23.64,23.90,10473700,23.85
2010-07-29,24.13,24.15,23.55,23.94,11918800,23.89
2010-07-28,24.21,24.32,23.86,23.97,7205900,23.92
2010-07-27,24.34,24.48,24.19,24.31,9962700,24.25
2010-07-26,23.74,24.18,23.60,24.12,9459800,24.06
2010-07-23,23.58,23.95,23.33,23.70,13229500,23.65
2010-07-22,23.40,23.91,23.30,23.66,18483900,23.61
2010-07-21,23.73,24.00,23.00,23.07,19829700,23.02
2010-07-20,22.61,23.20,22.48,23.15,14151000,23.10
2010-07-19,22.99,23.24,22.65,22.99,7881300,22.94
2010-07-16,24.20,24.25,23.01,23.04,17532800,22.99
2010-07-15,24.25,24.48,23.67,24.40,14224200,24.34
2010-07-14,24.33,24.35,23.94,24.14,10744000,24.08
2010-07-13,24.03,24.56,24.02,24.43,11937400,24.37
2010-07-12,23.82,23.89,23.52,23.77,7028200,23.72
2010-07-09,23.23,23.94,23.06,23.91,12243200,23.86
2010-07-08,23.13,23.32,22.82,23.24,14095800,23.19
2010-07-07,22.07,22.98,21.90,22.93,17187500,22.88
2010-07-06,22.31,22.32,21.77,22.04,12797800,21.99
2010-07-02,22.44,22.51,21.73,21.88,11812800,21.83
2010-07-01,22.26,22.68,21.85,22.33,14871700,22.28
2010-06-30,22.70,23.10,22.30,22.35,13731000,22.30
2010-06-29,23.00,23.20,22.50,22.62,19570100,22.57
2010-06-28,23.30,23.44,23.04,23.11,10141000,23.06
