Date,Open,High,Low,Close,Volume,Adj Close
2010-11-05,76.49,76.89,76.14,76.75,4705400,76.75
2010-11-04,76.01,76.90,75.46,76.24,5502600,76.24
2010-11-03,75.24,75.53,74.31,75.05,3586800,75.05
2010-11-02,75.21,75.62,75.08,75.25,2806300,75.25
2010-11-01,75.27,75.77,74.11,74.64,3401600,74.64
2010-10-29,74.32,74.88,74.10,74.77,2650000,74.77
2010-10-28,75.01,75.38,73.98,74.70,3141000,74.70
2010-10-27,74.22,74.54,73.30,74.46,3318400,74.46
2010-10-26,74.47,74.82,74.03,74.67,3524100,74.67
2010-10-25,75.46,75.57,74.80,75.01,4068900,75.01
2010-10-22,75.25,75.25,74.49,74.94,3165100,74.94
2010-10-21,74.32,75.58,74.25,74.97,8837600,74.97
2010-10-20,72.01,74.28,71.92,73.92,8734800,73.92
2010-10-19,73.80,74.18,72.85,73.61,5807800,73.61
2010-10-18,74.27,74.90,73.98,74.56,3832000,74.56
2010-10-15,74.34,74.87,73.40,74.10,4671800,74.10
2010-10-14,74.19,74.20,73.40,74.15,4852100,74.15
2010-10-13,73.51,74.60,73.36,74.18,4977500,74.18
2010-10-12,72.60,73.27,71.80,72.98,3937600,72.98
2010-10-11,73.11,73.11,72.61,72.93,2454600,72.93
2010-10-08,72.99,73.20,72.30,72.91,3505200,72.91
2010-10-07,72.82,73.05,72.41,72.78,3015900,72.78
2010-10-06,72.38,72.95,72.38,72.87,3951800,72.87
2010-10-05,71.31,72.82,71.24,72.51,5513200,72.51
2010-10-04,71.94,72.03,70.23,70.53,4427400,70.53
2010-10-01,71.68,72.03,70.98,71.13,4997200,71.13
2010-09-30,71.82,72.94,71.00,71.23,5015300,71.23
2010-09-29,71.30,71.78,71.17,71.49,2931300,71.49
2010-09-28,71.15,71.80,70.04,71.60,3494300,71.60
2010-09-27,71.34,71.46,70.85,70.91,3726700,70.91
2010-09-24,70.44,71.68,70.44,71.50,2970800,71.50
2010-09-23,69.96,70.57,69.62,69.80,3413000,69.80
2010-09-22,70.43,71.21,70.43,70.58,3057400,70.58
2010-09-21,70.53,71.22,70.28,70.60,4469600,70.60
2010-09-20,69.70,70.62,69.25,70.37,2958000,70.37
2010-09-17,68.94,69.63,68.56,69.53,5190200,69.53
2010-09-16,68.16,68.68,68.00,68.53,2803300,68.53
2010-09-15,68.70,68.70,68.05,68.27,3692700,68.27
2010-09-14,68.72,69.31,68.36,68.72,3467100,68.72
2010-09-13,69.33,69.80,68.28,68.79,4476800,68.79
2010-09-10,68.90,69.15,68.48,68.89,3026400,68.89
2010-09-09,69.35,69.45,68.25,68.62,2686800,68.62
2010-09-08,68.06,68.94,68.03,68.47,3072900,68.47
2010-09-07,68.01,68.41,67.67,67.98,3759300,67.98
2010-09-03,68.03,68.56,67.48,68.26,4302800,68.26
2010-09-02,67.11,67.44,66.91,67.44,3837300,67.44
2010-09-01,66.03,67.58,65.68,67.37,5189200,67.37
2010-08-31,65.12,65.73,64.67,65.21,5199400,65.21
2010-08-30,66.47,66.47,65.39,65.39,3371100,65.39
2010-08-27,65.99,66.68,64.99,66.57,5074600,66.57
2010-08-26,65.51,65.83,64.95,65.05,5594600,65.05
2010-08-25,65.14,65.75,64.57,65.26,6606900,65.26
2010-08-24,66.33,66.57,65.39,65.66,5286500,65.66
2010-08-23,68.54,68.97,67.21,67.22,3955000,67.22
2010-08-20,67.55,68.70,67.41,68.12,3822400,68.12
2010-08-19,69.62,70.14,68.02,68.51,6073300,68.51
2010-08-18,70.34,70.60,69.29,69.93,4944600,69.93
