Date,Open,High,Low,Close,Volume,Adj Close
2010-11-05,18.96,19.22,18.83,19.14,7278900,19.14
2010-11-04,18.38,18.97,18.33,18.93,9215600,18.93
2010-11-03,18.10,18.26,17.83,18.14,5881500,18.14
2010-11-02,17.99,18.10,17.84,18.00,5478500,18.00
2010-11-01,18.12,18.29,17.77,17.82,5178100,17.82
2010-10-29,18.17,18.24,17.79,17.95,5325900,17.95
2010-10-28,18.30,18.52,18.22,18.22,5013400,18.22
2010-10-27,17.95,18.33,17.90,18.20,8848700,18.20
2010-10-26,17.97,18.22,17.56,18.00,10275300,18.00
2010-10-25,17.75,17.97,17.71,17.77,5482600,17.77
2010-10-22,17.69,17.78,17.55,17.65,3671000,17.65
2010-10-21,18.19,18.20,17.52,17.69,8776600,17.69
2010-10-20,18.04,18.24,17.93,18.15,5510100,18.15
2010-10-19,18.15,18.32,17.93,18.04,6420200,18.04
2010-10-18,18.02,18.50,17.93,18.45,5927600,18.45
2010-10-15,18.30,18.34,17.93,18.10,5528800,18.10
2010-10-14,18.36,18.68,18.00,18.16,6448000,18.16
2010-10-13,18.05,18.50,18.04,18.26,7649800,18.26
2010-10-12,18.00,18.03,17.72,17.97,4628000,17.97
2010-10-11,17.97,18.16,17.87,18.09,4613900,18.09
2010-10-08,17.64,17.99,17.55,17.89,4362400,17.89
2010-10-07,17.52,17.72,17.43,17.67,5077900,17.67
2010-10-06,17.55,17.70,17.31,17.44,5829400,17.44
2010-10-05,17.39,17.70,17.35,17.58,5274700,17.58
2010-10-04,17.57,17.65,17.17,17.25,4421300,17.25
2010-10-01,17.69,17.77,17.45,17.65,5669000,17.65
2010-09-30,17.45,17.60,17.21,17.51,8702200,17.51
2010-09-29,17.00,17.50,16.98,17.27,8219900,17.27
2010-09-28,16.85,17.15,16.80,17.07,6858500,17.07
2010-09-27,16.81,17.10,16.71,16.88,5604900,16.88
2010-09-24,16.86,16.97,16.75,16.82,6793600,16.82
2010-09-23,16.67,16.85,16.57,16.64,6087200,16.64
2010-09-22,17.01,17.24,16.73,16.77,8142700,16.77
2010-09-21,17.21,17.33,17.03,17.15,6276100,17.15
2010-09-20,17.00,17.33,16.96,17.24,6843300,17.24
