Date,Open,High,Low,Close,Volume,Adj Close
2010-11-05,41.36,43.49,41.18,42.39,3053100,42.39
2010-11-04,39.34,41.35,39.26,41.34,2723600,41.34
2010-11-03,39.47,39.67,38.08,38.88,2015300,38.88
2010-11-02,35.65,39.70,35.65,39.29,5084300,39.29
2010-11-01,36.67,36.86,35.94,36.20,2042200,35.95
2010-10-29,36.24,36.63,35.85,36.51,987100,36.26
2010-10-28,36.55,36.60,35.96,36.26,911900,36.01
2010-10-27,36.34,36.44,35.80,36.23,1101900,35.98
2010-10-26,36.70,37.00,36.52,36.75,863200,36.50
2010-10-25,37.01,37.47,36.74,36.94,1036200,36.68
2010-10-22,36.47,36.71,36.20,36.70,881000,36.45
2010-10-21,36.33,37.11,36.09,36.37,1953200,36.12
2010-10-20,35.93,36.35,35.72,36.19,1322500,35.94
2010-10-19,35.84,36.19,35.40,35.89,2367700,35.64
2010-10-18,36.53,36.53,36.18,36.51,851800,36.26
2010-10-15,36.74,36.82,36.11,36.53,1278100,36.28
2010-10-14,36.54,36.65,36.18,36.43,1484500,36.18
2010-10-13,36.29,36.59,36.02,36.51,1387600,36.26
2010-10-12,36.33,36.35,35.87,36.01,1653400,35.76
2010-10-11,36.78,36.85,36.31,36.51,1358100,36.26
2010-10-08,37.10,37.28,36.45,36.79,2541300,36.54
2010-10-07,38.21,38.21,36.97,37.10,1326600,36.84
2010-10-06,37.53,38.17,37.34,37.99,1356700,37.73
2010-10-05,37.34,37.84,36.95,37.63,1152100,37.37
2010-10-04,37.50,37.50,36.82,36.89,1442200,36.64
2010-10-01,37.28,37.89,37.16,37.50,2140800,37.24
2010-09-30,37.28,37.59,36.66,36.92,1918900,36.67
2010-09-29,36.57,36.98,36.37,36.98,1643200,36.72
2010-09-28,36.31,36.83,35.61,36.74,1730500,36.49
2010-09-27,36.65,36.65,36.03,36.21,954000,35.96
2010-09-24,36.11,36.55,35.92,36.46,2809600,36.21
2010-09-23,36.50,36.63,35.67,35.70,1471200,35.45
2010-09-22,37.84,37.89,36.59,36.80,1895500,36.55
2010-09-21,37.13,38.24,37.13,37.78,3795900,37.52
2010-09-20,36.62,36.86,36.50,36.63,2120300,36.38
2010-09-17,36.88,37.06,36.55,36.63,2008700,36.38
2010-09-16,37.73,37.90,37.00,37.16,1707600,36.90
2010-09-15,37.74,37.95,37.52,37.82,798200,37.56
2010-09-14,38.36,38.64,37.69,37.87,853600,37.61
2010-09-13,38.82,39.00,38.00,38.48,1451200,38.21
2010-09-10,38.23,38.70,37.99,38.46,1151500,38.19
2010-09-09,38.84,38.87,37.72,38.11,975100,37.85
2010-09-08,38.26,38.47,37.76,38.25,1662700,37.99
2010-09-07,38.76,39.75,38.26,38.26,2855500,38.00
2010-09-03,38.65,39.37,38.30,38.55,1757500,38.28
2010-09-02,37.76,38.70,37.51,38.39,1338600,38.12
2010-09-01,37.25,37.73,37.19,37.66,1564800,37.40
2010-08-31,37.11,37.48,36.65,36.76,1742500,36.51
2010-08-30,38.27,38.30,37.41,37.45,1595900,37.19
2010-08-27,38.01,38.51,37.39,38.48,1792100,38.21
2010-08-26,37.75,38.13,37.36,37.70,1380900,37.44
2010-08-25,36.69,37.73,36.36,37.60,2097900,37.34
2010-08-24,37.38,37.39,36.42,37.00,4303600,36.74
2010-08-23,39.03,39.25,38.22,38.31,1335700,37.80
2010-08-20,38.02,38.91,38.02,38.90,1653600,38.38
2010-08-19,38.83,38.83,38.00,38.47,1799900,37.96
2010-08-18,38.57,39.56,38.31,39.20,1440300,38.68
2010-08-17,38.73,39.08,38.26,38.61,2656200,38.09
2010-08-16,38.05,38.30,37.68,38.25,1669000,37.74
2010-08-13,38.60,38.89,38.32,38.32,1510800,37.81
2010-08-12,39.31,39.37,38.43,38.69,1993600,38.17
2010-08-11,40.02,40.26,39.70,39.74,1631500,39.21
2010-08-10,41.25,41.28,40.19,40.60,1812100,40.06
2010-08-09,41.92,41.92,41.33,41.60,1088600,41.04
2010-08-06,41.25,41.72,41.01,41.62,1508800,41.06
2010-08-05,41.45,41.97,41.32,41.60,2001700,41.04
